,how,many,solo,tackles,did,von,miller,make,at,super,bowl,50,?
denver,0.15631112456321716,0.18606427311897278,0.16159214079380035,0.4180256724357605,0.16413381695747375,0.1650388240814209,0.2895999550819397,0.13915076851844788,0.18947194516658783,0.24589714407920837,0.2861449718475342,0.03614028915762901,0.1520889848470688
linebacker,0.07137423753738403,0.12625199556350708,0.20662087202072144,0.5526763200759888,0.13520534336566925,0.07443031668663025,0.30272817611694336,0.08082359284162521,0.20325346291065216,0.28596732020378113,0.4219481945037842,-0.06238196790218353,0.15540370345115662
von,0.1710921674966812,0.18748323619365692,0.11115751415491104,0.09629620611667633,0.22224590182304382,1.0,0.21985934674739838,0.13510994613170624,0.11698677390813828,0.09019782394170761,0.05615047365427017,0.05839231237769127,0.13907472789287567
miller,0.17608608305454254,0.15215572714805603,0.24319517612457275,0.36091622710227966,0.18827186524868011,0.21985934674739838,0.9999998807907104,0.25688493251800537,0.18533797562122345,0.1263037472963333,0.12768206000328064,0.0038371188566088676,0.1295081228017807
was,0.16678167879581451,0.260356068611145,0.17196130752563477,0.17499198019504547,0.41399896144866943,0.2042967826128006,0.23326176404953003,0.20205417275428772,0.36707764863967896,0.21420986950397491,0.21915455162525177,-0.0011744623770937324,0.18412111699581146
named,0.155859112739563,0.2136070877313614,0.09619814902544022,0.09240088611841202,0.1507878601551056,0.18845419585704803,0.09032490104436874,0.1694658249616623,0.1652292013168335,0.2206273078918457,0.18541297316551208,0.07201292365789413,0.1297498345375061
super,0.11920704692602158,0.17302978038787842,0.1858709752559662,0.23457856476306915,0.16038043797016144,0.09019782394170761,0.1263037472963333,0.1708221435546875,0.11449114978313446,1.0000001192092896,0.4848237931728363,0.0833745002746582,0.166326642036438
bowl,0.1720007210969925,0.17932994663715363,0.19199752807617188,0.34894615411758423,0.18569406867027283,0.05615047365427017,0.12768206000328064,0.1729167103767395,0.2709662914276123,0.4848237931728363,1.0,0.005446359980851412,0.21118052303791046
mvp,0.10867138206958771,0.10090233385562897,0.18715620040893555,0.38997599482536316,0.17167621850967407,0.17494645714759827,0.17567558586597443,0.10258304327726364,0.1902051717042923,0.3814384639263153,0.5169888734817505,0.045483801513910294,0.19954749941825867
",",0.22659391164779663,0.40610817074775696,0.22751595079898834,0.22343356907367706,0.3015086054801941,0.1878369003534317,0.32534530758857727,0.324553906917572,0.38314947485923767,0.22322475910186768,0.1810409277677536,-0.025195008143782616,0.31091248989105225
recording,0.19648906588554382,0.20405806601047516,0.41659465432167053,0.2855217158794403,0.20224055647850037,0.18543459475040436,0.292163610458374,0.24525904655456543,0.1804746836423874,0.12307024002075195,0.12853030860424042,0.0861549898982048,0.18037092685699463
five,0.20553050935268402,0.41084155440330505,0.22790291905403137,0.12191976606845856,0.1999429613351822,0.11452800780534744,0.14455710351467133,0.1896439492702484,0.25906944274902344,0.16316142678260803,0.20672158896923065,0.027560986578464508,0.18342848122119904
solo,0.12291531264781952,0.17965957522392273,1.0,0.18302708864212036,0.15713106095790863,0.11115751415491104,0.24319517612457275,0.16777683794498444,0.10581287741661072,0.1858709752559662,0.19199752807617188,0.12169281393289566,0.1560981124639511
tackles,0.20144808292388916,0.14041443169116974,0.18302708864212036,1.0,0.2027961164712906,0.09629620611667633,0.36091622710227966,0.17687535285949707,0.23142430186271667,0.23457856476306915,0.34894615411758423,0.08310284465551376,0.20188532769680023
",",0.22659391164779663,0.40610817074775696,0.22751595079898834,0.22343356907367706,0.3015086054801941,0.1878369003534317,0.32534530758857727,0.324553906917572,0.38314947485923767,0.22322475910186768,0.1810409277677536,-0.025195008143782616,0.31091248989105225
2½,-0.07168057560920715,-0.015302646905183792,-0.01643414981663227,-0.0175557192414999,0.029727062210440636,-0.03199057653546333,-0.09513317793607712,0.009089743718504906,-0.021316636353731155,0.056470829993486404,0.06224267557263374,0.09516675025224686,-0.02855924889445305
sacks,0.1041552722454071,0.16596581041812897,0.11682747304439545,0.4936768114566803,0.1250401884317398,0.1289111226797104,0.23011738061904907,0.1714896559715271,0.11647623032331467,0.14356042444705963,0.2921851873397827,-0.021206974983215332,0.0761517658829689
",",0.22659391164779663,0.40610817074775696,0.22751595079898834,0.22343356907367706,0.3015086054801941,0.1878369003534317,0.32534530758857727,0.324553906917572,0.38314947485923767,0.22322475910186768,0.1810409277677536,-0.025195008143782616,0.31091248989105225
and,0.33647966384887695,0.5296266674995422,0.21440713107585907,0.2184165120124817,0.34479495882987976,0.2179601788520813,0.2989555597305298,0.4160483181476593,0.3571503460407257,0.18368244171142578,0.1698254644870758,0.0032697415444999933,0.20544172823429108
two,0.2499001920223236,0.5147606730461121,0.2650649845600128,0.08377458155155182,0.2755576968193054,0.1465245485305786,0.19982647895812988,0.27709734439849854,0.32178381085395813,0.19097526371479034,0.20622028410434723,0.019217558205127716,0.19645625352859497
forced,0.23831938207149506,0.2377408891916275,0.16642728447914124,0.262871116399765,0.36753809452056885,0.12442227452993393,0.16247615218162537,0.2516340911388397,0.21049343049526215,0.14922793209552765,0.1976994276046753,0.0028911917470395565,0.17547516524791718
fumbles,0.17731307446956635,0.1469249129295349,0.2792752683162689,0.5880454778671265,0.16302171349525452,0.13662727177143097,0.28203272819519043,0.1740398108959198,0.24734514951705933,0.31058406829833984,0.38857853412628174,0.06075746566057205,0.1826416552066803
.,0.3287222981452942,0.3974229395389557,0.19312141835689545,0.2241174876689911,0.35288307070732117,0.20990465581417084,0.26640716195106506,0.3547073304653168,0.4549728035926819,0.2757420241832733,0.21516893804073334,0.04325474053621292,0.4130953550338745
