,who,were,the,defending,super,bowl,champions,?
the,0.3733934462070465,0.3906462490558624,1.0,0.3322177529335022,0.21959073841571808,0.21576224267482758,0.26727694272994995,0.22068053483963013
broncos,0.1763724684715271,0.21682508289813995,0.25985947251319885,0.2980053424835205,0.36141330003738403,0.4351775348186493,0.39447247982025146,0.18377114832401276
finished,0.18257364630699158,0.20712995529174805,0.2754973769187927,0.26104500889778137,0.2583681046962738,0.26552706956863403,0.2357684075832367,0.14789283275604248
the,0.3733934462070465,0.3906462490558624,1.0,0.3322177529335022,0.21959073841571808,0.21576224267482758,0.26727694272994995,0.22068053483963013
regular,0.2929244339466095,0.22610516846179962,0.3214086890220642,0.2733325958251953,0.21446830034255981,0.2318909466266632,0.28051167726516724,0.18334713578224182
season,0.13809308409690857,0.20231115818023682,0.2507155239582062,0.2339801788330078,0.2755677402019501,0.3117852509021759,0.3688361644744873,0.16793298721313477
with,0.3282766342163086,0.3179011940956116,0.4223487675189972,0.3193020224571228,0.1518537551164627,0.18353787064552307,0.23339363932609558,0.2433311939239502
a,0.36608949303627014,0.17203083634376526,0.5829201340675354,0.2552136778831482,0.26005712151527405,0.19533146917819977,0.15248949825763702,0.23916715383529663
12–4,-0.0220048651099205,-0.07857716828584671,0.06233663484454155,0.09581150859594345,0.07920704782009125,0.060973159968853,0.13092456758022308,0.4863562285900116
record,0.24139603972434998,0.2188205122947693,0.23569516837596893,0.202751025557518,0.2505435347557068,0.24389338493347168,0.25178736448287964,0.14407116174697876
",",0.3365725874900818,0.36755475401878357,0.4933079481124878,0.2921448349952698,0.22322475910186768,0.1810409277677536,0.29835984110832214,0.31091248989105225
and,0.41279885172843933,0.42175528407096863,0.5171257257461548,0.2977047562599182,0.18368244171142578,0.1698254644870758,0.2630895972251892,0.20544172823429108
denied,0.22065044939517975,0.2762676775455475,0.22753532230854034,0.25905799865722656,0.13265404105186462,0.10480634868144989,0.24735066294670105,0.2030181586742401
the,0.3733934462070465,0.3906462490558624,1.0,0.3322177529335022,0.21959073841571808,0.21576224267482758,0.26727694272994995,0.22068053483963013
new,0.2378052920103073,0.21711495518684387,0.3845241069793701,0.1771290898323059,0.2769954204559326,0.1471257209777832,0.1562984138727188,0.14782847464084625
england,0.23733465373516083,0.3110785484313965,0.28280043601989746,0.10199588537216187,0.1663348525762558,0.2602803111076355,0.194716215133667,0.13436897099018097
patriots,0.19197839498519897,0.23409396409988403,0.2345433384180069,0.25730136036872864,0.3206230401992798,0.37643110752105713,0.2705903947353363,0.11474817991256714
a,0.36608949303627014,0.17203083634376526,0.5829201340675354,0.2552136778831482,0.26005712151527405,0.19533146917819977,0.15248949825763702,0.23916715383529663
chance,0.3253352642059326,0.2050342559814453,0.26683303713798523,0.2953442633152008,0.12130912393331528,0.1688411682844162,0.23994705080986023,0.274066299200058
to,0.42656609416007996,0.31913647055625916,0.535392165184021,0.33036428689956665,0.17783479392528534,0.16993016004562378,0.21316611766815186,0.29463258385658264
defend,0.2716797888278961,0.2747194468975067,0.2784505784511566,0.7948992848396301,0.16312596201896667,0.14746296405792236,0.24671229720115662,0.21878457069396973
their,0.3767721951007843,0.43277356028556824,0.516537070274353,0.2960013151168823,0.14342328906059265,0.1663845032453537,0.17023080587387085,0.1898253709077835
title,0.18150031566619873,0.11128851026296616,0.27465343475341797,0.3365424573421478,0.22950704395771027,0.21912378072738647,0.33230870962142944,0.34551161527633667
from,0.27839982509613037,0.29991888999938965,0.40150508284568787,0.2465078979730606,0.15985457599163055,0.09946706146001816,0.15932835638523102,0.19969791173934937
super,0.1819351613521576,0.18743500113487244,0.21959073841571808,0.19473855197429657,1.0000001192092896,0.4848237931728363,0.31014660000801086,0.166326642036438
bowl,0.09189514070749283,0.17085392773151398,0.21576224267482758,0.15102194249629974,0.4848237931728363,1.0,0.34639331698417664,0.21118052303791046
xlix,0.14243003726005554,0.18127237260341644,0.28379157185554504,0.24913224577903748,0.4939202070236206,0.5432188510894775,0.40310177206993103,0.2639070451259613
by,0.39727845788002014,0.4406847059726715,0.4408751428127289,0.24967873096466064,0.15233319997787476,0.12992306053638458,0.18373651802539825,0.17966607213020325
defeating,0.22841358184814453,0.20394527912139893,0.31832075119018555,0.5811693668365479,0.2544234097003937,0.27912637591362,0.4772491157054901,0.15296590328216553
them,0.5243523120880127,0.4602346122264862,0.4788833558559418,0.352456271648407,0.17214158177375793,0.16690661013126373,0.16532151401042938,0.35435691475868225
20–18,0.20716576278209686,0.2699238657951355,0.07738925516605377,0.08964060992002487,-0.0583694688975811,-0.01371762901544571,0.02458929270505905,0.10603919625282288
in,0.2792111933231354,0.3815755248069763,0.6662389636039734,0.2688160538673401,0.18576006591320038,0.17236235737800598,0.20398108661174774,0.20430970191955566
the,0.3733934462070465,0.3906462490558624,1.0,0.3322177529335022,0.21959073841571808,0.21576224267482758,0.26727694272994995,0.22068053483963013
afc,0.13655321300029755,0.18922588229179382,0.25863510370254517,0.31483370065689087,0.37206512689590454,0.41199249029159546,0.5145875811576843,0.2026895433664322
championship,0.15638136863708496,0.1939602643251419,0.2540402412414551,0.3780851662158966,0.28836938738822937,0.3428266644477844,0.7962618470191956,0.1390383541584015
game,0.2523840069770813,0.21951238811016083,0.285271555185318,0.2670046389102936,0.3480181396007538,0.2413962334394455,0.24219827353954315,0.1829071193933487
.,0.3541337847709656,0.3378238379955292,0.5934505462646484,0.2907489538192749,0.2757420241832733,0.21516893804073334,0.25080645084381104,0.4130953550338745
