,how,many,points,did,the,panthers,defense,surrender,?
the,0.33890387415885925,0.4335206151008606,0.2560983896255493,0.34736719727516174,1.0,0.2602776288986206,0.2604767382144928,0.27931663393974304,0.22068053483963013
panthers,0.1117783859372139,0.14744015038013458,0.2312498390674591,0.189295694231987,0.2602776288986206,0.9999999403953552,0.17159238457679749,0.16552777588367462,0.16608978807926178
defense,0.14550013840198517,0.1536635160446167,0.2177487164735794,0.14361093938350677,0.2604767382144928,0.17159238457679749,1.0,0.2761154770851135,0.21935760974884033
gave,0.19802825152873993,0.21511444449424744,0.17719872295856476,0.4154756963253021,0.32555076479911804,0.12951630353927612,0.2083331048488617,0.3060283362865448,0.1910865753889084
up,0.2819872200489044,0.2688518464565277,0.23252657055854797,0.21613863110542297,0.38423117995262146,0.22487294673919678,0.15267865359783173,0.23974595963954926,0.1819818764925003
just,0.41178324818611145,0.3534678518772125,0.29960376024246216,0.38283270597457886,0.40061673521995544,0.2082705944776535,0.17800398170948029,0.17639294266700745,0.4144178032875061
308,0.20550771057605743,0.3341686427593231,0.20784156024456024,0.11333061009645462,0.4175225496292114,0.13859032094478607,0.1068197563290596,0.10645920038223267,0.2011851817369461
points,0.22446410357952118,0.17477619647979736,1.0000001192092896,0.2069225311279297,0.2560983896255493,0.2312498390674591,0.2177487164735794,0.13721556961536407,0.11006313562393188
",",0.22659391164779663,0.40610817074775696,0.2862778604030609,0.3015086054801941,0.4933079481124878,0.2494642585515976,0.21538467705249786,0.27091357111930847,0.31091248989105225
ranking,0.21406538784503937,0.24067576229572296,0.27078700065612793,0.23125748336315155,0.3187980651855469,0.22720327973365784,0.13975165784358978,0.18853053450584412,0.18589437007904053
sixth,0.08715979754924774,0.10471410304307938,0.16906994581222534,0.16302378475666046,0.36289259791374207,0.1922350972890854,0.15053518116474152,0.13658076524734497,0.11620894819498062
in,0.2601168751716614,0.41474202275276184,0.1616203784942627,0.2593238651752472,0.6662389636039734,0.2115829735994339,0.20235490798950195,0.25480160117149353,0.20430970191955566
the,0.33890387415885925,0.4335206151008606,0.2560983896255493,0.34736719727516174,1.0,0.2602776288986206,0.2604767382144928,0.27931663393974304,0.22068053483963013
league,0.04579940438270569,0.15746146440505981,0.2021702080965042,0.17557655274868011,0.2724147439002991,0.38784167170524597,0.19486981630325317,0.22027668356895447,0.15941482782363892
",",0.22659391164779663,0.40610817074775696,0.2862778604030609,0.3015086054801941,0.4933079481124878,0.2494642585515976,0.21538467705249786,0.27091357111930847,0.31091248989105225
while,0.2918691337108612,0.3748262822628021,0.2283051460981369,0.3330625295639038,0.39804592728614807,0.19775532186031342,0.17814886569976807,0.21422883868217468,0.21076419949531555
also,0.43506327271461487,0.6258217096328735,0.23506473004817963,0.39334940910339355,0.6021018624305725,0.2513844072818756,0.2160360962152481,0.13203264772891998,0.21848613023757935
leading,0.18543758988380432,0.2955435812473297,0.2056993693113327,0.20311816036701202,0.3809107840061188,0.2612805962562561,0.18134483695030212,0.16606003046035767,0.1360926628112793
the,0.33890387415885925,0.4335206151008606,0.2560983896255493,0.34736719727516174,1.0,0.2602776288986206,0.2604767382144928,0.27931663393974304,0.22068053483963013
nfl,0.09207417815923691,0.09887322783470154,0.16934609413146973,0.16524574160575867,0.15305201709270477,0.4153780937194824,0.20811912417411804,0.15868549048900604,0.10610254108905792
in,0.2601168751716614,0.41474202275276184,0.1616203784942627,0.2593238651752472,0.6662389636039734,0.2115829735994339,0.20235490798950195,0.25480160117149353,0.20430970191955566
interceptions,0.2084771692752838,0.21864065527915955,0.4051841199398041,0.21840861439704895,0.22331646084785461,0.3591367304325104,0.39709994196891785,0.24095025658607483,0.10945115238428116
with,0.3525622487068176,0.35744401812553406,0.2832765281200409,0.25472134351730347,0.4223487675189972,0.23276561498641968,0.19516409933567047,0.18517355620861053,0.2433311939239502
24,-0.016954585909843445,-0.047841135412454605,0.027124876156449318,-0.04566230997443199,0.009148004464805126,0.0599583238363266,-0.016863767057657242,-0.094576895236969,0.016154835000634193
and,0.33647966384887695,0.5296266674995422,0.2753230333328247,0.34479495882987976,0.5171257257461548,0.2230100929737091,0.20962949097156525,0.21680258214473724,0.20544172823429108
boasting,0.3074793219566345,0.3160076439380646,0.15162628889083862,0.18090026080608368,0.3384164273738861,0.20575885474681854,0.3090713620185852,0.18144622445106506,0.24996808171272278
four,0.1955733299255371,0.4139232039451599,0.20807121694087982,0.20222175121307373,0.40344667434692383,0.22354649007320404,0.1351817548274994,0.16071055829524994,0.14532537758350372
pro,0.18713277578353882,0.13571034371852875,0.091352678835392,0.14497412741184235,0.2149612456560135,0.20294983685016632,0.22919362783432007,0.1087750792503357,0.17645101249217987
bowl,0.1720007210969925,0.17932994663715363,0.1368209570646286,0.18569406867027283,0.21576224267482758,0.34713199734687805,0.20597675442695618,0.0960426852107048,0.21118052303791046
selections,0.29313933849334717,0.2996109426021576,0.22697044909000397,0.20442557334899902,0.2473832219839096,0.2650362551212311,0.24562866985797882,0.06528856605291367,0.25070586800575256
.,0.3287222981452942,0.3974229395389557,0.19175463914871216,0.35288307070732117,0.5934505462646484,0.23446570336818695,0.26610422134399414,0.2190479040145874,0.4130953550338745
