,in,what,city,is,the,moscone,center,located,?
the,0.6662389636039734,0.42745697498321533,0.35769423842430115,0.5823672413825989,1.0,0.30502593517303467,0.29064592719078064,0.407527357339859,0.22068053483963013
annual,0.2557781934738159,0.14798973500728607,0.21812060475349426,0.20538382232189178,0.2958983778953552,0.22226352989673615,0.21705931425094604,0.17655660212039948,0.1083487942814827
nfl,0.12599408626556396,0.12579965591430664,0.171630859375,0.12479410320520401,0.15305201709270477,0.26426073908805847,0.1418347954750061,0.024302611127495766,0.10610254108905792
experience,0.19806437194347382,0.3894727826118469,0.093731589615345,0.19130541384220123,0.21682339906692505,0.09628963470458984,0.167202889919281,0.1473560780286789,0.25203612446784973
was,0.45514053106307983,0.22111038863658905,0.3188765048980713,0.5810302495956421,0.48711544275283813,0.3655855357646942,0.19517986476421356,0.20133289694786072,0.18412111699581146
held,0.3127288818359375,0.0974166989326477,0.21825216710567474,0.19884860515594482,0.32185450196266174,0.2881282866001129,0.2514551877975464,0.30941832065582275,0.14103956520557404
at,0.4374977946281433,0.2838611304759979,0.2310783565044403,0.25906258821487427,0.457212895154953,0.31536146998405457,0.29677248001098633,0.3688831031322479,0.21978627145290375
the,0.6662389636039734,0.42745697498321533,0.35769423842430115,0.5823672413825989,1.0,0.30502593517303467,0.29064592719078064,0.407527357339859,0.22068053483963013
moscone,0.28995877504348755,0.14248551428318024,0.3304080367088318,0.22087174654006958,0.30502593517303467,1.0,0.208943173289299,0.21504801511764526,0.10797344148159027
center,0.27253323793411255,0.1908310204744339,0.32096901535987854,0.24782158434391022,0.29064592719078064,0.208943173289299,0.9999999403953552,0.33815571665763855,0.12538520991802216
in,1.0,0.30808621644973755,0.3911624252796173,0.5394441485404968,0.6662389636039734,0.28995877504348755,0.27253323793411255,0.35149815678596497,0.20430970191955566
san,0.2617562413215637,0.19375550746917725,0.32193511724472046,0.1594623327255249,0.2858080565929413,0.45650798082351685,0.24079224467277527,0.19361372292041779,0.10952327400445938
francisco,0.21278683841228485,0.17887917160987854,0.26995041966438293,0.12765364348888397,0.25086042284965515,0.4284886419773102,0.1576988399028778,0.13487261533737183,0.1020219698548317
.,0.5591574311256409,0.3567904531955719,0.29856356978416443,0.4569662809371948,0.5934505462646484,0.31820935010910034,0.29649654030799866,0.28226932883262634,0.4130953550338745
