,on,what,day,does,the,super,bowl,media,day,traditionally,take,place,?
the,0.5107308030128479,0.42745697498321533,0.3062323033809662,0.35928019881248474,1.0,0.21959073841571808,0.21576224267482758,0.19221965968608856,0.3062323033809662,0.32626137137413025,0.31620436906814575,0.4179787337779999,0.22068053483963013
game,0.22967135906219482,0.2246788740158081,0.19963723421096802,0.15644396841526031,0.285271555185318,0.3480181396007538,0.2413962334394455,0.24786706268787384,0.19963723421096802,0.18446968495845795,0.20187129080295563,0.19114939868450165,0.1829071193933487
's,0.0026888418942689896,0.02692362666130066,0.03448042273521423,-0.02895052544772625,-0.01540423184633255,0.09726737439632416,-0.02838491089642048,0.07690927386283875,0.03448042273521423,0.06676346808671951,0.02030942589044571,-0.03236493840813637,-0.023395681753754616
media,0.19591841101646423,0.18292108178138733,0.06667249649763107,0.18055978417396545,0.19221965968608856,0.2023422122001648,0.10416857153177261,0.9999999403953552,0.06667249649763107,0.13436439633369446,0.13604000210762024,0.1137552261352539,0.1571006178855896
day,0.3332281708717346,0.2990210950374603,1.0,0.12629863619804382,0.3062323033809662,0.12438684701919556,0.17859336733818054,0.06667249649763107,1.0,0.2557859420776367,0.23210129141807556,0.23354797065258026,0.2141837179660797
",",0.49057599902153015,0.3087472915649414,0.30821847915649414,0.28617382049560547,0.4933079481124878,0.22322475910186768,0.1810409277677536,0.23135341703891754,0.30821847915649414,0.2653433680534363,0.2881867289543152,0.34068408608436584,0.31091248989105225
which,0.4245251417160034,0.5261979103088379,0.2760511040687561,0.39111801981925964,0.6521818041801453,0.25759580731391907,0.23468568921089172,0.21947839856147766,0.2760511040687561,0.37881484627723694,0.28362178802490234,0.31738516688346863,0.25814583897590637
was,0.3909217119216919,0.22111038863658905,0.24314451217651367,0.19302551448345184,0.48711544275283813,0.21420986950397491,0.21915455162525177,0.17841780185699463,0.24314451217651367,0.28158822655677795,0.15919329226016998,0.26867109537124634,0.18412111699581146
typically,0.22215910255908966,0.2460547685623169,0.1290440857410431,0.31322675943374634,0.33345210552215576,0.19588299095630646,0.20918312668800354,0.16736355423927307,0.1290440857410431,0.4412439167499542,0.2508386969566345,0.15078452229499817,0.14485043287277222
held,0.2410694807767868,0.0974166989326477,0.26760637760162354,0.14484372735023499,0.32185450196266174,0.1602509617805481,0.1913566142320633,0.16542178392410278,0.26760637760162354,0.2892153263092041,0.283068984746933,0.3675558865070343,0.14103956520557404
on,0.9999999403953552,0.34226128458976746,0.3332281708717346,0.2568802833557129,0.5107308030128479,0.1569211632013321,0.1334993690252304,0.19591841101646423,0.3332281708717346,0.19598093628883362,0.27423644065856934,0.32431602478027344,0.2714994251728058
the,0.5107308030128479,0.42745697498321533,0.3062323033809662,0.35928019881248474,1.0,0.21959073841571808,0.21576224267482758,0.19221965968608856,0.3062323033809662,0.32626137137413025,0.31620436906814575,0.4179787337779999,0.22068053483963013
tuesday,0.2984199523925781,0.1987089216709137,0.3562348186969757,0.09492615610361099,0.20012995600700378,0.23240308463573456,0.18528230488300323,0.1602354645729065,0.3562348186969757,0.16841797530651093,0.19083036482334137,0.22639450430870056,0.18223229050636292
afternoon,0.34778741002082825,0.15643343329429626,0.4275512099266052,0.09151562303304672,0.2482905238866806,0.14347326755523682,0.2340344786643982,0.08114715665578842,0.4275512099266052,0.19768767058849335,0.15312546491622925,0.2211882770061493,0.15454228222370148
prior,0.3162264823913574,0.2537507116794586,0.21696196496486664,0.21332383155822754,0.33782097697257996,0.22880366444587708,0.22557669878005981,0.18034997582435608,0.21696196496486664,0.22863098978996277,0.23087193071842194,0.2314472198486328,0.16978254914283752
to,0.41031414270401,0.455847829580307,0.21753256022930145,0.4391997456550598,0.535392165184021,0.17783479392528534,0.16993016004562378,0.21723589301109314,0.21753256022930145,0.3243606984615326,0.4075521230697632,0.3346366882324219,0.29463258385658264
the,0.5107308030128479,0.42745697498321533,0.3062323033809662,0.35928019881248474,1.0,0.21959073841571808,0.21576224267482758,0.19221965968608856,0.3062323033809662,0.32626137137413025,0.31620436906814575,0.4179787337779999,0.22068053483963013
game,0.22967135906219482,0.2246788740158081,0.19963723421096802,0.15644396841526031,0.285271555185318,0.3480181396007538,0.2413962334394455,0.24786706268787384,0.19963723421096802,0.18446968495845795,0.20187129080295563,0.19114939868450165,0.1829071193933487
",",0.49057599902153015,0.3087472915649414,0.30821847915649414,0.28617382049560547,0.4933079481124878,0.22322475910186768,0.1810409277677536,0.23135341703891754,0.30821847915649414,0.2653433680534363,0.2881867289543152,0.34068408608436584,0.31091248989105225
was,0.3909217119216919,0.22111038863658905,0.24314451217651367,0.19302551448345184,0.48711544275283813,0.21420986950397491,0.21915455162525177,0.17841780185699463,0.24314451217651367,0.28158822655677795,0.15919329226016998,0.26867109537124634,0.18412111699581146
moved,0.27367034554481506,0.20601840317249298,0.14585089683532715,0.13176335394382477,0.32031023502349854,0.19257290661334991,0.20404411852359772,0.11358164250850677,0.14585089683532715,0.11029794067144394,0.23831342160701752,0.278221994638443,0.15112607181072235
to,0.41031414270401,0.455847829580307,0.21753256022930145,0.4391997456550598,0.535392165184021,0.17783479392528534,0.16993016004562378,0.21723589301109314,0.21753256022930145,0.3243606984615326,0.4075521230697632,0.3346366882324219,0.29463258385658264
the,0.5107308030128479,0.42745697498321533,0.3062323033809662,0.35928019881248474,1.0,0.21959073841571808,0.21576224267482758,0.19221965968608856,0.3062323033809662,0.32626137137413025,0.31620436906814575,0.4179787337779999,0.22068053483963013
monday,0.35309505462646484,0.2309933304786682,0.44473156332969666,0.14643628895282745,0.2114151269197464,0.17750458419322968,0.22726322710514069,0.13372261822223663,0.44473156332969666,0.19883045554161072,0.22473369538784027,0.19987474381923676,0.21348176896572113
evening,0.32098355889320374,0.21739105880260468,0.3926416337490082,0.17139270901679993,0.26509222388267517,0.10377879440784454,0.17434057593345642,0.12204697728157043,0.3926416337490082,0.2307235151529312,0.20494133234024048,0.2267555296421051,0.15503956377506256
and,0.4077630043029785,0.31309178471565247,0.26673999428749084,0.3461615741252899,0.5171257257461548,0.18368244171142578,0.1698254644870758,0.28782835602760315,0.26673999428749084,0.3186349868774414,0.296702116727829,0.2813849449157715,0.20544172823429108
re-branded,0.2890627384185791,0.18635530769824982,0.2195402979850769,0.11547078937292099,0.285307377576828,0.21721380949020386,0.13449451327323914,0.23846013844013214,0.2195402979850769,0.22324474155902863,0.24438872933387756,0.1733979731798172,0.16268296539783478
as,0.36047765612602234,0.31749409437179565,0.23300392925739288,0.31202155351638794,0.48381632566452026,0.21450649201869965,0.14539222419261932,0.19105610251426697,0.23300392925739288,0.3660774230957031,0.26337623596191406,0.24125029146671295,0.27043893933296204
super,0.1569211632013321,0.13651713728904724,0.12438684701919556,0.10955630242824554,0.21959073841571808,1.0000001192092896,0.4848237931728363,0.2023422122001648,0.12438684701919556,0.13984854519367218,0.1732010841369629,0.06724333763122559,0.166326642036438
bowl,0.1334993690252304,0.15942467749118805,0.17859336733818054,0.11175493150949478,0.21576224267482758,0.4848237931728363,1.0,0.10416857153177261,0.17859336733818054,0.18005818128585815,0.1148882582783699,0.15577438473701477,0.21118052303791046
opening,0.2229088544845581,0.18146683275699615,0.20668262243270874,0.12275540828704834,0.37298497557640076,0.1250116229057312,0.22217077016830444,0.11797843873500824,0.20668262243270874,0.17037555575370789,0.17238524556159973,0.2711036205291748,0.16502447426319122
night,0.28230446577072144,0.20251014828681946,0.41238686442375183,0.17079299688339233,0.2817382514476776,0.14823408424854279,0.19687917828559875,0.05729071423411369,0.41238686442375183,0.18140409886837006,0.19448505342006683,0.23342254757881165,0.13794848322868347
.,0.49257001280784607,0.3567904531955719,0.24232520163059235,0.3022993505001068,0.5934505462646484,0.2757420241832733,0.21516893804073334,0.2313707321882248,0.24232520163059235,0.2202395647764206,0.3045158088207245,0.2844318151473999,0.4130953550338745
