,who,shared,sideline,reporting,duties,with,mark,malone,?
westwood,0.18958885967731476,0.07001633197069168,0.49073898792266846,0.21682411432266235,0.1449347585439682,0.1647321730852127,0.21123018860816956,0.4790048897266388,0.17119714617729187
one,0.40083858370780945,0.23068730533123016,0.19887381792068481,0.1688307672739029,0.16695652902126312,0.3855307400226593,0.17211125791072845,0.2127087265253067,0.2673267424106598
will,0.24651563167572021,0.15908022224903107,0.26499098539352417,0.23582963645458221,0.19853566586971283,0.33888739347457886,0.15114466845989227,0.09241222590208054,0.35046905279159546
carry,0.20254260301589966,0.13243113458156586,0.06319878995418549,0.21345826983451843,0.35862788558006287,0.22976382076740265,0.036908574402332306,0.09486962109804153,0.17171701788902283
the,0.3733934462070465,0.21652492880821228,0.2606579065322876,0.2787152826786041,0.21765777468681335,0.4223487675189972,0.2235521525144577,0.23672804236412048,0.22068053483963013
game,0.2523840069770813,0.14733733236789703,0.34350115060806274,0.2348216474056244,0.10119308531284332,0.19394829869270325,0.19011835753917694,0.21147896349430084,0.1829071193933487
throughout,0.22343657910823822,0.19957491755485535,0.17472879588603973,0.21770502626895905,0.29386401176452637,0.3559260964393616,0.07346376031637192,0.13085897266864777,0.12665234506130219
north,0.11026738584041595,0.08130630850791931,0.21627746522426605,0.1253184974193573,0.10861057788133621,0.185934916138649,0.15155839920043945,0.15024077892303467,0.11829731613397598
america,0.1830417811870575,0.12449433654546738,0.20113414525985718,0.19879873096942902,0.1850447952747345,0.21664398908615112,0.07399553060531616,0.14034424722194672,0.19333907961845398
",",0.3365725874900818,0.2729959785938263,0.22783276438713074,0.2700371742248535,0.2217356413602829,0.4120737314224243,0.2642361521720886,0.33208295702934265,0.31091248989105225
with,0.3282766342163086,0.35073861479759216,0.23826472461223602,0.2551405727863312,0.23237605392932892,0.9999999403953552,0.14849503338336945,0.2635071277618408,0.2433311939239502
kevin,0.2511484920978546,0.12959465384483337,0.36025306582450867,0.1711200326681137,0.15996716916561127,0.1865609884262085,0.27621906995773315,0.378428190946579,0.1176677793264389
harlan,0.2475024312734604,0.18797066807746887,0.32275599241256714,0.19912457466125488,0.17830246686935425,0.15966862440109253,0.28026285767555237,0.35459280014038086,0.1691509187221527
as,0.3923053741455078,0.1761624664068222,0.306721568107605,0.33357754349708557,0.2957364618778229,0.40387406945228577,0.248020738363266,0.2862527370452881,0.27043893933296204
play-by-play,0.2488287091255188,0.13320401310920715,0.4428194463253021,0.26991865038871765,0.16544634103775024,0.26767468452453613,0.21031612157821655,0.3651455342769623,0.2925850749015808
announcer,0.1876700222492218,0.13826818764209747,0.5297086238861084,0.3011842668056488,0.20254838466644287,0.18609726428985596,0.21868300437927246,0.3103165030479431,0.18424807488918304
",",0.3365725874900818,0.2729959785938263,0.22783276438713074,0.2700371742248535,0.2217356413602829,0.4120737314224243,0.2642361521720886,0.33208295702934265,0.31091248989105225
boomer,0.2918093502521515,0.13767646253108978,0.3263392746448517,0.1577453911304474,0.16382434964179993,0.19142243266105652,0.19140636920928955,0.4071827530860901,0.1773107945919037
esiason,0.276216596364975,0.15072846412658691,0.3323132395744324,0.26139938831329346,0.303480327129364,0.2719356119632721,0.20562027394771576,0.357064425945282,0.276677668094635
and,0.41279885172843933,0.2268613576889038,0.22910010814666748,0.2764517068862915,0.2645578980445862,0.5477725267410278,0.21048615872859955,0.293793261051178,0.20544172823429108
dan,0.24452054500579834,0.06394995748996735,0.23434680700302124,0.16481386125087738,0.08317241072654724,0.13039369881153107,0.19081982970237732,0.2953576147556305,0.12045673280954361
fouts,0.27286213636398315,0.2075493335723877,0.3059970736503601,0.2294679880142212,0.21471823751926422,0.2695961892604828,0.12573394179344177,0.21367581188678741,0.22210446000099182
as,0.3923053741455078,0.1761624664068222,0.306721568107605,0.33357754349708557,0.2957364618778229,0.40387406945228577,0.248020738363266,0.2862527370452881,0.27043893933296204
color,0.1621498465538025,0.09723231196403503,0.250257670879364,0.1718977838754654,0.15549108386039734,0.22848032414913177,0.15379348397254944,0.12302012741565704,0.21299609541893005
analysts,0.23764149844646454,0.12392111867666245,0.3612724840641022,0.4530140161514282,0.20342904329299927,0.1433960199356079,0.12464041262865067,0.142212375998497,0.18784141540527344
",",0.3365725874900818,0.2729959785938263,0.22783276438713074,0.2700371742248535,0.2217356413602829,0.4120737314224243,0.2642361521720886,0.33208295702934265,0.31091248989105225
and,0.41279885172843933,0.2268613576889038,0.22910010814666748,0.2764517068862915,0.2645578980445862,0.5477725267410278,0.21048615872859955,0.293793261051178,0.20544172823429108
james,0.2562035918235779,0.1572224646806717,0.29561811685562134,0.11228049546480179,0.20713591575622559,0.19248859584331512,0.2795525789260864,0.32144680619239807,0.12139993160963058
lofton,0.2292756289243698,0.10399433225393295,0.37894684076309204,0.12037237733602524,0.17742067575454712,0.18618474900722504,0.18677924573421478,0.4467991888523102,0.12585721909999847
and,0.41279885172843933,0.2268613576889038,0.22910010814666748,0.2764517068862915,0.2645578980445862,0.5477725267410278,0.21048615872859955,0.293793261051178,0.20544172823429108
mark,0.1636335253715515,0.13671445846557617,0.17400144040584564,0.13003158569335938,0.10375253111124039,0.14849503338336945,0.9999999403953552,0.2820151448249817,0.11634156107902527
malone,0.2876465618610382,0.09449176490306854,0.34883472323417664,0.15909147262573242,0.21558202803134918,0.2635071277618408,0.2820151448249817,1.0000001192092896,0.15293700993061066
as,0.3923053741455078,0.1761624664068222,0.306721568107605,0.33357754349708557,0.2957364618778229,0.40387406945228577,0.248020738363266,0.2862527370452881,0.27043893933296204
sideline,0.25843048095703125,0.11621180921792984,1.0,0.4281857907772064,0.176921546459198,0.23826472461223602,0.17400144040584564,0.34883472323417664,0.2637002468109131
reporters,0.30018317699432373,0.12494084984064102,0.3994097411632538,0.5988735556602478,0.14756152033805847,0.25287243723869324,0.13392797112464905,0.17371876537799835,0.20937705039978027
.,0.3541337847709656,0.2191859483718872,0.254624605178833,0.2918015122413635,0.1976740062236786,0.4446153938770294,0.21911589801311493,0.2690032422542572,0.4130953550338745
