,what,player,played,in,the,super,bowl,after,breaking,his,arm,two,weeks,before,?
linebacker,0.15475627779960632,0.44545871019363403,0.400376558303833,0.22480759024620056,0.19719967246055603,0.28596732020378113,0.4219481945037842,0.15671633183956146,0.23699472844600677,0.20751464366912842,0.20459869503974915,0.18493512272834778,0.11662530153989792,0.17747673392295837,0.15540370345115662
luke,0.17776814103126526,0.2534983158111572,0.2035762071609497,0.15941882133483887,0.22767658531665802,0.10818894952535629,0.07718328386545181,0.19913670420646667,0.18581204116344452,0.31341519951820374,0.18918028473854065,0.20360279083251953,0.1864248812198639,0.15581920742988586,0.07725545018911362
kuechly,0.36400744318962097,0.19329988956451416,0.2207563817501068,0.24422034621238708,0.306910902261734,0.23756176233291626,0.24586333334445953,0.215522900223732,0.14915232360363007,0.2672170102596283,0.16972289979457855,0.24114477634429932,0.1780761480331421,0.26957908272743225,0.28055086731910706
had,0.23849567770957947,0.12922927737236023,0.2842930257320404,0.385026752948761,0.3875846862792969,0.17216899991035461,0.1661457121372223,0.4133172631263733,0.21186304092407227,0.4401516616344452,0.17929543554782867,0.41487234830856323,0.3364015221595764,0.3737051784992218,0.20728366076946259
11,0.0032819851767271757,-0.011416824534535408,0.02757665328681469,0.03469983860850334,-0.0219515822827816,0.02372908778488636,-0.06893833726644516,0.010878360830247402,-0.04248203709721565,0.09203435480594635,-0.035356663167476654,-0.034478042274713516,0.03795690834522247,-0.0024110807571560144,-0.04295448586344719
total,0.19850242137908936,0.06791325658559799,0.0703691616654396,0.27667245268821716,0.27068960666656494,0.16075772047042847,0.13796210289001465,0.15080974996089935,0.1407676339149475,0.11309853941202164,0.15264633297920227,0.31595906615257263,0.2578079104423523,0.1640525609254837,0.14396025240421295
tackles,0.17651943862438202,0.26949015259742737,0.25117501616477966,0.18025051057338715,0.19076409935951233,0.23457856476306915,0.34894615411758423,0.16125988960266113,0.22683754563331604,0.29393723607063293,0.17687931656837463,0.08377458155155182,0.23923976719379425,0.19982966780662537,0.20188532769680023
",",0.3087472915649414,0.25826331973075867,0.2987361550331116,0.5201468467712402,0.4933079481124878,0.22322475910186768,0.1810409277677536,0.38860568404197693,0.2721969485282898,0.3378419280052185,0.1692921221256256,0.35859420895576477,0.27970150113105774,0.3156566619873047,0.31091248989105225
while,0.35511791706085205,0.17724208533763885,0.20544704794883728,0.3399278521537781,0.39804592728614807,0.20227555930614471,0.15627816319465637,0.42262914776802063,0.27333006262779236,0.39785656332969666,0.21990610659122467,0.3780401647090912,0.345597505569458,0.4318724274635315,0.21076419949531555
thomas,0.1806955188512802,0.12414050847291946,0.1526159644126892,0.21133768558502197,0.23505409061908722,0.16000761091709137,0.14911524951457977,0.1820588856935501,0.11452988535165787,0.20028819143772125,0.09396518021821976,0.1530531942844391,0.11717941612005234,0.12702468037605286,0.16133050620555878
