,what,team,had,244,yards,in,super,bowl,xxxv,?
the,0.42745697498321533,0.22564226388931274,0.3875846862792969,0.26079896092414856,0.16070343554019928,0.6662389636039734,0.21959073841571808,0.21576224267482758,0.304460734128952,0.22068053483963013
previous,0.2743692696094513,0.1667231172323227,0.349143385887146,0.06452253460884094,0.25488191843032837,0.2318485975265503,0.24849547445774078,0.15910620987415314,0.283456414937973,0.16724538803100586
record,0.1772487461566925,0.19106104969978333,0.24777771532535553,-0.00276929815299809,0.358747661113739,0.23162534832954407,0.2505435347557068,0.24389338493347168,0.33621978759765625,0.14407116174697876
was,0.22111038863658905,0.13986483216285706,0.5927209258079529,0.19054779410362244,0.1823360025882721,0.45514053106307983,0.21420986950397491,0.21915455162525177,0.3117193579673767,0.18412111699581146
244,0.2490273416042328,-0.07594126462936401,0.23190970718860626,0.9999998807907104,-0.08715749531984329,0.21161311864852905,0.02367275394499302,0.00826209131628275,-0.02462085336446762,0.020726049318909645
yards,0.1304803043603897,0.17900775372982025,0.19894513487815857,-0.08715749531984329,1.0,0.14206624031066895,0.22780416905879974,0.2993983328342438,0.3721933364868164,0.12453813850879669
by,0.2455483376979828,0.12826743721961975,0.37294110655784607,0.23201142251491547,0.1708054542541504,0.370934396982193,0.15233319997787476,0.12992306053638458,0.1906394213438034,0.17966607213020325
the,0.42745697498321533,0.22564226388931274,0.3875846862792969,0.26079896092414856,0.16070343554019928,0.6662389636039734,0.21959073841571808,0.21576224267482758,0.304460734128952,0.22068053483963013
baltimore,0.13383716344833374,0.22814702987670898,0.2179066389799118,0.038187138736248016,0.35071608424186707,0.25970259308815,0.27356502413749695,0.3280060291290283,0.418020099401474,0.13640713691711426
ravens,0.168565571308136,0.287939190864563,0.21088826656341553,-0.044273074716329575,0.4208855628967285,0.17661747336387634,0.3018425405025482,0.46275997161865234,0.5391549468040466,0.13021303713321686
in,0.30808621644973755,0.18841172754764557,0.385026752948761,0.21161311864852905,0.14206624031066895,1.0,0.18576006591320038,0.17236235737800598,0.23692528903484344,0.20430970191955566
super,0.13651713728904724,0.23339706659317017,0.17216899991035461,0.02367275394499302,0.22780416905879974,0.18576006591320038,1.0000001192092896,0.4848237931728363,0.5698505640029907,0.166326642036438
bowl,0.15942467749118805,0.20460736751556396,0.1661457121372223,0.00826209131628275,0.2993983328342438,0.17236235737800598,0.4848237931728363,1.0,0.6182736754417419,0.21118052303791046
xxxv,0.18331143260002136,0.272312730550766,0.2430293709039688,-0.02462085336446762,0.3721933364868164,0.23692528903484344,0.5698505640029907,0.6182736754417419,1.0000001192092896,0.2121264934539795
.,0.3567904531955719,0.26467522978782654,0.37348684668540955,0.15896466374397278,0.17664551734924316,0.5591574311256409,0.2757420241832733,0.21516893804073334,0.2736658453941345,0.4130953550338745
