,what,injury,did,manning,suffer,the,summer,before,the,season,started,?
under,0.20154598355293274,0.11906100064516068,0.20815621316432953,0.16125793755054474,0.13202787935733795,0.3348022699356079,0.0687628984451294,0.22195807099342346,0.3348022699356079,0.059347424656152725,0.2010912448167801,0.18233340978622437
kubiak,0.10377798974514008,0.25659236311912537,0.1598021686077118,0.3307993710041046,0.09445887058973312,0.1740415245294571,0.29052451252937317,0.18666338920593262,0.1740415245294571,0.3101365864276886,0.1896194964647293,0.15975911915302277
",",0.3087472915649414,0.23598910868167877,0.3015086054801941,0.30921146273612976,0.28302544355392456,0.4933079481124878,0.269391804933548,0.3156566619873047,0.4933079481124878,0.2232367992401123,0.32632124423980713,0.31091248989105225
the,0.42745697498321533,0.22097580134868622,0.34736719727516174,0.27058160305023193,0.22818626463413239,1.0,0.2685571610927582,0.45900648832321167,1.0,0.2507155239582062,0.3222070634365082,0.22068053483963013
broncos,0.1787765771150589,0.38810256123542786,0.1738176792860031,0.4807402193546295,0.16572777926921844,0.25985947251319885,0.17400752007961273,0.18793711066246033,0.25985947251319885,0.3664494454860687,0.20058512687683105,0.18377114832401276
planned,0.21141068637371063,0.10566692799329758,0.3708326518535614,0.17176447808742523,0.12655238807201385,0.3010992109775543,0.1879141926765442,0.2827056348323822,0.3010992109775543,0.1452321708202362,0.31859371066093445,0.16188396513462067
to,0.455847829580307,0.24385890364646912,0.4452643394470215,0.24857525527477264,0.2893508970737457,0.535392165184021,0.23132751882076263,0.4190867841243744,0.535392165184021,0.22382742166519165,0.24973157048225403,0.29463258385658264
install,0.26007506251335144,0.11349806189537048,0.20188073813915253,0.1562677025794983,0.1398540884256363,0.18724390864372253,0.16043536365032196,0.1957968771457672,0.18724390864372253,0.09267032891511917,0.12206285446882248,0.2745343744754791
a,0.3320399522781372,0.27168452739715576,0.2552328109741211,0.2509649395942688,0.2534792721271515,0.5829201340675354,0.21519871056079865,0.3583870828151703,0.5829201340675354,0.1855505406856537,0.29961374402046204,0.23916715383529663
run-oriented,0.19679005444049835,0.190362349152565,0.1544562131166458,0.1429678052663803,0.20231527090072632,0.26444050669670105,0.22823238372802734,0.1485792100429535,0.26444050669670105,0.1752462238073349,0.2480558604001999,0.10559862107038498
offense,0.311376690864563,0.32460251450538635,0.2501390278339386,0.2943726181983948,0.23570650815963745,0.25977253913879395,0.1439090073108673,0.19081830978393555,0.25977253913879395,0.17414431273937225,0.08094513416290283,0.28476977348327637
