,where,was,the,nfl,experience,held,for,the,2015,season,?
the,0.5003893971443176,0.48711544275283813,1.0,0.15305201709270477,0.21682339906692505,0.32185450196266174,0.4739971458911896,1.0,0.1466771513223648,0.2507155239582062,0.22068053483963013
annual,0.1861288696527481,0.19130820035934448,0.2958983778953552,0.11959588527679443,0.14677971601486206,0.3879128098487854,0.28860941529273987,0.2958983778953552,0.10831113904714584,0.2754397988319397,0.1083487942814827
nfl,0.12692436575889587,0.20145657658576965,0.15305201709270477,1.0,0.11086825281381607,0.15049099922180176,0.23749186098575592,0.15305201709270477,-0.006650217808783054,0.3929455280303955,0.10610254108905792
experience,0.22362922132015228,0.17093802988529205,0.21682339906692505,0.11086825281381607,1.0000001192092896,0.1624629646539688,0.29364609718322754,0.21682339906692505,-0.09829831123352051,0.1686868965625763,0.25203612446784973
was,0.20731619000434875,1.0000001192092896,0.48711544275283813,0.20145657658576965,0.17093802988529205,0.30231067538261414,0.3863949179649353,0.48711544275283813,0.14799827337265015,0.24797968566417694,0.18412111699581146
held,0.27823105454444885,0.30231067538261414,0.32185450196266174,0.15049099922180176,0.1624629646539688,1.0,0.2495253086090088,0.32185450196266174,0.17899009585380554,0.18285582959651947,0.14103956520557404
at,0.4402937591075897,0.36707764863967896,0.457212895154953,0.20260320603847504,0.22353319823741913,0.3822793960571289,0.34237727522850037,0.457212895154953,0.12469656765460968,0.18120098114013672,0.21978627145290375
the,0.5003893971443176,0.48711544275283813,1.0,0.15305201709270477,0.21682339906692505,0.32185450196266174,0.4739971458911896,1.0,0.1466771513223648,0.2507155239582062,0.22068053483963013
moscone,0.20136429369449615,0.3655855357646942,0.30502593517303467,0.26426073908805847,0.09628963470458984,0.2881282866001129,0.23045647144317627,0.30502593517303467,0.08317867666482925,0.22167252004146576,0.10797344148159027
center,0.2405661791563034,0.19517986476421356,0.29064592719078064,0.1418347954750061,0.167202889919281,0.2514551877975464,0.1980270892381668,0.29064592719078064,0.03688201680779457,0.16515956819057465,0.12538520991802216
in,0.5344807505607605,0.45514053106307983,0.6662389636039734,0.12599408626556396,0.19806437194347382,0.3127288818359375,0.4322226941585541,0.6662389636039734,0.0891268327832222,0.2184021919965744,0.20430970191955566
san,0.23934276401996613,0.2675222158432007,0.2858080565929413,0.225969135761261,0.146830752491951,0.1226641833782196,0.21004900336265564,0.2858080565929413,0.05658043175935745,0.15167145431041718,0.10952327400445938
francisco,0.17644990980625153,0.24025709927082062,0.25086042284965515,0.24973660707473755,0.15988704562187195,0.12840238213539124,0.2142373025417328,0.25086042284965515,0.006239801645278931,0.11159447580575943,0.1020219698548317
.,0.41390106081962585,0.40146201848983765,0.5934505462646484,0.1964210718870163,0.22749435901641846,0.2628571093082428,0.4726039469242096,0.5934505462646484,0.06607602536678314,0.24674734473228455,0.4130953550338745
