,which,mobile,service,were,verizon,customers,able,to,watch,super,bowl,50,on,their,phones,?
due,0.26323074102401733,0.1362721025943756,0.17099058628082275,0.17703603208065033,0.22789062559604645,0.22250647842884064,0.21982930600643158,0.35188060998916626,0.19463381171226501,0.17850907146930695,0.13443246483802795,0.08792604506015778,0.3553527891635895,0.24727599322795868,0.14037799835205078,0.10954997688531876
to,0.5345056653022766,0.18712052702903748,0.24411341547966003,0.31913647055625916,0.2154601663351059,0.3428913950920105,0.529755175113678,1.0,0.2955072224140167,0.17783479392528534,0.16993016004562378,-0.024239253252744675,0.41031414270401,0.44619059562683105,0.2380242794752121,0.29463258385658264
verizon,0.23696771264076233,0.341983824968338,0.3058696687221527,0.17193268239498138,1.0,0.4136163592338562,0.2163739651441574,0.2154601663351059,0.19742938876152039,0.2024889588356018,0.21229338645935059,0.027455683797597885,0.27186712622642517,0.18617357313632965,0.3730786442756653,0.17554552853107452
communications,0.2752927243709564,0.3655378222465515,0.39186030626296997,0.19398754835128784,0.4575967490673065,0.3534083962440491,0.22766323387622833,0.2257905900478363,0.22886177897453308,0.14927710592746735,0.09886879473924637,0.004756609443575144,0.2067214697599411,0.24513447284698486,0.517825722694397,0.09561901539564133
exclusivity,0.36230313777923584,0.16079197824001312,0.26834219694137573,0.1959460824728012,0.3147933781147003,0.3487088680267334,0.2103380560874939,0.30238789319992065,0.21015939116477966,0.20922590792179108,0.14643821120262146,-0.09839857369661331,0.30348527431488037,0.2993907332420349,0.2418137788772583,0.16407433152198792
",",0.3658004403114319,0.2336195558309555,0.2389259785413742,0.36755475401878357,0.25143179297447205,0.15941546857357025,0.28725793957710266,0.44245919585227966,0.19597528874874115,0.22322475910186768,0.1810409277677536,-0.025195008143782616,0.49057599902153015,0.3045167922973633,0.21309082210063934,0.31091248989105225
streaming,0.35208848118782043,0.28639838099479675,0.3720870912075043,0.13763010501861572,0.389005571603775,0.3146645128726959,0.23354175686836243,0.27191177010536194,0.268684446811676,0.21918679773807526,0.17536187171936035,-0.01372443325817585,0.320134699344635,0.2478855699300766,0.33770138025283813,0.19690081477165222
on,0.4245251417160034,0.2281070202589035,0.21384719014167786,0.2774328887462616,0.27186712622642517,0.18067432940006256,0.27045732736587524,0.41031414270401,0.26631927490234375,0.1569211632013321,0.1334993690252304,0.05590687692165375,0.9999999403953552,0.3598666191101074,0.19611085951328278,0.2714994251728058
smartphones,0.28524547815322876,0.5469534397125244,0.2829724848270416,0.21775004267692566,0.4311070144176483,0.45900747179985046,0.3054702877998352,0.24930500984191895,0.3008146584033966,0.25305798649787903,0.13666130602359772,-0.00531040458008647,0.21007202565670013,0.2718501389026642,0.8333446383476257,0.23329822719097137
was,0.2830964922904968,0.16443876922130585,0.22689001262187958,0.590133786201477,0.2213466316461563,0.16072756052017212,0.19031302630901337,0.3636345863342285,0.17132973670959473,0.21420986950397491,0.21915455162525177,-0.0011744623770937324,0.3909217119216919,0.2396296262741089,0.16566155850887299,0.18412111699581146
only,0.5654799342155457,0.2616855502128601,0.22657595574855804,0.34466472268104553,0.21507270634174347,0.25098717212677,0.42804116010665894,0.5096819996833801,0.253092885017395,0.2209789752960205,0.1793411821126938,0.041510678827762604,0.38586410880088806,0.374733567237854,0.3062189817428589,0.2767370045185089
provided,0.26667746901512146,0.2587030827999115,0.3661322295665741,0.23583292961120605,0.2653467357158661,0.28032565116882324,0.35711830854415894,0.28066325187683105,0.16491536796092987,0.09278950095176697,0.11037559062242508,-0.038702115416526794,0.24629086256027222,0.2698320150375366,0.22746437788009644,0.16893617808818817
to,0.5345056653022766,0.18712052702903748,0.24411341547966003,0.31913647055625916,0.2154601663351059,0.3428913950920105,0.529755175113678,1.0,0.2955072224140167,0.17783479392528534,0.16993016004562378,-0.024239253252744675,0.41031414270401,0.44619059562683105,0.2380242794752121,0.29463258385658264
verizon,0.23696771264076233,0.341983824968338,0.3058696687221527,0.17193268239498138,1.0,0.4136163592338562,0.2163739651441574,0.2154601663351059,0.19742938876152039,0.2024889588356018,0.21229338645935059,0.027455683797597885,0.27186712622642517,0.18617357313632965,0.3730786442756653,0.17554552853107452
wireless,0.31771835684776306,0.4470027983188629,0.350693941116333,0.16222113370895386,0.44369569420814514,0.36041244864463806,0.2550118565559387,0.26774564385414124,0.2198387235403061,0.22063162922859192,0.12470007687807083,-0.004268935415893793,0.23828737437725067,0.15725412964820862,0.5513677597045898,0.08461163192987442
customers,0.24059362709522247,0.27586305141448975,0.3561539351940155,0.25617995858192444,0.4136163592338562,1.0,0.28538379073143005,0.3428913950920105,0.2879295349121094,0.1444542557001114,0.1729302555322647,0.016649961471557617,0.18067432940006256,0.36871853470802307,0.43885791301727295,0.203953355550766
via,0.2865810990333557,0.2535380721092224,0.2767355740070343,0.11589916050434113,0.29002273082733154,0.16003625094890594,0.21876800060272217,0.27847176790237427,0.19676101207733154,0.15354342758655548,0.11781672388315201,-0.06380389630794525,0.29968157410621643,0.0970168262720108,0.2387612760066986,0.19443516433238983
the,0.6521818041801453,0.22962960600852966,0.22661015391349792,0.3906462490558624,0.25158894062042236,0.18648205697536469,0.3435857892036438,0.535392165184021,0.24077482521533966,0.21959073841571808,0.21576224267482758,0.03602437674999237,0.5107308030128479,0.516537070274353,0.19289788603782654,0.22068053483963013
