,what,former,mvp,was,shown,in,the,locker,room,?
bart,0.18295758962631226,0.10948270559310913,0.16044077277183533,0.2334039956331253,0.19861271977424622,0.17849065363407135,0.21651144325733185,0.35293063521385193,0.23607468605041504,0.12193363159894943
starr,0.19705338776111603,0.2008436620235443,0.21925531327724457,0.2518351376056671,0.12868931889533997,0.18576864898204803,0.2387159913778305,0.3353084921836853,0.2544742524623871,0.22583505511283875
(,0.2411840260028839,0.2858748733997345,0.24375715851783752,0.2980341613292694,0.17931321263313293,0.3087427020072937,0.33289089798927307,0.1862148493528366,0.17635542154312134,0.40561532974243164
mvp,0.0985465794801712,0.1845436990261078,0.9999998807907104,0.23143374919891357,0.08311758935451508,0.15104249119758606,0.19830666482448578,0.20677192509174347,0.073203906416893,0.19954749941825867
of,0.33290785551071167,0.30415382981300354,0.16760475933551788,0.4069072902202606,0.24332952499389648,0.5696388483047485,0.733189046382904,0.13386467099189758,0.15195634961128235,0.1826142966747284
super,0.13651713728904724,0.15229178965091705,0.3814384639263153,0.21420986950397491,0.09250687062740326,0.18576006591320038,0.21959073841571808,0.15439563989639282,0.1193331629037857,0.166326642036438
bowls,0.12354444712400436,0.16536206007003784,0.47788205742836,0.14966177940368652,0.14827030897140503,0.14384441077709198,0.17019082605838776,0.2181721031665802,0.2130436897277832,0.1849047988653183
i,0.4411132335662842,0.1435401737689972,0.23060163855552673,0.23566235601902008,0.1548679769039154,0.22907796502113342,0.26687872409820557,0.15525135397911072,0.17228184640407562,0.4695145785808563
and,0.31309178471565247,0.2516189515590668,0.16702094674110413,0.3740963041782379,0.28805026412010193,0.4954058527946472,0.5171257257461548,0.2638232409954071,0.2611854374408722,0.20544172823429108
ii,0.13866674900054932,0.14585523307323456,0.16465602815151215,0.25630512833595276,0.11188220232725143,0.21453368663787842,0.2631464898586273,0.12491914629936218,0.12225992232561111,0.11928234249353409
),0.26259949803352356,0.3046077489852905,0.23705145716667175,0.3267642855644226,0.20446927845478058,0.3326910734176636,0.3456730246543884,0.2009229063987732,0.189469575881958,0.42300865054130554
and,0.31309178471565247,0.2516189515590668,0.16702094674110413,0.3740963041782379,0.28805026412010193,0.4954058527946472,0.5171257257461548,0.2638232409954071,0.2611854374408722,0.20544172823429108
chuck,0.2127353847026825,0.2087852954864502,0.17876076698303223,0.21831750869750977,0.12853872776031494,0.12264448404312134,0.18221957981586456,0.2533363699913025,0.18429222702980042,0.23381391167640686
