,this,was,the,first,time,that,the,carolina,team,faced,what,in,the,post,season,?
the,0.6274310946464539,0.48711544275283813,1.0,0.49448907375335693,0.43061500787734985,0.5473989248275757,1.0,0.24749229848384857,0.22564226388931274,0.29245710372924805,0.42745697498321533,0.6662389636039734,1.0,0.26656362414360046,0.2507155239582062,0.22068053483963013
score,0.16921186447143555,0.1616087406873703,0.2042495757341385,0.1765058934688568,0.2166350781917572,0.16578927636146545,0.2042495757341385,0.1318756490945816,0.3857264816761017,0.1534656137228012,0.1703568547964096,0.13240541517734528,0.2042495757341385,0.1471710503101349,0.2506433129310608,0.199510395526886
marked,0.35195377469062805,0.2595137357711792,0.36085957288742065,0.1945195496082306,0.27016016840934753,0.3202831745147705,0.36085957288742065,0.11874573677778244,0.10902965068817139,0.30145642161369324,0.20913204550743103,0.3058924674987793,0.36085957288742065,0.13962769508361816,0.14088518917560577,0.1466940939426422
the,0.6274310946464539,0.48711544275283813,1.0,0.49448907375335693,0.43061500787734985,0.5473989248275757,1.0,0.24749229848384857,0.22564226388931274,0.29245710372924805,0.42745697498321533,0.6662389636039734,1.0,0.26656362414360046,0.2507155239582062,0.22068053483963013
first,0.41690850257873535,0.5022147297859192,0.49448907375335693,1.0,0.4013477563858032,0.3482176661491394,0.49448907375335693,0.15716660022735596,0.24193075299263,0.169703871011734,0.28086137771606445,0.4127444326877594,0.49448907375335693,0.2818862497806549,0.26634398102760315,0.18701928853988647
time,0.43249568343162537,0.3641340136528015,0.43061500787734985,0.4013477563858032,0.9999998807907104,0.388528436422348,0.43061500787734985,0.15216653048992157,0.2895461320877075,0.22803069651126862,0.36319252848625183,0.3431483507156372,0.43061500787734985,0.22320659458637238,0.26950058341026306,0.27391523122787476
in,0.45205554366111755,0.45514053106307983,0.6662389636039734,0.4127444326877594,0.3431483507156372,0.435920387506485,0.6662389636039734,0.2380082756280899,0.18841172754764557,0.20601411163806915,0.30808621644973755,1.0,0.6662389636039734,0.23444387316703796,0.2184021919965744,0.20430970191955566
the,0.6274310946464539,0.48711544275283813,1.0,0.49448907375335693,0.43061500787734985,0.5473989248275757,1.0,0.24749229848384857,0.22564226388931274,0.29245710372924805,0.42745697498321533,0.6662389636039734,1.0,0.26656362414360046,0.2507155239582062,0.22068053483963013
entire,0.47686314582824707,0.2562327980995178,0.4870373010635376,0.27585896849632263,0.28042539954185486,0.40228042006492615,0.4870373010635376,0.12286790460348129,0.1770332157611847,0.18454217910766602,0.37562522292137146,0.3347092568874359,0.4870373010635376,0.15546642243862152,0.17270855605602264,0.17068447172641754
postseason,0.279816597700119,0.28133246302604675,0.33789071440696716,0.353765070438385,0.36922797560691833,0.2630970776081085,0.33789071440696716,0.29774972796440125,0.4703253507614136,0.21547667682170868,0.22634127736091614,0.28804123401641846,0.33789071440696716,0.43033429980278015,0.7493239641189575,0.2780350148677826
that,0.6909449696540833,0.33670201897621155,0.5473989248275757,0.3482176661491394,0.388528436422348,1.0,0.5473989248275757,0.131194606423378,0.17048367857933044,0.24151508510112762,0.6297725439071655,0.435920387506485,0.5473989248275757,0.19934964179992676,0.21767571568489075,0.32716336846351624
carolina,0.19915926456451416,0.26687008142471313,0.24749229848384857,0.15716660022735596,0.15216653048992157,0.131194606423378,0.24749229848384857,1.0000001192092896,0.14482109248638153,0.18722155690193176,0.1956660896539688,0.2380082756280899,0.24749229848384857,0.1235826313495636,0.2196287363767624,0.11847445368766785
was,0.3638818562030792,1.0000001192092896,0.48711544275283813,0.5022147297859192,0.3641340136528015,0.33670201897621155,0.48711544275283813,0.26687008142471313,0.13986483216285706,0.3024119436740875,0.22111038863658905,0.45514053106307983,0.48711544275283813,0.23690193891525269,0.24797968566417694,0.18412111699581146
facing,0.2630094587802887,0.17066429555416107,0.3941035270690918,0.16464628279209137,0.22948870062828064,0.2423146367073059,0.3941035270690918,0.1891424059867859,0.18006865680217743,0.4719856381416321,0.24964790046215057,0.2318863719701767,0.3941035270690918,0.10742571204900742,0.11326438933610916,0.09210152924060822
a,0.5422310829162598,0.4508470594882965,0.5829201340675354,0.4287874400615692,0.3292340338230133,0.47537946701049805,0.5829201340675354,0.1979188621044159,0.19125498831272125,0.22509683668613434,0.3320399522781372,0.539380669593811,0.5829201340675354,0.24012945592403412,0.1855505406856537,0.23916715383529663
deficit,0.3167400062084198,0.20591752231121063,0.2421877682209015,0.1874822974205017,0.24726632237434387,0.32910391688346863,0.2421877682209015,0.21761010587215424,0.186545729637146,0.3161980211734772,0.269403338432312,0.23198767006397247,0.2421877682209015,0.24390403926372528,0.2243567854166031,0.2131306529045105
.,0.500583827495575,0.40146201848983765,0.5934505462646484,0.4345304071903229,0.371569961309433,0.4460422694683075,0.5934505462646484,0.2702518403530121,0.26467522978782654,0.23507075011730194,0.3567904531955719,0.5591574311256409,0.5934505462646484,0.2821767330169678,0.24674734473228455,0.4130953550338745
