,what,florida,stadium,was,considered,for,super,bowl,50,?
the,0.42745697498321533,0.24091358482837677,0.21145665645599365,0.48711544275283813,0.4028765559196472,0.4739971458911896,0.21959073841571808,0.21576224267482758,0.03602437674999237,0.22068053483963013
league,0.16616638004779816,0.2017516791820526,0.3161369860172272,0.21425791084766388,0.15721718966960907,0.26433616876602173,0.37144264578819275,0.3365440368652344,0.07430867850780487,0.15941482782363892
eventually,0.28470873832702637,0.18151696026325226,0.11016884446144104,0.35699570178985596,0.1731019914150238,0.3156387209892273,0.2287168651819229,0.1778719127178192,-0.020709319040179253,0.13642115890979767
narrowed,0.25415581464767456,0.10896562784910202,0.16127634048461914,0.19033023715019226,0.2658180594444275,0.20887522399425507,0.14927197992801666,0.14345666766166687,0.030878890305757523,0.1559450924396515
the,0.42745697498321533,0.24091358482837677,0.21145665645599365,0.48711544275283813,0.4028765559196472,0.4739971458911896,0.21959073841571808,0.21576224267482758,0.03602437674999237,0.22068053483963013
bids,0.11914563924074173,0.22095513343811035,0.2175513356924057,0.18575212359428406,0.15748612582683563,0.23067942261695862,0.16850195825099945,0.21797062456607819,0.06577780842781067,0.13915638625621796
to,0.455847829580307,0.20760414004325867,0.2075904905796051,0.3636345863342285,0.2954166829586029,0.4451248347759247,0.17783479392528534,0.16993016004562378,-0.024239253252744675,0.29463258385658264
three,0.24888746440410614,0.19697065651416779,0.10102047026157379,0.2748996615409851,0.22601662576198578,0.3032672107219696,0.14228717982769012,0.18332304060459137,-0.002454916713759303,0.20928427577018738
sites,0.23563508689403534,0.13735751807689667,0.2154092788696289,0.16607749462127686,0.20586563646793365,0.23407870531082153,0.05213000252842903,0.041055768728256226,0.010206971317529678,0.20032718777656555
:,-0.12022944539785385,-0.07590536773204803,0.007205923553556204,0.002802103292196989,0.0004551890306174755,-0.02522280067205429,0.14034654200077057,0.14579139649868011,0.06510673463344574,-0.07156077772378922
new,0.2130378633737564,0.27774372696876526,0.17546728253364563,0.2748313844203949,0.12316255271434784,0.2700757384300232,0.2769954204559326,0.1471257209777832,-0.011314106173813343,0.14782847464084625
orleans,0.14538788795471191,0.4029251039028168,0.13913080096244812,0.25941523909568787,0.14783698320388794,0.2517727017402649,0.1912957727909088,0.3010152578353882,0.016710840165615082,0.13097690045833588
