,what,was,ronnie,hillman,'s,average,yards,per,carry,in,2015,?
running,0.2357972115278244,0.20939749479293823,0.19746123254299164,0.2698385417461395,-0.07519974559545517,0.16782823204994202,0.2573770582675934,0.17022262513637543,0.22477705776691437,0.2874506413936615,-0.04270157590508461,0.15679655969142914
back,0.2965294420719147,0.2438982129096985,0.1601548194885254,0.20888195931911469,-0.032200850546360016,0.12093199044466019,0.2079198658466339,0.13911302387714386,0.1993768960237503,0.25397348403930664,0.0385875441133976,0.2397768795490265
ronnie,0.13313153386116028,0.2326076328754425,0.9999999403953552,0.3863174021244049,0.07586818188428879,0.161017507314682,0.2552225887775421,0.1325008124113083,0.13366228342056274,0.20116527378559113,-0.02142895944416523,0.059459373354911804
hillman,0.13697829842567444,0.29580461978912354,0.3863174021244049,1.0000001192092896,-0.04689129441976547,0.16889451444149017,0.25285258889198303,0.10905449837446213,0.11398641765117645,0.25664693117141724,-0.04326013848185539,0.1580796241760254
also,0.42747777700424194,0.4032125174999237,0.23555134236812592,0.2347145527601242,-0.0014726108638569713,0.18687564134597778,0.11552079766988754,0.22957471013069153,0.2869444191455841,0.5073733329772949,-0.004504992160946131,0.21848613023757935
made,0.23419176042079926,0.3433256447315216,0.11901495605707169,0.147727832198143,0.08483956009149551,0.1406768411397934,0.1302233636379242,0.19708535075187683,0.284755676984787,0.25271502137184143,0.04157564043998718,0.17218779027462006
a,0.3320399522781372,0.4508470594882965,0.14688855409622192,0.20543454587459564,0.04866964742541313,0.23812800645828247,0.19167225062847137,0.21615441143512726,0.2364719659090042,0.539380669593811,-0.008371892385184765,0.23916715383529663
big,0.2788069546222687,0.179094597697258,0.23969408869743347,0.17551089823246002,0.08747415989637375,0.14642220735549927,0.10850203782320023,0.1151389330625534,0.1866825670003891,0.2359251081943512,-0.058557044714689255,0.20497842133045197
impact,0.25162962079048157,0.23431995511054993,0.04535586014389992,0.11097212135791779,-0.004318447783589363,0.2151879370212555,0.15395744144916534,0.17279167473316193,0.13405224680900574,0.18933768570423126,-0.012013382278382778,0.18429921567440033
with,0.2464839518070221,0.27411898970603943,0.11168050020933151,0.24455037713050842,-0.04624466598033905,0.23698946833610535,0.14512313902378082,0.19558830559253693,0.22976382076740265,0.4080928862094879,-0.05818283185362816,0.2433311939239502
720,0.19813016057014465,0.09079457819461823,-0.08258683979511261,-0.019921012222766876,-0.016429131850600243,0.09100453555583954,-0.11645998060703278,0.1451621949672699,0.007579616736620665,0.10791558027267456,0.020077567547559738,0.2733618915081024
yards,0.1304803043603897,0.1823360025882721,0.2552225887775421,0.25285258889198303,0.0408332459628582,0.25105223059654236,1.0,0.19291952252388,0.19278651475906372,0.14206624031066895,0.02945392206311226,0.12453813850879669
",",0.3087472915649414,0.45456063747406006,0.27975547313690186,0.3690451383590698,-0.0016132977325469255,0.23098047077655792,0.16944201290607452,0.26711323857307434,0.1951419711112976,0.5201468467712402,0.06568983197212219,0.31091248989105225
five,0.18688078224658966,0.310379296541214,0.21135015785694122,0.26495957374572754,0.04895230755209923,0.25425928831100464,0.24716727435588837,0.15264397859573364,0.19711557030677795,0.3634254038333893,0.04338425397872925,0.18342848122119904
touchdowns,0.15067923069000244,0.2174215018749237,0.2488495260477066,0.2935369908809662,0.06078888103365898,0.32852160930633545,0.7052563428878784,0.15121707320213318,0.17156711220741272,0.17643709480762482,0.008580083958804607,0.1509619653224945
",",0.3087472915649414,0.45456063747406006,0.27975547313690186,0.3690451383590698,-0.0016132977325469255,0.23098047077655792,0.16944201290607452,0.26711323857307434,0.1951419711112976,0.5201468467712402,0.06568983197212219,0.31091248989105225
24,0.01621486060321331,-0.06428006291389465,0.016151143237948418,-0.019688619300723076,-0.03981027007102966,-0.12660996615886688,0.056946273893117905,-0.03319494426250458,-0.1203429251909256,-0.0006371065974235535,-0.10311253368854523,0.016154835000634193
receptions,0.15346844494342804,0.15021640062332153,0.24009062349796295,0.19669929146766663,-0.05822821706533432,0.2186984419822693,0.5398510098457336,0.16934296488761902,0.15208515524864197,0.19997993111610413,0.006485253572463989,0.12913717329502106
",",0.3087472915649414,0.45456063747406006,0.27975547313690186,0.3690451383590698,-0.0016132977325469255,0.23098047077655792,0.16944201290607452,0.26711323857307434,0.1951419711112976,0.5201468467712402,0.06568983197212219,0.31091248989105225
and,0.31309178471565247,0.3740963041782379,0.27496808767318726,0.3189467489719391,0.06895173341035843,0.2138829380273819,0.22108176350593567,0.21036672592163086,0.2731964588165283,0.4954058527946472,0.015077123418450356,0.20544172823429108
a,0.3320399522781372,0.4508470594882965,0.14688855409622192,0.20543454587459564,0.04866964742541313,0.23812800645828247,0.19167225062847137,0.21615441143512726,0.2364719659090042,0.539380669593811,-0.008371892385184765,0.23916715383529663
4.7,0.11349913477897644,-0.12477834522724152,-0.04280868172645569,0.002795998938381672,0.10094770789146423,0.00216303626075387,0.01407521404325962,0.07970215380191803,0.029344990849494934,-0.037657659500837326,-0.0008688161615282297,0.16533014178276062
yards,0.1304803043603897,0.1823360025882721,0.2552225887775421,0.25285258889198303,0.0408332459628582,0.25105223059654236,1.0,0.19291952252388,0.19278651475906372,0.14206624031066895,0.02945392206311226,0.12453813850879669
per,0.21384303271770477,0.12717042863368988,0.1325008124113083,0.10905449837446213,0.06270148605108261,0.3395370543003082,0.19291952252388,0.9999999403953552,0.18319830298423767,0.1975519210100174,0.01915678195655346,0.22323818504810333
carry,0.22239743173122406,0.1526157259941101,0.13366228342056274,0.11398641765117645,0.016908660531044006,0.1640816181898117,0.19278651475906372,0.18319830298423767,0.9999998807907104,0.19860897958278656,-0.005738322623074055,0.17171701788902283
average,0.24068789184093475,0.18843130767345428,0.161017507314682,0.16889451444149017,0.08544468134641647,1.0,0.25105223059654236,0.3395370543003082,0.1640816181898117,0.23465414345264435,0.000765059725381434,0.21764592826366425
.,0.3567904531955719,0.40146201848983765,0.23394562304019928,0.3146742582321167,-0.003708066651597619,0.2717139422893524,0.17664551734924316,0.2729434370994568,0.21299658715724945,0.5591574311256409,0.06607602536678314,0.4130953550338745
