,where,did,the,broncos,stay,at,for,super,bowl,50,?
the,0.5003893971443176,0.34736719727516174,1.0,0.25985947251319885,0.2869375944137573,0.457212895154953,0.4739971458911896,0.21959073841571808,0.21576224267482758,0.03602437674999237,0.22068053483963013
broncos,0.20474667847156525,0.1738176792860031,0.25985947251319885,1.0000001192092896,0.09497296065092087,0.23374907672405243,0.2739109396934509,0.36141330003738403,0.4351775348186493,0.055216576904058456,0.18377114832401276
practiced,0.24086694419384003,0.2674696445465088,0.20430389046669006,0.15887229144573212,0.13399751484394073,0.20187456905841827,0.235825777053833,0.1582890897989273,0.0968894362449646,-0.02269597351551056,0.07469849288463593
at,0.4402937591075897,0.28390252590179443,0.457212895154953,0.23374907672405243,0.23286797106266022,1.0,0.34237727522850037,0.11449114978313446,0.2709662914276123,-0.018447641283273697,0.21978627145290375
stanford,0.2260383814573288,0.16381965577602386,0.2224142998456955,0.33789780735969543,0.17153790593147278,0.3119223415851593,0.2074219435453415,0.052280448377132416,0.18563611805438995,-0.12461279332637787,0.14956782758235931
university,0.26550742983818054,0.15114416182041168,0.263973206281662,0.32310593128204346,0.15583083033561707,0.30386853218078613,0.18573740124702454,0.1637851893901825,0.19439272582530975,-0.050331298261880875,0.11887256056070328
and,0.43859338760375977,0.34479495882987976,0.5171257257461548,0.20959050953388214,0.279899924993515,0.3571503460407257,0.5064792633056641,0.18368244171142578,0.1698254644870758,0.0032697415444999933,0.20544172823429108
stayed,0.3112199306488037,0.42530572414398193,0.3768083155155182,0.14158828556537628,0.5232035517692566,0.2881714403629303,0.28956151008605957,0.11240817606449127,0.09769733995199203,-0.018136022612452507,0.06590735167264938
at,0.4402937591075897,0.28390252590179443,0.457212895154953,0.23374907672405243,0.23286797106266022,1.0,0.34237727522850037,0.11449114978313446,0.2709662914276123,-0.018447641283273697,0.21978627145290375
the,0.5003893971443176,0.34736719727516174,1.0,0.25985947251319885,0.2869375944137573,0.457212895154953,0.4739971458911896,0.21959073841571808,0.21576224267482758,0.03602437674999237,0.22068053483963013
santa,0.18257969617843628,0.11785970628261566,0.23511074483394623,0.272367924451828,0.1529785692691803,0.22988058626651764,0.16627219319343567,0.13846853375434875,0.1749918907880783,-0.04490520805120468,0.17321589589118958
clara,0.1621541678905487,0.15096807479858398,0.2410326898097992,0.23439905047416687,0.15551725029945374,0.19180597364902496,0.12105634063482285,0.14021645486354828,0.06447336077690125,-0.020092638209462166,0.11961202323436737
marriott,0.17189815640449524,0.17210820317268372,0.2137458175420761,0.2674105763435364,0.1887931078672409,0.2200389802455902,0.14851361513137817,0.14434106647968292,0.15091544389724731,0.003585042664781213,0.16338540613651276
.,0.41390106081962585,0.35288307070732117,0.5934505462646484,0.2612393796443939,0.3077605068683624,0.4549728035926819,0.4726039469242096,0.2757420241832733,0.21516893804073334,0.04325474053621292,0.4130953550338745
