,what,cellular,carrier,had,the,only,contract,for,the,super,bowl,to,be,shown,on,smartphones,?
due,0.15204688906669617,0.1845380961894989,0.18787625432014465,0.24372361600399017,0.22577603161334991,0.2755577266216278,0.1888236403465271,0.2363993525505066,0.22577603161334991,0.17850907146930695,0.13443246483802795,0.35188060998916626,0.29785820841789246,0.23367583751678467,0.3553527891635895,0.15740622580051422,0.10954997688531876
to,0.455847829580307,0.16043607890605927,0.21670255064964294,0.37984350323677063,0.535392165184021,0.5096819996833801,0.2871469259262085,0.4451248347759247,0.535392165184021,0.17783479392528534,0.16993016004562378,1.0,0.4972836375236511,0.23958280682563782,0.41031414270401,0.24930500984191895,0.29463258385658264
verizon,0.18558116257190704,0.343265563249588,0.24492251873016357,0.1613052636384964,0.25158894062042236,0.21507270634174347,0.2599765658378601,0.2724129855632782,0.25158894062042236,0.2024889588356018,0.21229338645935059,0.2154601663351059,0.20310337841510773,0.22538524866104126,0.27186712622642517,0.4311070144176483,0.17554552853107452
communications,0.18950708210468292,0.3653753697872162,0.25150665640830994,0.19199532270431519,0.2746332883834839,0.22439736127853394,0.23682163655757904,0.2531185746192932,0.2746332883834839,0.14927710592746735,0.09886879473924637,0.2257905900478363,0.1795933097600937,0.13834957778453827,0.2067214697599411,0.5304256677627563,0.09561901539564133
exclusivity,0.2562703490257263,0.24700675904750824,0.2150820791721344,0.18812990188598633,0.32945024967193604,0.37462013959884644,0.3273041248321533,0.3029159903526306,0.32945024967193604,0.20922590792179108,0.14643821120262146,0.30238789319992065,0.23804359138011932,0.22534911334514618,0.30348527431488037,0.2913414537906647,0.16407433152198792
",",0.3087472915649414,0.15201711654663086,0.21150632202625275,0.35487717390060425,0.4933079481124878,0.4220978021621704,0.20806868374347687,0.4464869201183319,0.4933079481124878,0.22322475910186768,0.1810409277677536,0.44245919585227966,0.39254459738731384,0.25911012291908264,0.49057599902153015,0.21262073516845703,0.31091248989105225
streaming,0.21690556406974792,0.22462302446365356,0.1758842170238495,0.14076487720012665,0.25890758633613586,0.2764362394809723,0.22212104499340057,0.29786989092826843,0.25890758633613586,0.21918679773807526,0.17536187171936035,0.27191177010536194,0.2601010501384735,0.24497605860233307,0.320134699344635,0.40092864632606506,0.19690081477165222
on,0.34226128458976746,0.12987250089645386,0.22691090404987335,0.36692994832992554,0.5107308030128479,0.38586410880088806,0.22990448772907257,0.36199691891670227,0.5107308030128479,0.1569211632013321,0.1334993690252304,0.41031414270401,0.37900757789611816,0.33996689319610596,0.9999999403953552,0.21007202565670013,0.2714994251728058
smartphones,0.3014732599258423,0.3854621946811676,0.2470327615737915,0.1832474321126938,0.18904532492160797,0.2927170693874359,0.15300191938877106,0.2137974053621292,0.18904532492160797,0.25305798649787903,0.13666130602359772,0.24930500984191895,0.31750038266181946,0.20504096150398254,0.21007202565670013,1.0,0.23329822719097137
was,0.22111038863658905,0.12790630757808685,0.19036847352981567,0.5927209258079529,0.48711544275283813,0.36249664425849915,0.23490020632743835,0.3863949179649353,0.48711544275283813,0.21420986950397491,0.21915455162525177,0.3636345863342285,0.42228707671165466,0.21061603724956512,0.3909217119216919,0.14944015443325043,0.18412111699581146
only,0.41415658593177795,0.20674088597297668,0.24198642373085022,0.3839550316333771,0.5497692227363586,1.0,0.20354905724525452,0.49157920479774475,0.5497692227363586,0.2209789752960205,0.1793411821126938,0.5096819996833801,0.46042704582214355,0.327480286359787,0.38586410880088806,0.2927170693874359,0.2767370045185089
provided,0.2206064909696579,0.13239239156246185,0.23792099952697754,0.30480554699897766,0.304488867521286,0.33241546154022217,0.20181114971637726,0.38938868045806885,0.304488867521286,0.09278950095176697,0.11037559062242508,0.28066325187683105,0.32466498017311096,0.3188417851924896,0.24629086256027222,0.2136317789554596,0.16893617808818817
to,0.455847829580307,0.16043607890605927,0.21670255064964294,0.37984350323677063,0.535392165184021,0.5096819996833801,0.2871469259262085,0.4451248347759247,0.535392165184021,0.17783479392528534,0.16993016004562378,1.0,0.4972836375236511,0.23958280682563782,0.41031414270401,0.24930500984191895,0.29463258385658264
verizon,0.18558116257190704,0.343265563249588,0.24492251873016357,0.1613052636384964,0.25158894062042236,0.21507270634174347,0.2599765658378601,0.2724129855632782,0.25158894062042236,0.2024889588356018,0.21229338645935059,0.2154601663351059,0.20310337841510773,0.22538524866104126,0.27186712622642517,0.4311070144176483,0.17554552853107452
wireless,0.18138271570205688,0.39554542303085327,0.28072333335876465,0.13266830146312714,0.2474355399608612,0.26584863662719727,0.230679452419281,0.2096686065196991,0.2474355399608612,0.22063162922859192,0.12470007687807083,0.26774564385414124,0.23053400218486786,0.16718335449695587,0.23828737437725067,0.5781135559082031,0.08461163192987442
customers,0.2209549993276596,0.21789884567260742,0.258897066116333,0.29034623503685,0.18648205697536469,0.25098717212677,0.25606676936149597,0.2525489628314972,0.18648205697536469,0.1444542557001114,0.1729302555322647,0.3428913950920105,0.2797433137893677,0.1693032681941986,0.18067432940006256,0.45900747179985046,0.203953355550766
via,0.16736915707588196,0.18992029130458832,0.1575574278831482,0.09798664599657059,0.23979412019252777,0.29833564162254333,0.21079789102077484,0.1971353143453598,0.23979412019252777,0.15354342758655548,0.11781672388315201,0.27847176790237427,0.24122105538845062,0.19176526367664337,0.29968157410621643,0.25976264476776123,0.19443516433238983
the,0.42745697498321533,0.20089124143123627,0.3082960844039917,0.3875846862792969,1.0,0.5497692227363586,0.23003633320331573,0.4739971458911896,1.0,0.21959073841571808,0.21576224267482758,0.535392165184021,0.4248143136501312,0.3387985825538635,0.5107308030128479,0.18904532492160797,0.22068053483963013
