,what,did,carolina,face,in,the,opening,drive,that,they,had,not,faced,the,entire,postseason,?
the,0.42745697498321533,0.34736719727516174,0.24749229848384857,0.2601291239261627,0.6662389636039734,1.0,0.37298497557640076,0.2083187699317932,0.5473989248275757,0.49925389885902405,0.3875846862792969,0.4310511648654938,0.29245710372924805,1.0,0.4870373010635376,0.33789071440696716,0.22068053483963013
score,0.1703568547964096,0.1936793327331543,0.1318756490945816,0.15022136270999908,0.13240541517734528,0.2042495757341385,0.1859809160232544,0.24250289797782898,0.16578927636146545,0.12757958471775055,0.12216859310865402,0.19024479389190674,0.1534656137228012,0.2042495757341385,0.1104828342795372,0.39431390166282654,0.199510395526886
marked,0.20913204550743103,0.17826566100120544,0.11874573677778244,0.24820032715797424,0.3058924674987793,0.36085957288742065,0.2946901023387909,0.1265069991350174,0.3202831745147705,0.2534123361110687,0.2889806628227234,0.25552260875701904,0.30145642161369324,0.36085957288742065,0.26072439551353455,0.23021484911441803,0.1466940939426422
the,0.42745697498321533,0.34736719727516174,0.24749229848384857,0.2601291239261627,0.6662389636039734,1.0,0.37298497557640076,0.2083187699317932,0.5473989248275757,0.49925389885902405,0.3875846862792969,0.4310511648654938,0.29245710372924805,1.0,0.4870373010635376,0.33789071440696716,0.22068053483963013
first,0.28086137771606445,0.33691170811653137,0.15716660022735596,0.15049083530902863,0.4127444326877594,0.49448907375335693,0.30535632371902466,0.11071151494979858,0.3482176661491394,0.3431090712547302,0.3379828929901123,0.2955942749977112,0.169703871011734,0.49448907375335693,0.27585896849632263,0.353765070438385,0.18701928853988647
time,0.36319252848625183,0.3567926585674286,0.15216653048992157,0.2552483379840851,0.3431483507156372,0.43061500787734985,0.1871211975812912,0.19006572663784027,0.388528436422348,0.3580583930015564,0.34488338232040405,0.3786478340625763,0.22803069651126862,0.43061500787734985,0.28042539954185486,0.36922797560691833,0.27391523122787476
in,0.30808621644973755,0.2593238651752472,0.2380082756280899,0.17266811430454254,1.0,0.6662389636039734,0.2907836139202118,0.16816924512386322,0.435920387506485,0.4330179989337921,0.385026752948761,0.3403114080429077,0.20601411163806915,0.6662389636039734,0.3347092568874359,0.28804123401641846,0.20430970191955566
the,0.42745697498321533,0.34736719727516174,0.24749229848384857,0.2601291239261627,0.6662389636039734,1.0,0.37298497557640076,0.2083187699317932,0.5473989248275757,0.49925389885902405,0.3875846862792969,0.4310511648654938,0.29245710372924805,1.0,0.4870373010635376,0.33789071440696716,0.22068053483963013
entire,0.37562522292137146,0.22471237182617188,0.12286790460348129,0.2596575915813446,0.3347092568874359,0.4870373010635376,0.237946018576622,0.20525988936424255,0.40228042006492615,0.2554263770580292,0.23853684961795807,0.3198445737361908,0.18454217910766602,0.4870373010635376,1.0,0.23492838442325592,0.17068447172641754
postseason,0.22634127736091614,0.26629477739334106,0.29774972796440125,0.23640692234039307,0.28804123401641846,0.33789071440696716,0.23875898122787476,0.24298298358917236,0.2630970776081085,0.2674660086631775,0.248861625790596,0.2805717885494232,0.21547667682170868,0.33789071440696716,0.23492838442325592,1.0,0.2780350148677826
that,0.6297725439071655,0.47518548369407654,0.131194606423378,0.27556395530700684,0.435920387506485,0.5473989248275757,0.228669211268425,0.24714359641075134,1.0,0.5710820555686951,0.4407361149787903,0.6600887179374695,0.24151508510112762,0.5473989248275757,0.40228042006492615,0.2630970776081085,0.32716336846351624
carolina,0.1956660896539688,0.18489903211593628,1.0000001192092896,0.15089598298072815,0.2380082756280899,0.24749229848384857,0.07595481723546982,0.10420341044664383,0.131194606423378,0.19257405400276184,0.20392835140228271,0.15364950895309448,0.18722155690193176,0.24749229848384857,0.12286790460348129,0.29774972796440125,0.11847445368766785
was,0.22111038863658905,0.41399896144866943,0.26687008142471313,0.1933094710111618,0.45514053106307983,0.48711544275283813,0.20817555487155914,0.18442629277706146,0.33670201897621155,0.3300964832305908,0.5927209258079529,0.2888734042644501,0.3024119436740875,0.48711544275283813,0.2562327980995178,0.28133246302604675,0.18412111699581146
facing,0.24964790046215057,0.14950968325138092,0.1891424059867859,0.49129512906074524,0.2318863719701767,0.3941035270690918,0.23385189473628998,0.20341743528842926,0.2423146367073059,0.19807957112789154,0.24265481531620026,0.19836093485355377,0.4719856381416321,0.3941035270690918,0.2682870030403137,0.21996799111366272,0.09210152924060822
a,0.3320399522781372,0.2552328109741211,0.1979188621044159,0.2207985818386078,0.539380669593811,0.5829201340675354,0.2575104236602783,0.24929353594779968,0.47537946701049805,0.3528250455856323,0.34897568821907043,0.3791346549987793,0.22509683668613434,0.5829201340675354,0.3950728178024292,0.2622297406196594,0.23916715383529663
deficit,0.269403338432312,0.2373012751340866,0.21761010587215424,0.30547502636909485,0.23198767006397247,0.2421877682209015,0.1806986778974533,0.24933089315891266,0.32910391688346863,0.26580506563186646,0.2441452592611313,0.30873358249664307,0.3161980211734772,0.2421877682209015,0.20879484713077545,0.3178369402885437,0.2131306529045105
.,0.3567904531955719,0.35288307070732117,0.2702518403530121,0.1800786554813385,0.5591574311256409,0.5934505462646484,0.2886379361152649,0.21262511610984802,0.4460422694683075,0.4510921239852905,0.37348684668540955,0.4824007451534271,0.23507075011730194,0.5934505462646484,0.31781989336013794,0.33691537380218506,0.4130953550338745
