,how,many,of,the,four,field,goal,attempts,did,mcmanus,succeed,at,during,super,bowl,50,?
mcmanus,0.14902009069919586,0.1390344351530075,0.20956967771053314,0.25801920890808105,0.17422319948673248,0.13735942542552948,0.15743473172187805,0.2055426985025406,0.15767790377140045,1.0,0.24521857500076294,0.17387279868125916,0.1638353317975998,0.1994776576757431,0.21166451275348663,-0.012302260845899582,0.2241760641336441
made,0.2655200958251953,0.3638485074043274,0.33167365193367004,0.3885267674922943,0.22736433148384094,0.150634765625,0.1579907089471817,0.1724267154932022,0.3068731725215912,0.11770883947610855,0.20481662452220917,0.20185844600200653,0.2681747078895569,0.14032290875911713,0.206265389919281,0.04318181425333023,0.17218779027462006
all,0.3725806474685669,0.5443700551986694,0.42798417806625366,0.4860881567001343,0.4096302092075348,0.2002391666173935,0.16107192635536194,0.19427300989627838,0.33943864703178406,0.17752504348754883,0.21955998241901398,0.3001944422721863,0.27479588985443115,0.26925644278526306,0.2204573154449463,0.10941741615533829,0.29575422406196594
four,0.1955733299255371,0.4139232039451599,0.36293646693229675,0.40344667434692383,1.0,0.1265089064836502,0.14588694274425507,0.13419578969478607,0.20222175121307373,0.17422319948673248,0.13177116215229034,0.24268823862075806,0.2600941061973572,0.17333437502384186,0.18062108755111694,0.02793193608522415,0.14532537758350372
of,0.2480744868516922,0.37253960967063904,1.0,0.733189046382904,0.36293646693229675,0.20410659909248352,0.1838325709104538,0.22225669026374817,0.2513895630836487,0.20956967771053314,0.22376757860183716,0.42558613419532776,0.3869180977344513,0.14718765020370483,0.2243070751428604,0.006577443331480026,0.1826142966747284
his,0.24614305794239044,0.3188176155090332,0.38364991545677185,0.4394008219242096,0.29882514476776123,0.1974240392446518,0.21726307272911072,0.3318983316421509,0.3546801507472992,0.33329880237579346,0.28547364473342896,0.27659502625465393,0.36789870262145996,0.12594756484031677,0.13805828988552094,0.04898534715175629,0.18075084686279297
field,0.19519785046577454,0.1401631236076355,0.20410659909248352,0.2105809599161148,0.1265089064836502,1.0,0.26796361804008484,0.2408447265625,0.16789361834526062,0.13735942542552948,0.11717526614665985,0.190035879611969,0.10801912844181061,0.1592533439397812,0.15438513457775116,0.05493640899658203,0.11279727518558502
goals,0.11521609872579575,0.1162685975432396,0.10088890790939331,0.11426310986280441,0.15697938203811646,0.16971932351589203,0.6627928614616394,0.2050665020942688,0.16787441074848175,0.11676736176013947,0.18528951704502106,0.1743294894695282,0.14942270517349243,0.12979400157928467,0.1300787329673767,0.008432294242084026,0.16318443417549133
",",0.22659391164779663,0.40610817074775696,0.4946078956127167,0.4933079481124878,0.31238991022109985,0.27645614743232727,0.2145523726940155,0.17863459885120392,0.3015086054801941,0.34815144538879395,0.25934886932373047,0.38314947485923767,0.3225448727607727,0.22322475910186768,0.1810409277677536,-0.025195008143782616,0.31091248989105225
making,0.32306843996047974,0.3595695495605469,0.3250596821308136,0.35185980796813965,0.20127731561660767,0.10762670636177063,0.18937864899635315,0.17912906408309937,0.32095879316329956,0.126251220703125,0.17539694905281067,0.23679713904857635,0.2610071897506714,0.1673470437526703,0.1915472447872162,0.05102302134037018,0.2539324164390564
