,whose,shrine,did,the,pilgrims,go,to,in,1016,?
william,0.19628676772117615,0.13816140592098236,0.24349860846996307,0.21537061035633087,0.20077481865882874,0.11315671354532242,0.19802416861057281,0.21605195105075836,-0.10083391517400742,0.14462219178676605
of,0.37058958411216736,0.21497584879398346,0.2513895630836487,0.733189046382904,0.19645345211029053,0.21881330013275146,0.41548454761505127,0.5696388483047485,0.07438530027866364,0.1826142966747284
apulia,0.1321258693933487,0.2225649505853653,0.14934220910072327,0.23246920108795166,0.2694050669670105,0.12853102385997772,0.20637381076812744,0.23495042324066162,-0.08463253080844879,0.1159014031291008
tells,0.23821747303009033,0.22694744169712067,0.2516384720802307,0.28859055042266846,0.22047966718673706,0.2813740670681,0.30534905195236206,0.20949023962020874,-0.04307061806321144,0.20469747483730316
that,0.3740115463733673,0.18296152353286743,0.47518548369407654,0.5473989248275757,0.16343337297439575,0.337613970041275,0.5436353087425232,0.435920387506485,0.16622665524482727,0.32716336846351624
",",0.25601375102996826,0.1703834980726242,0.3015086054801941,0.4933079481124878,0.17744287848472595,0.3043581247329712,0.44245919585227966,0.5201468467712402,-0.12388361990451813,0.31091248989105225
in,0.23496666550636292,0.20346897840499878,0.2593238651752472,0.6662389636039734,0.18547621369361877,0.22233200073242188,0.45010748505592346,1.0,-0.0017776672029867768,0.20430970191955566
1016,0.04361947625875473,0.038722772151231766,0.16712456941604614,0.06486023217439651,-0.06656370311975479,-0.01409571710973978,0.1377459615468979,-0.0017776672029867768,1.0,-0.08798176795244217
",",0.25601375102996826,0.1703834980726242,0.3015086054801941,0.4933079481124878,0.17744287848472595,0.3043581247329712,0.44245919585227966,0.5201468467712402,-0.12388361990451813,0.31091248989105225
norman,0.17308367788791656,0.13422876596450806,0.1672605574131012,0.23459704220294952,0.12073473632335663,-0.026116736233234406,0.16204318404197693,0.17613162100315094,-0.0867907926440239,0.12243545055389404
pilgrims,0.17399555444717407,0.3992258310317993,0.1405429244041443,0.1926509439945221,0.9999999403953552,0.24798977375030518,0.3290237486362457,0.18547621369361877,-0.06656370311975479,0.19878895580768585
to,0.320825457572937,0.20128968358039856,0.4452643394470215,0.535392165184021,0.3290237486362457,0.384844571352005,1.0,0.45010748505592346,0.1377459615468979,0.29463258385658264
the,0.38253846764564514,0.2431814819574356,0.34736719727516174,1.0,0.1926509439945221,0.29801803827285767,0.535392165184021,0.6662389636039734,0.06486023217439651,0.22068053483963013
shrine,0.17490728199481964,1.0,0.09751862287521362,0.2431814819574356,0.3992258310317993,0.16310977935791016,0.20128968358039856,0.20346897840499878,0.038722772151231766,0.12673185765743256
of,0.37058958411216736,0.21497584879398346,0.2513895630836487,0.733189046382904,0.19645345211029053,0.21881330013275146,0.41548454761505127,0.5696388483047485,0.07438530027866364,0.1826142966747284
the,0.38253846764564514,0.2431814819574356,0.34736719727516174,1.0,0.1926509439945221,0.29801803827285767,0.535392165184021,0.6662389636039734,0.06486023217439651,0.22068053483963013
archangel,0.2866545617580414,0.3031752407550812,0.16147126257419586,0.2708904445171356,0.24406571686267853,0.15480516850948334,0.21762332320213318,0.1785634309053421,-0.026445847004652023,0.14879126846790314
michael,0.08588173985481262,0.12968868017196655,0.14375849068164825,0.21768254041671753,0.04676011949777603,0.16227193176746368,0.1299484521150589,0.2203132063150406,-0.1784234344959259,0.0667748749256134
at,0.17824941873550415,0.20087245106697083,0.28390252590179443,0.457212895154953,0.21662966907024384,0.2909104526042938,0.36524343490600586,0.4374977946281433,0.022966906428337097,0.21978627145290375
monte,0.06492701917886734,0.21826857328414917,0.09625481814146042,0.23243536055088043,0.18468931317329407,0.12782664597034454,0.26250720024108887,0.25211837887763977,-0.03497566282749176,0.09090651571750641
gargano,0.13091784715652466,0.2974819540977478,-0.0028241293039172888,0.20016957819461823,0.1723920702934265,0.0659051164984703,0.12835273146629333,0.2123466432094574,-0.15286901593208313,0.034837182611227036
were,0.20901553332805634,0.20230232179164886,0.4162326455116272,0.3906462490558624,0.23302188515663147,0.2323814481496811,0.31913647055625916,0.3815755248069763,0.03520562872290611,0.17890112102031708
met,0.10845108330249786,0.16928307712078094,0.3307664096355438,0.2303115278482437,0.20411071181297302,0.21229392290115356,0.22639073431491852,0.23768870532512665,-0.0870138555765152,0.13848096132278442
by,0.3384193778038025,0.18507294356822968,0.18574509024620056,0.4408751428127289,0.15880431234836578,0.1252865046262741,0.33534231781959534,0.370934396982193,-0.012467152439057827,0.17966607213020325
melus,0.22728696465492249,0.18805381655693054,0.12681430578231812,0.31709030270576477,0.17794446647167206,0.10103709995746613,0.1329280138015747,0.25355958938598633,-0.14364518225193024,0.11458706855773926
of,0.37058958411216736,0.21497584879398346,0.2513895630836487,0.733189046382904,0.19645345211029053,0.21881330013275146,0.41548454761505127,0.5696388483047485,0.07438530027866364,0.1826142966747284
bari,0.06006721034646034,0.3151511549949646,0.15255039930343628,0.2218519002199173,0.24761776626110077,0.13985532522201538,0.1533200591802597,0.2180314064025879,-0.08251876384019852,0.166134312748909
",",0.25601375102996826,0.1703834980726242,0.3015086054801941,0.4933079481124878,0.17744287848472595,0.3043581247329712,0.44245919585227966,0.5201468467712402,-0.12388361990451813,0.31091248989105225
