,who,was,emma,'s,brother,?
this,0.3345087468624115,0.3638818562030792,0.14180678129196167,0.02106832154095173,0.16785703599452972,0.3155723512172699
relationship,0.2678191661834717,0.21654179692268372,0.256801962852478,-0.04484357684850693,0.20641136169433594,0.11361731588840485
eventually,0.3540181517601013,0.35699570178985596,0.19445200264453888,-0.021462872624397278,0.28177180886268616,0.13642115890979767
produced,0.12907662987709045,0.28463777899742126,0.21091876924037933,-0.03862787038087845,0.17073681950569153,0.1623450517654419
closer,0.19485768675804138,0.20441825687885284,0.0902262032032013,0.028481582179665565,0.1501147449016571,0.13396333158016205
ties,0.16291405260562897,0.1540994942188263,0.16677580773830414,0.0824906975030899,0.17948883771896362,0.08758962154388428
of,0.2827862501144409,0.4069072902202606,0.10641922056674957,-0.03817026689648628,0.18226121366024017,0.1826142966747284
blood,0.18777169287204742,0.16721275448799133,0.07949615269899368,-0.08394692093133926,0.20043082535266876,0.156274676322937
through,0.17793183028697968,0.21752823889255524,0.11621735990047455,-0.020649312064051628,0.11116532981395721,0.16913433372974396
the,0.3733934462070465,0.48711544275283813,0.1441326141357422,-0.01540423184633255,0.1885300725698471,0.22068053483963013
marriage,0.26453569531440735,0.23779970407485962,0.3100408911705017,-0.04451000317931175,0.26766425371170044,0.13543564081192017
of,0.2827862501144409,0.4069072902202606,0.10641922056674957,-0.03817026689648628,0.18226121366024017,0.1826142966747284
emma,0.27862924337387085,0.17776863276958466,0.9999999403953552,0.044772837311029434,0.25510868430137634,0.12976235151290894
",",0.3365725874900818,0.45456063747406006,0.25262224674224854,-0.0016132977325469255,0.25189656019210815,0.31091248989105225
sister,0.2822686433792114,0.1974511742591858,0.3205066919326782,0.019992811605334282,0.6320614814758301,0.15028199553489685
of,0.2827862501144409,0.4069072902202606,0.10641922056674957,-0.03817026689648628,0.18226121366024017,0.1826142966747284
duke,0.20138677954673767,0.23636797070503235,0.310476690530777,-0.09903083741664886,0.3273470401763916,0.13699419796466827
richard,0.27835920453071594,0.26966050267219543,0.2951730787754059,-0.04731119051575661,0.2919270098209381,0.15003317594528198
ii,0.20800143480300903,0.25630512833595276,0.18520228564739227,0.06274007260799408,0.1731148064136505,0.11928234249353409
of,0.2827862501144409,0.4069072902202606,0.10641922056674957,-0.03817026689648628,0.18226121366024017,0.1826142966747284
normandy,0.19740919768810272,0.22792497277259827,0.19325940310955048,-0.03129563853144646,0.1895752251148224,0.1584552675485611
",",0.3365725874900818,0.45456063747406006,0.25262224674224854,-0.0016132977325469255,0.25189656019210815,0.31091248989105225
and,0.41279885172843933,0.3740963041782379,0.20552705228328705,0.06895173341035843,0.2818823754787445,0.20544172823429108
king,0.24555552005767822,0.27377256751060486,0.24068419635295868,-0.002494113054126501,0.32217687368392944,0.19130074977874756
ethelred,0.3192371428012848,0.3170047402381897,0.3562450706958771,-0.05279922857880592,0.4287089407444,0.24839718639850616
ii,0.20800143480300903,0.25630512833595276,0.18520228564739227,0.06274007260799408,0.1731148064136505,0.11928234249353409
of,0.2827862501144409,0.4069072902202606,0.10641922056674957,-0.03817026689648628,0.18226121366024017,0.1826142966747284
england,0.23733465373516083,0.2656741440296173,0.2289736121892929,-0.056369803845882416,0.2063818871974945,0.13436897099018097
.,0.3541337847709656,0.40146201848983765,0.24319568276405334,-0.003708066651597619,0.19498419761657715,0.4130953550338745
