,in,what,year,did,the,norman,'s,invade,at,bannow,bay,?
the,0.6662389636039734,0.42745697498321533,0.3609684407711029,0.34736719727516174,1.0,0.23459704220294952,-0.01540423184633255,0.3208954632282257,0.457212895154953,0.3598432242870331,0.2441686987876892,0.22068053483963013
normans,0.23263490200042725,0.15760394930839539,0.1732800155878067,0.22847257554531097,0.2781367897987366,0.7264348268508911,-0.022665709257125854,0.420508474111557,0.19791625440120697,0.25986385345458984,0.13190191984176636,0.12354589998722076
had,0.385026752948761,0.23849567770957947,0.29678046703338623,0.540525496006012,0.3875846862792969,0.23290006816387177,-0.004401352722197771,0.23101460933685303,0.3288320302963257,0.20972242951393127,0.11823946237564087,0.20728366076946259
a,0.539380669593811,0.3320399522781372,0.29350247979164124,0.2552328109741211,0.5829201340675354,0.16633400321006775,0.04866964742541313,0.13509215414524078,0.3095070421695709,0.2886447310447693,0.17936193943023682,0.23916715383529663
profound,0.18070675432682037,0.25787314772605896,0.08341794461011887,0.165501669049263,0.24527215957641602,0.15707466006278992,-0.028970297425985336,0.07956579327583313,0.1597387045621872,0.14815948903560638,0.07208076864480972,0.2105889469385147
effect,0.25150683522224426,0.2546532452106476,0.15071150660514832,0.19503958523273468,0.2865084111690521,0.07135466486215591,0.03170546516776085,0.18404918909072876,0.11583761125802994,0.2450008988380432,0.10246525704860687,0.1783771812915802
on,0.46853652596473694,0.34226128458976746,0.27628999948501587,0.2670976221561432,0.5107308030128479,0.1426471471786499,0.0026888418942689896,0.16753628849983215,0.4806317389011383,0.2893838882446289,0.22998327016830444,0.2714994251728058
irish,0.17023150622844696,0.12490905076265335,0.1511118859052658,0.15375059843063354,0.20936301350593567,0.3151588439941406,0.031737253069877625,0.10770358145236969,0.12203202396631241,0.32832080125808716,0.12026245146989822,0.09232300519943237
culture,0.2512284517288208,0.22475376725196838,0.1418820023536682,0.09147893637418747,0.27157285809516907,0.19457077980041504,-0.02915232628583908,0.20481400191783905,0.13476011157035828,0.16765540838241577,0.11825334280729294,0.13093146681785583
and,0.4954058527946472,0.31309178471565247,0.2506658732891083,0.34479495882987976,0.5171257257461548,0.21611377596855164,0.06895173341035843,0.24300289154052734,0.3571503460407257,0.3358515799045563,0.18794362246990204,0.20544172823429108
history,0.29215577244758606,0.28630873560905457,0.20572951436042786,0.24950987100601196,0.33215048909187317,0.2461097240447998,-0.0466335192322731,0.12814652919769287,0.25440460443496704,0.21141399443149567,0.18825815618038177,0.2501974403858185
after,0.44050168991088867,0.21973377466201782,0.336445689201355,0.30330467224121094,0.4565047025680542,0.132674902677536,-0.055672239512205124,0.23697888851165771,0.3622083067893982,0.3129720985889435,0.17613546550273895,0.16608688235282898
their,0.34976133704185486,0.35142919421195984,0.20591455698013306,0.38078752160072327,0.516537070274353,0.15736374258995056,-0.005530759692192078,0.23831786215305328,0.23641370236873627,0.17840218544006348,0.13867105543613434,0.1898253709077835
invasion,0.2543354034423828,0.22275975346565247,0.1896066963672638,0.1800924837589264,0.32296645641326904,0.2764964699745178,-0.029328476637601852,0.7229228615760803,0.15410558879375458,0.2587183713912964,0.1771675944328308,0.18923960626125336
at,0.4374977946281433,0.2838611304759979,0.3146436810493469,0.28390252590179443,0.457212895154953,0.18288648128509521,-0.08481216430664062,0.1885131299495697,1.0,0.22985519468784332,0.163857102394104,0.21978627145290375
bannow,0.263469934463501,0.3162500262260437,0.23081129789352417,0.24596621096134186,0.3598432242870331,0.19990383088588715,0.01488236989825964,0.2698424160480499,0.22985519468784332,0.9999998807907104,0.292864054441452,0.31701499223709106
bay,0.1926257163286209,0.20251236855983734,0.09143916517496109,0.05503932014107704,0.2441686987876892,0.13879576325416565,0.04795898124575615,0.13934272527694702,0.163857102394104,0.292864054441452,1.0000001192092896,0.10773546993732452
in,1.0,0.30808621644973755,0.3359307050704956,0.2593238651752472,0.6662389636039734,0.17613162100315094,-0.037580832839012146,0.279552161693573,0.4374977946281433,0.263469934463501,0.1926257163286209,0.20430970191955566
1169,0.11676845699548721,0.02997187338769436,-0.011441848240792751,0.06158655136823654,0.031510643661022186,0.05575396865606308,0.08424238860607147,0.08498515188694,0.01564907096326351,0.20549480617046356,0.0544416569173336,0.02410072647035122
.,0.5591574311256409,0.3567904531955719,0.32538118958473206,0.35288307070732117,0.5934505462646484,0.24800069630146027,-0.003708066651597619,0.2768091857433319,0.4549728035926819,0.3638928532600403,0.18397286534309387,0.4130953550338745
