,where,was,ralph,earl,of,?
edward,0.1259063333272934,0.22979897260665894,0.37189221382141113,0.3945886492729187,0.1742178201675415,0.1439376026391983
the,0.5003893971443176,0.48711544275283813,0.1921381652355194,0.19712300598621368,0.733189046382904,0.22068053483963013
confessor,0.15098503232002258,0.3344533443450928,0.28375357389450073,0.2754323184490204,0.24835138022899628,0.17480003833770752
had,0.2596948444843292,0.5927209258079529,0.16406579315662384,0.1943148374557495,0.37755560874938965,0.20728366076946259
set,0.27437397837638855,0.22985222935676575,0.17187702655792236,0.08445131033658981,0.20671486854553223,0.1698019951581955
up,0.341964989900589,0.24070115387439728,0.15087252855300903,0.12844228744506836,0.32945773005485535,0.1819818764925003
the,0.5003893971443176,0.48711544275283813,0.1921381652355194,0.19712300598621368,0.733189046382904,0.22068053483963013
aforementioned,0.21809281408786774,0.2335449904203415,0.20023022592067719,0.12785190343856812,0.30292877554893494,0.34642836451530457
ralph,0.09550949931144714,0.2217940241098404,1.0000001192092896,0.32765719294548035,0.20447495579719543,0.0765800029039383
as,0.35409465432167053,0.3677520453929901,0.18128924071788788,0.1719476282596588,0.3886612355709076,0.27043893933296204
earl,0.1543329507112503,0.2519935965538025,0.32765719294548035,1.0,0.21531644463539124,0.13325046002864838
of,0.38066378235816956,0.4069072902202606,0.20447495579719543,0.21531644463539124,1.0,0.1826142966747284
hereford,0.24745696783065796,0.25862979888916016,0.2538735568523407,0.43452125787734985,0.26728641986846924,0.2061518132686615
and,0.43859338760375977,0.3740963041782379,0.23245558142662048,0.19711989164352417,0.5116966962814331,0.20544172823429108
charged,0.1789189577102661,0.2394018918275833,0.13732875883579254,0.13916146755218506,0.21960902214050293,0.1305682212114334
him,0.2840098738670349,0.3675798773765564,0.23785261809825897,0.26769500970840454,0.2764812409877777,0.23943768441677094
with,0.4142743945121765,0.27411898970603943,0.16342200338840485,0.15285050868988037,0.41827285289764404,0.2433311939239502
defending,0.2822033166885376,0.22164638340473175,0.16663038730621338,0.13317899405956268,0.23717111349105835,0.19775530695915222
the,0.5003893971443176,0.48711544275283813,0.1921381652355194,0.19712300598621368,0.733189046382904,0.22068053483963013
marches,0.17743392288684845,0.20892056822776794,0.19157060980796814,0.24888363480567932,0.2550976872444153,0.1457805186510086
and,0.43859338760375977,0.3740963041782379,0.23245558142662048,0.19711989164352417,0.5116966962814331,0.20544172823429108
warring,0.20361487567424774,0.20837223529815674,0.04986405000090599,0.15728753805160522,0.22060155868530273,0.2895764708518982
with,0.4142743945121765,0.27411898970603943,0.16342200338840485,0.15285050868988037,0.41827285289764404,0.2433311939239502
the,0.5003893971443176,0.48711544275283813,0.1921381652355194,0.19712300598621368,0.733189046382904,0.22068053483963013
welsh,0.1279558539390564,0.20027370750904083,0.17970356345176697,0.31602147221565247,0.11676425486803055,0.0826316848397255
.,0.41390106081962585,0.40146201848983765,0.2132580727338791,0.2329305112361908,0.5352458953857422,0.4130953550338745
