,who,were,the,two,abbots,at,fécamp,abbey,?
at,0.22096660733222961,0.2947486639022827,0.457212895154953,0.32178381085395813,0.1939171403646469,1.0,0.3278561234474182,0.2570492625236511,0.21978627145290375
fécamp,0.3900955319404602,0.3410463035106659,0.35700297355651855,0.2297351211309433,0.3744216859340668,0.3278561234474182,1.0000001192092896,0.456307977437973,0.16247700154781342
",",0.3365725874900818,0.36755475401878357,0.4933079481124878,0.35859420895576477,0.21801334619522095,0.38314947485923767,0.35169896483421326,0.16216500103473663,0.31091248989105225
under,0.2962189018726349,0.28293636441230774,0.3348022699356079,0.17014911770820618,0.2460690289735794,0.2700437307357788,0.24493658542633057,0.14756323397159576,0.18233340978622437
two,0.2791741192340851,0.4493520259857178,0.43858039379119873,1.0000001192092896,0.09991732239723206,0.32178381085395813,0.2297351211309433,0.10614863783121109,0.19645625352859497
italian,0.2497793436050415,0.20873858034610748,0.19855095446109772,0.19245563447475433,0.15330742299556732,0.12219633162021637,0.22007115185260773,0.15913590788841248,0.1156633123755455
abbots,0.185409277677536,0.21011680364608765,0.17896492779254913,0.09991732239723206,1.0000001192092896,0.1939171403646469,0.3744216859340668,0.4589264392852783,0.11863186210393906
",",0.3365725874900818,0.36755475401878357,0.4933079481124878,0.35859420895576477,0.21801334619522095,0.38314947485923767,0.35169896483421326,0.16216500103473663,0.31091248989105225
william,0.32068803906440735,0.18914814293384552,0.21537061035633087,0.15547144412994385,0.2619687616825104,0.16626758873462677,0.35070210695266724,0.20174895226955414,0.14462219178676605
of,0.2827862501144409,0.34038281440734863,0.733189046382904,0.37726253271102905,0.1745738834142685,0.42558613419532776,0.36090752482414246,0.22414204478263855,0.1826142966747284
volpiano,0.2986333668231964,0.2572752833366394,0.27514898777008057,0.2675274908542633,0.2290268987417221,0.23219892382621765,0.3599674105644226,0.19862303137779236,0.21805764734745026
and,0.41279885172843933,0.42175528407096863,0.5171257257461548,0.4671151638031006,0.20383170247077942,0.3571503460407257,0.3274770975112915,0.17940804362297058,0.20544172823429108
john,0.30388808250427246,0.19632886350154877,0.2230520099401474,0.18749317526817322,0.3275456726551056,0.2018798142671585,0.33123478293418884,0.1996816247701645,0.13162356615066528
of,0.2827862501144409,0.34038281440734863,0.733189046382904,0.37726253271102905,0.1745738834142685,0.42558613419532776,0.36090752482414246,0.22414204478263855,0.1826142966747284
ravenna,0.08568490296602249,0.15308885276317596,0.2863312065601349,0.12495873123407364,0.30561304092407227,0.24040429294109344,0.30085235834121704,0.23797301948070526,0.11023935675621033
",",0.3365725874900818,0.36755475401878357,0.4933079481124878,0.35859420895576477,0.21801334619522095,0.38314947485923767,0.35169896483421326,0.16216500103473663,0.31091248989105225
the,0.3733934462070465,0.3906462490558624,1.0,0.43858039379119873,0.17896492779254913,0.457212895154953,0.35700297355651855,0.25067803263664246,0.22068053483963013
system,0.1550477296113968,0.1800099015235901,0.3233085572719574,0.14671745896339417,0.11908208578824997,0.1684759259223938,0.12552472949028015,0.10173140466213226,0.15556083619594574
of,0.2827862501144409,0.34038281440734863,0.733189046382904,0.37726253271102905,0.1745738834142685,0.42558613419532776,0.36090752482414246,0.22414204478263855,0.1826142966747284
denoting,0.13474319875240326,0.18214495480060577,0.3084140717983246,0.3030824363231659,0.14584870636463165,0.1654384732246399,0.09049663692712784,0.08605125546455383,0.26973995566368103
notes,0.12661360204219818,0.1688494235277176,0.20623527467250824,0.18093723058700562,0.1492922008037567,0.1710893213748932,0.11832237988710403,0.1335090845823288,0.23920853435993195
by,0.39727845788002014,0.4406847059726715,0.4408751428127289,0.33852577209472656,0.22113540768623352,0.2368064820766449,0.3330102264881134,0.23431016504764557,0.17966607213020325
letters,0.22802039980888367,0.22119978070259094,0.23764781653881073,0.279439240694046,0.1912289559841156,0.07273288071155548,0.14104898273944855,0.1438547968864441,0.18739263713359833
was,0.3318818509578705,0.590133786201477,0.48711544275283813,0.27166637778282166,0.18501783907413483,0.36707764863967896,0.4215681552886963,0.2843005657196045,0.18412111699581146
developed,0.1288115680217743,0.2749831974506378,0.24490751326084137,0.23628440499305725,0.09553751349449158,0.1761963814496994,0.17647482454776764,0.08175300061702728,0.10763012617826462
and,0.41279885172843933,0.42175528407096863,0.5171257257461548,0.4671151638031006,0.20383170247077942,0.3571503460407257,0.3274770975112915,0.17940804362297058,0.20544172823429108
taught,0.35031798481941223,0.2051289826631546,0.17271466553211212,0.17347292602062225,0.16657741367816925,0.28387054800987244,0.30842140316963196,0.18139253556728363,0.18297621607780457
.,0.3541337847709656,0.3378238379955292,0.5934505462646484,0.3524959683418274,0.16543374955654144,0.4549728035926819,0.32431772351264954,0.20526821911334991,0.4130953550338745
