,who,arranged,for,tesla,to,demonstrate,his,system,at,the,ieee,?
in,0.2792111933231354,0.20203842222690582,0.4322226941585541,0.17097744345664978,0.45010748505592346,0.24932757019996643,0.3598145842552185,0.21978288888931274,0.4374977946281433,0.6662389636039734,0.1104082316160202,0.20430970191955566
1888,0.13229268789291382,0.1173708364367485,0.11201612651348114,0.12613868713378906,0.17033766210079193,0.009466502815485,0.12162206321954727,0.1605404019355774,0.20024904608726501,0.2002750039100647,0.12663038074970245,0.07625395059585571
",",0.3365725874900818,0.2789522111415863,0.4464869201183319,0.20599327981472015,0.44245919585227966,0.2733919620513916,0.3378419280052185,0.18439900875091553,0.38314947485923767,0.4933079481124878,0.24352361261844635,0.31091248989105225
the,0.3733934462070465,0.26620063185691833,0.4739971458911896,0.1324402391910553,0.535392165184021,0.2374596893787384,0.4394008219242096,0.3233085572719574,0.457212895154953,1.0,0.1838465929031372,0.22068053483963013
editor,0.257452130317688,0.11246728897094727,0.2568649649620056,0.14602340757846832,0.2471989244222641,0.2254066914319992,0.21010223031044006,0.20029135048389435,0.17715810239315033,0.17138153314590454,0.17851106822490692,0.29182010889053345
of,0.2827862501144409,0.33214297890663147,0.4185989499092102,0.18837453424930573,0.41548454761505127,0.2098890244960785,0.38364991545677185,0.25597915053367615,0.42558613419532776,0.733189046382904,0.2129846066236496,0.1826142966747284
electrical,0.16470956802368164,0.22077041864395142,0.20076188445091248,0.45727142691612244,0.2649001479148865,0.2583812177181244,0.17698267102241516,0.27420902252197266,0.21410898864269257,0.2523402273654938,0.37310829758644104,0.10923371464014053
world,0.25158336758613586,0.13481801748275757,0.2444595992565155,0.15619845688343048,0.26213452219963074,0.09116946160793304,0.22569474577903748,0.1705089509487152,0.22825311124324799,0.33604270219802856,0.2539602220058441,0.17579582333564758
magazine,0.21138475835323334,0.10260239243507385,0.1829415112733841,0.2325788289308548,0.15560579299926758,0.09350323677062988,0.1464061290025711,0.07078167796134949,0.16858796775341034,0.19931171834468842,0.2616514265537262,0.15570664405822754
",",0.3365725874900818,0.2789522111415863,0.4464869201183319,0.20599327981472015,0.44245919585227966,0.2733919620513916,0.3378419280052185,0.18439900875091553,0.38314947485923767,0.4933079481124878,0.24352361261844635,0.31091248989105225
thomas,0.26103657484054565,0.1507754772901535,0.19489257037639618,0.21892967820167542,0.1928519904613495,0.12261909991502762,0.20028819143772125,0.06121407076716423,0.18481792509555817,0.23505409061908722,0.21509091556072235,0.16133050620555878
commerford,0.2187306135892868,0.15132969617843628,0.2548569440841675,0.2827424705028534,0.2275306135416031,0.1912805140018463,0.2449435293674469,0.08285815268754959,0.25574514269828796,0.24951380491256714,0.30446121096611023,0.13851870596408844
martin,0.22000780701637268,0.17339734733104706,0.1178249642252922,0.22885408997535706,0.1691744029521942,0.058248311281204224,0.23498685657978058,0.045749254524707794,0.13322176039218903,0.22029393911361694,0.22641928493976593,0.060103293508291245
(,0.2443375140428543,0.12770676612854004,0.3357032239437103,0.2156914919614792,0.30882009863853455,0.10973811149597168,0.16098198294639587,0.15626809000968933,0.23315078020095825,0.33289089798927307,0.23260299861431122,0.40561532974243164
a,0.36608949303627014,0.22070619463920593,0.44038116931915283,0.2211925983428955,0.45503583550453186,0.2521003186702728,0.3497250974178314,0.2589043080806732,0.3095070421695709,0.5829201340675354,0.16850139200687408,0.23916715383529663
friend,0.4425715506076813,0.13130755722522736,0.21733058989048004,0.14410300552845,0.263187438249588,0.18075942993164062,0.4291400909423828,0.04912000522017479,0.1715880036354065,0.1746615767478943,0.16038286685943604,0.12953594326972961
and,0.41279885172843933,0.314948171377182,0.5064792633056641,0.19560420513153076,0.48971283435821533,0.22373680770397186,0.4234102666378021,0.231138214468956,0.3571503460407257,0.5171257257461548,0.19170649349689484,0.20544172823429108
publicist,0.2650006115436554,0.18967893719673157,0.19533270597457886,0.23677003383636475,0.12287576496601105,0.19043530523777008,0.29965904355049133,0.048822272568941116,0.16442938148975372,0.12261292338371277,0.21867264807224274,0.23023360967636108
),0.2457384318113327,0.13672685623168945,0.3639558255672455,0.22692398726940155,0.31236231327056885,0.1154056265950203,0.18606403470039368,0.15207810699939728,0.23338089883327484,0.3456730246543884,0.22289595007896423,0.42300865054130554
",",0.3365725874900818,0.2789522111415863,0.4464869201183319,0.20599327981472015,0.44245919585227966,0.2733919620513916,0.3378419280052185,0.18439900875091553,0.38314947485923767,0.4933079481124878,0.24352361261844635,0.31091248989105225
arranged,0.13102956116199493,0.9999998807907104,0.1783306747674942,0.1214086264371872,0.2805038392543793,0.18705302476882935,0.20409953594207764,0.08530395478010178,0.20818737149238586,0.26620063185691833,0.12213728576898575,0.08499907702207565
for,0.37110671401023865,0.1783306747674942,0.9999999403953552,0.13983871042728424,0.4451248347759247,0.31873947381973267,0.39312878251075745,0.2630598843097687,0.34237727522850037,0.4739971458911896,0.27159491181373596,0.264628142118454
tesla,0.1520961970090866,0.1214086264371872,0.13983871042728424,0.9999999403953552,0.17548894882202148,0.30971378087997437,0.1580733060836792,0.18243813514709473,0.16552478075027466,0.1324402391910553,0.3623356223106384,0.10250775516033173
to,0.42656609416007996,0.2805038392543793,0.4451248347759247,0.17548894882202148,1.0,0.3286087214946747,0.3715193271636963,0.26662686467170715,0.36524343490600586,0.535392165184021,0.1780811995267868,0.29463258385658264
demonstrate,0.21876782178878784,0.18705302476882935,0.31873947381973267,0.30971378087997437,0.3286087214946747,1.0,0.2149023562669754,0.22941339015960693,0.2285737246274948,0.2374596893787384,0.20952335000038147,0.20898205041885376
his,0.44966956973075867,0.20409953594207764,0.39312878251075745,0.1580733060836792,0.3715193271636963,0.2149023562669754,0.9999998807907104,0.15711051225662231,0.27659502625465393,0.4394008219242096,0.11539559066295624,0.18075084686279297
alternating,0.0991673618555069,0.2695919871330261,0.28052112460136414,0.20965251326560974,0.23102223873138428,0.18313832581043243,0.140254408121109,0.25607529282569885,0.1700114756822586,0.34576064348220825,0.24261857569217682,0.13878576457500458
current,0.18425484001636505,0.11728978902101517,0.27481377124786377,0.19374153017997742,0.30630946159362793,0.1404573768377304,0.1555706262588501,0.17151163518428802,0.17432795464992523,0.3314409554004669,0.22133088111877441,0.12074550241231918
system,0.1550477296113968,0.08530395478010178,0.2630598843097687,0.18243813514709473,0.26662686467170715,0.22941339015960693,0.15711051225662231,1.0000001192092896,0.1684759259223938,0.3233085572719574,0.22901274263858795,0.15556083619594574
",",0.3365725874900818,0.2789522111415863,0.4464869201183319,0.20599327981472015,0.44245919585227966,0.2733919620513916,0.3378419280052185,0.18439900875091553,0.38314947485923767,0.4933079481124878,0.24352361261844635,0.31091248989105225
including,0.2835840582847595,0.23099324107170105,0.42507120966911316,0.07415688037872314,0.24006329476833344,0.1458601951599121,0.25115638971328735,0.14377175271511078,0.2641666531562805,0.3738902807235718,0.23379658162593842,0.1633303165435791
his,0.44966956973075867,0.20409953594207764,0.39312878251075745,0.1580733060836792,0.3715193271636963,0.2149023562669754,0.9999998807907104,0.15711051225662231,0.27659502625465393,0.4394008219242096,0.11539559066295624,0.18075084686279297
