,when,did,tesla,begin,researching,x-ray,imaging,?
in,0.4431333839893341,0.2593238651752472,0.17097744345664978,0.2903634011745453,0.2470199018716812,0.27182886004447937,0.20635999739170074,0.20430970191955566
march,0.22895319759845734,0.27992504835128784,0.1457514613866806,0.17549718916416168,0.1121731773018837,0.20251059532165527,0.12249237298965454,0.2802562415599823
1896,0.2624363303184509,0.23122188448905945,0.13362865149974823,0.17740538716316223,0.07157856225967407,0.1624978929758072,0.20991086959838867,0.05348491296172142
",",0.36674630641937256,0.3015086054801941,0.20599327981472015,0.27304404973983765,0.3077370822429657,0.2764621376991272,0.1535363644361496,0.31091248989105225
after,0.5331412553787231,0.30330467224121094,0.0752151682972908,0.4157010316848755,0.2011422961950302,0.23959162831306458,0.08494774252176285,0.16608688235282898
hearing,0.3110961616039276,0.26051026582717896,0.24375475943088531,0.20054660737514496,0.3110811412334442,0.20200160145759583,0.3277490437030792,0.19994913041591644
of,0.3757161796092987,0.2513895630836487,0.18837453424930573,0.24830074608325958,0.2797350585460663,0.19506630301475525,0.2478860467672348,0.1826142966747284
wilhelm,0.21011118590831757,0.1907045841217041,0.25783807039260864,0.10353472083806992,0.17794907093048096,0.01274450309574604,0.16976088285446167,0.12678855657577515
röntgen,0.2355944812297821,0.19253376126289368,0.32189181447029114,0.13970963656902313,0.3133258819580078,0.17287158966064453,0.32756370306015015,0.19019243121147156
's,-0.03368149697780609,0.05069678649306297,0.06449045985937119,-0.07216574251651764,-0.0298166386783123,0.03043914958834648,0.014660782180726528,-0.023395681753754616
discovery,0.19931064546108246,0.14172746241092682,0.19655756652355194,0.16253182291984558,0.37420064210891724,0.1410597860813141,0.33956632018089294,0.11594310402870178
of,0.3757161796092987,0.2513895630836487,0.18837453424930573,0.24830074608325958,0.2797350585460663,0.19506630301475525,0.2478860467672348,0.1826142966747284
x-ray,0.27484917640686035,0.23021014034748077,0.07060568034648895,0.11591490358114243,0.12016310542821884,1.0000001192092896,0.17581111192703247,0.26398539543151855
and,0.4716290831565857,0.34479495882987976,0.19560420513153076,0.2599445581436157,0.32558363676071167,0.27761489152908325,0.2447846680879593,0.20544172823429108
x-ray,0.27484917640686035,0.23021014034748077,0.07060568034648895,0.11591490358114243,0.12016310542821884,1.0000001192092896,0.17581111192703247,0.26398539543151855
imaging,0.2265634834766388,0.1540277749300003,0.29163673520088196,0.1539638191461563,0.42753398418426514,0.17581111192703247,1.0,0.0898628756403923
(,0.2459595799446106,0.18979617953300476,0.2156914919614792,0.12756820023059845,0.19036632776260376,0.24844886362552643,0.1157996729016304,0.40561532974243164
radiography,0.17532216012477875,0.20611554384231567,0.27407652139663696,0.12608274817466736,0.4129590094089508,0.14166374504566193,0.401486873626709,0.17347325384616852
),0.2538422644138336,0.18584993481636047,0.22692398726940155,0.13078060746192932,0.18218186497688293,0.23654557764530182,0.12324066460132599,0.42300865054130554
",",0.36674630641937256,0.3015086054801941,0.20599327981472015,0.27304404973983765,0.3077370822429657,0.2764621376991272,0.1535363644361496,0.31091248989105225
tesla,0.1504557579755783,0.09757418930530548,0.9999999403953552,0.02097291871905327,0.1925877034664154,0.07060568034648895,0.29163673520088196,0.10250775516033173
proceeded,0.29781997203826904,0.3054560720920563,0.11048620939254761,0.26677972078323364,0.231323704123497,0.177689790725708,0.14111967384815216,0.15368618071079254
to,0.5423505902290344,0.4452643394470215,0.17548894882202148,0.33302420377731323,0.3126157224178314,0.2863662540912628,0.17666667699813843,0.29463258385658264
do,0.28572237491607666,0.5246143937110901,0.13880622386932373,0.3011261224746704,0.2595919668674469,0.20907720923423767,0.18657901883125305,0.4093979299068451
his,0.37120407819747925,0.3546801507472992,0.1580733060836792,0.22923272848129272,0.2937007248401642,0.17810890078544617,0.1682628095149994,0.18075084686279297
own,0.3067531883716583,0.34475913643836975,0.17710740864276886,0.24831850826740265,0.25436490774154663,0.15563112497329712,0.12000628560781479,0.1937696635723114
experiments,0.2910088300704956,0.2717590034008026,0.29793205857276917,0.22056034207344055,0.45142853260040283,0.15353381633758545,0.40680745244026184,0.14564716815948486
in,0.4431333839893341,0.2593238651752472,0.17097744345664978,0.2903634011745453,0.2470199018716812,0.27182886004447937,0.20635999739170074,0.20430970191955566
x-ray,0.27484917640686035,0.23021014034748077,0.07060568034648895,0.11591490358114243,0.12016310542821884,1.0000001192092896,0.17581111192703247,0.26398539543151855
imaging,0.2265634834766388,0.1540277749300003,0.29163673520088196,0.1539638191461563,0.42753398418426514,0.17581111192703247,1.0,0.0898628756403923
",",0.36674630641937256,0.3015086054801941,0.20599327981472015,0.27304404973983765,0.3077370822429657,0.2764621376991272,0.1535363644361496,0.31091248989105225
developing,0.2821664810180664,0.21685825288295746,0.19485853612422943,0.2895844280719757,0.4419749975204468,0.11036242544651031,0.358648419380188,0.1301516592502594
a,0.44397395849227905,0.2552328109741211,0.2211925983428955,0.22845244407653809,0.2674824893474579,0.2616620659828186,0.2354508936405182,0.23916715383529663
high,0.20577524602413177,0.15957149863243103,0.2007197141647339,0.17182596027851105,0.1482270210981369,0.23212583363056183,0.14329008758068085,0.11137914657592773
energy,0.24666637182235718,0.14123573899269104,0.28722304105758667,0.22168517112731934,0.23110651969909668,0.1790667176246643,0.3374972641468048,0.14860127866268158
single,0.22309941053390503,0.18021610379219055,0.1453593224287033,0.17906436324119568,0.1307302564382553,0.1582215130329132,0.14943312108516693,0.2151121199131012
terminal,0.22667531669139862,0.14016997814178467,0.25944626331329346,0.18092265725135803,0.16424767673015594,0.1998012661933899,0.245479017496109,0.10327429324388504
vacuum,0.2472143918275833,0.13815660774707794,0.3939276337623596,0.13499410450458527,0.19055107235908508,0.23041778802871704,0.3311982750892639,0.10335687547922134
tube,0.2324366718530655,0.1256694346666336,0.2242102175951004,0.13081291317939758,0.2199881225824356,0.21711234748363495,0.1725306659936905,0.13631722331047058
of,0.3757161796092987,0.2513895630836487,0.18837453424930573,0.24830074608325958,0.2797350585460663,0.19506630301475525,0.2478860467672348,0.1826142966747284
his,0.37120407819747925,0.3546801507472992,0.1580733060836792,0.22923272848129272,0.2937007248401642,0.17810890078544617,0.1682628095149994,0.18075084686279297
own,0.3067531883716583,0.34475913643836975,0.17710740864276886,0.24831850826740265,0.25436490774154663,0.15563112497329712,0.12000628560781479,0.1937696635723114
design,0.1777849793434143,0.23409053683280945,0.27540352940559387,0.18408659100532532,0.22979731857776642,0.12338826805353165,0.3159000873565674,0.16351860761642456
that,0.5860282182693481,0.47518548369407654,0.22102725505828857,0.27644142508506775,0.3635145425796509,0.2786754369735718,0.27852389216423035,0.32716336846351624
had,0.37526828050613403,0.540525496006012,0.12050733715295792,0.22477731108665466,0.25880512595176697,0.18470464646816254,0.12808549404144287,0.20728366076946259
no,0.28761178255081177,0.23735837638378143,0.12855590879917145,0.14096717536449432,0.21406786143779755,0.14844664931297302,0.14242340624332428,0.32165053486824036
target,0.2709612548351288,0.14624325931072235,0.09948268532752991,0.20878919959068298,0.2064899057149887,0.12734125554561615,0.15303678810596466,0.24974246323108673
electrode,0.2940864861011505,0.13438716530799866,0.37528252601623535,0.16240577399730682,0.27982163429260254,0.2531535029411316,0.36150452494621277,0.1471586525440216
and,0.4716290831565857,0.34479495882987976,0.19560420513153076,0.2599445581436157,0.32558363676071167,0.27761489152908325,0.2447846680879593,0.20544172823429108
