,what,did,the,general,conference,on,weights,and,measures,name,after,tesla,in,1960,?
his,0.26976513862609863,0.3546801507472992,0.4394008219242096,0.21327239274978638,0.1301712989807129,0.32064297795295715,0.12460701912641525,0.4234102666378021,0.16365422308444977,0.1914493292570114,0.41949746012687683,0.1580733060836792,0.3598145842552185,-0.06351902335882187,0.18075084686279297
work,0.3762225806713104,0.336654931306839,0.2704800069332123,0.1791238635778427,0.1315453201532364,0.26663315296173096,0.20281429588794708,0.37551814317703247,0.19645777344703674,0.15755409002304077,0.13635344803333282,0.2545209228992462,0.2753349542617798,-0.1173461452126503,0.2621155381202698
fell,0.1721644401550293,0.3227677345275879,0.2598440647125244,0.10128770768642426,0.11061850935220718,0.2488616406917572,0.1152598187327385,0.29412880539894104,0.18502424657344818,0.09863936901092529,0.3766758143901825,0.10547134280204773,0.22975562512874603,-0.016021408140659332,0.13107693195343018
into,0.2180619090795517,0.14888085424900055,0.39493247866630554,0.11531101912260056,0.13040219247341156,0.30585673451423645,0.14611688256263733,0.36597734689712524,0.12846510112285614,0.19626246392726898,0.36954155564308167,0.13143925368785858,0.38021373748779297,-0.0038640357088297606,0.15662476420402527
relative,0.24426062405109406,0.1787591576576233,0.24540278315544128,0.1775633543729782,0.0991285964846611,0.1463312804698944,0.27735331654548645,0.3077041506767273,0.3104704022407532,0.13082243502140045,0.12672510743141174,0.2113126963376999,0.19146351516246796,0.0173388309776783,0.1457768678665161
obscurity,0.2911953926086426,0.17027948796749115,0.24597306549549103,0.17131072282791138,0.1354503035545349,0.27384427189826965,0.1856335699558258,0.28209546208381653,0.2952239513397217,0.1684507578611374,0.2105322927236557,0.23458270728588104,0.2201119214296341,-0.029247265309095383,0.23761048913002014
after,0.21973377466201782,0.30330467224121094,0.4565047025680542,0.1764041930437088,0.15634551644325256,0.39330315589904785,0.12118366360664368,0.3765919506549835,0.1775370091199875,0.2467648833990097,1.0,0.0752151682972908,0.44050168991088867,-0.03511400520801544,0.16608688235282898
his,0.26976513862609863,0.3546801507472992,0.4394008219242096,0.21327239274978638,0.1301712989807129,0.32064297795295715,0.12460701912641525,0.4234102666378021,0.16365422308444977,0.1914493292570114,0.41949746012687683,0.1580733060836792,0.3598145842552185,-0.06351902335882187,0.18075084686279297
death,0.2267695665359497,0.2252790331840515,0.21438048779964447,0.16415007412433624,0.11605873703956604,0.16915851831436157,0.07891152799129486,0.1816639006137848,0.12163444608449936,0.18105126917362213,0.2794583737850189,0.11229380965232849,0.18743370473384857,0.07943084090948105,0.21149799227714539
",",0.3087472915649414,0.3015086054801941,0.4933079481124878,0.3022127151489258,0.21862302720546722,0.49057599902153015,0.1885143369436264,0.6633074283599854,0.16940486431121826,0.28145334124565125,0.38860568404197693,0.20599327981472015,0.5201468467712402,0.07487643510103226,0.31091248989105225
but,0.5029441118240356,0.49033689498901367,0.4859698414802551,0.25494062900543213,0.18848812580108643,0.3584071099758148,0.22953596711158752,0.5762497186660767,0.24100205302238464,0.268699049949646,0.38354751467704773,0.1549924612045288,0.48674455285072327,-0.09837725013494492,0.27921953797340393
in,0.30808621644973755,0.2593238651752472,0.6662389636039734,0.259066641330719,0.2199791669845581,0.46853652596473694,0.1820462942123413,0.4954058527946472,0.1663234680891037,0.2459065467119217,0.44050168991088867,0.17097744345664978,1.0,0.03880028799176216,0.20430970191955566
1960,-0.11768999695777893,-0.14243990182876587,0.038049813359975815,0.02990502305328846,0.038019441068172455,-0.039851151406764984,-0.05997982621192932,-0.014429615810513496,-0.08953280001878738,0.1957131177186966,-0.03511400520801544,-0.015341438353061676,0.03880028799176216,1.0,-0.02243652194738388
the,0.42745697498321533,0.34736719727516174,1.0,0.28634732961654663,0.25393402576446533,0.5107308030128479,0.2594113051891327,0.5171257257461548,0.263394296169281,0.3171212375164032,0.4565047025680542,0.1324402391910553,0.6662389636039734,0.038049813359975815,0.22068053483963013
general,0.24928055703639984,0.19499315321445465,0.28634732961654663,1.0000001192092896,0.17838294804096222,0.18019753694534302,0.18524958193302155,0.25860127806663513,0.17371870577335358,0.12844601273536682,0.1764041930437088,0.17933808267116547,0.259066641330719,0.02990502305328846,0.1972234547138214
conference,0.15329721570014954,0.1365220993757248,0.25393402576446533,0.17838294804096222,0.9999999403953552,0.1731710135936737,0.27843883633613586,0.21613861620426178,0.17472106218338013,0.1523987054824829,0.15634551644325256,0.14066976308822632,0.2199791669845581,0.038019441068172455,0.11172781884670258
on,0.34226128458976746,0.2670976221561432,0.5107308030128479,0.18019753694534302,0.1731710135936737,0.9999999403953552,0.2615545094013214,0.4077630043029785,0.18626126646995544,0.17627742886543274,0.39330315589904785,0.16159376502037048,0.46853652596473694,-0.039851151406764984,0.2714994251728058
weights,0.1891348958015442,0.14787399768829346,0.2594113051891327,0.18524958193302155,0.27843883633613586,0.2615545094013214,0.9999998807907104,0.23337499797344208,0.4482220411300659,0.14752833545207977,0.12118366360664368,0.32992690801620483,0.1820462942123413,-0.05997982621192932,0.11669361591339111
and,0.31309178471565247,0.34479495882987976,0.5171257257461548,0.25860127806663513,0.21613861620426178,0.4077630043029785,0.23337499797344208,1.0,0.25640660524368286,0.21235932409763336,0.3765919506549835,0.19560420513153076,0.4954058527946472,-0.014429615810513496,0.20544172823429108
measures,0.24211709201335907,0.179397314786911,0.263394296169281,0.17371870577335358,0.17472106218338013,0.18626126646995544,0.4482220411300659,0.25640660524368286,1.0000001192092896,0.10867868363857269,0.1775370091199875,0.2861619293689728,0.1663234680891037,-0.08953280001878738,0.18777857720851898
named,0.1525408923625946,0.1507878601551056,0.3521348536014557,0.15080037713050842,0.16394585371017456,0.19771578907966614,0.12382945418357849,0.23097854852676392,0.14304621517658234,0.44205352663993835,0.4528660774230957,0.1519215852022171,0.28130269050598145,0.11286839097738266,0.1297498345375061
the,0.42745697498321533,0.34736719727516174,1.0,0.28634732961654663,0.25393402576446533,0.5107308030128479,0.2594113051891327,0.5171257257461548,0.263394296169281,0.3171212375164032,0.4565047025680542,0.1324402391910553,0.6662389636039734,0.038049813359975815,0.22068053483963013
si,0.1344788819551468,0.06705717742443085,0.16289132833480835,0.16515015065670013,0.03384272754192352,0.09299645572900772,0.19648835062980652,0.0850515365600586,0.2421606332063675,0.1307867020368576,0.12702737748622894,0.3801915943622589,0.1545318216085434,0.08047889918088913,0.1311444789171219
unit,0.175853431224823,0.12886667251586914,0.24230392277240753,0.15173500776290894,0.06437820941209793,0.1854572892189026,0.23538528382778168,0.19952000677585602,0.313370019197464,0.14163310825824738,0.17871828377246857,0.35186880826950073,0.21935637295246124,-0.003582665231078863,0.09069886058568954
of,0.33290785551071167,0.2513895630836487,0.733189046382904,0.28352999687194824,0.19579021632671356,0.3966929316520691,0.190908282995224,0.5116966962814331,0.24129846692085266,0.24075818061828613,0.3867455720901489,0.18837453424930573,0.5696388483047485,0.05807475745677948,0.1826142966747284
magnetic,0.19557252526283264,0.14488396048545837,0.18611927330493927,0.1455984115600586,0.07889910042285919,0.21771234273910522,0.2493303120136261,0.1990627944469452,0.26270222663879395,0.09579169005155563,0.10978393256664276,0.3901122510433197,0.13499167561531067,-0.07679601013660431,0.10858146101236343
flux,0.19423030316829681,0.10431938618421555,0.2282581329345703,0.16163921356201172,0.037923071533441544,0.1455010622739792,0.25321218371391296,0.20642082393169403,0.2758396863937378,0.14612658321857452,0.11601099371910095,0.3562067747116089,0.15118131041526794,-0.044796913862228394,0.13644970953464508
density,0.1728270947933197,0.0637858510017395,0.2451544851064682,0.1820206195116043,0.13471928238868713,0.14023399353027344,0.29135236144065857,0.2028898298740387,0.2682114541530609,0.15964829921722412,0.05855106562376022,0.18355323374271393,0.24213694036006927,0.03521419316530228,0.1457761973142624
the,0.42745697498321533,0.34736719727516174,1.0,0.28634732961654663,0.25393402576446533,0.5107308030128479,0.2594113051891327,0.5171257257461548,0.263394296169281,0.3171212375164032,0.4565047025680542,0.1324402391910553,0.6662389636039734,0.038049813359975815,0.22068053483963013
tesla,0.23221199214458466,0.09757418930530548,0.1324402391910553,0.17933808267116547,0.14066976308822632,0.16159376502037048,0.32992690801620483,0.19560420513153076,0.2861619293689728,0.15570181608200073,0.0752151682972908,0.9999999403953552,0.17097744345664978,-0.015341438353061676,0.10250775516033173
in,0.30808621644973755,0.2593238651752472,0.6662389636039734,0.259066641330719,0.2199791669845581,0.46853652596473694,0.1820462942123413,0.4954058527946472,0.1663234680891037,0.2459065467119217,0.44050168991088867,0.17097744345664978,1.0,0.03880028799176216,0.20430970191955566
his,0.26976513862609863,0.3546801507472992,0.4394008219242096,0.21327239274978638,0.1301712989807129,0.32064297795295715,0.12460701912641525,0.4234102666378021,0.16365422308444977,0.1914493292570114,0.41949746012687683,0.1580733060836792,0.3598145842552185,-0.06351902335882187,0.18075084686279297
honor,0.15029305219650269,0.2171061933040619,0.2633417248725891,0.13432487845420837,0.1735084354877472,0.19717876613140106,0.12048117816448212,0.18950335681438446,0.09848202764987946,0.2967875897884369,0.2892547845840454,0.1510842889547348,0.22434492409229279,0.13297820091247559,0.1187526285648346
.,0.3567904531955719,0.35288307070732117,0.5934505462646484,0.2929490804672241,0.1982354372739792,0.49257001280784607,0.2243182212114334,0.588965117931366,0.2194034606218338,0.24737101793289185,0.35870397090911865,0.17949827015399933,0.5591574311256409,0.051420908421278,0.4130953550338745
