,who,demonstrated,the,egg,of,columbus,?
tesla,0.1520961970090866,0.28413429856300354,0.1324402391910553,0.1376446783542633,0.18837453424930573,0.1915864497423172,0.10250775516033173
also,0.47919341921806335,0.2509736120700836,0.6021018624305725,0.17568077147006989,0.4924938678741455,0.2296232283115387,0.21848613023757935
explained,0.23929327726364136,0.380886971950531,0.2738569974899292,0.14780326187610626,0.24962453544139862,0.162533238530159,0.31240519881248474
the,0.3733934462070465,0.2412586510181427,1.0,0.18912272155284882,0.733189046382904,0.2655775547027588,0.22068053483963013
principles,0.22023946046829224,0.30045369267463684,0.21452596783638,0.12225749343633652,0.25854504108428955,0.08058444410562515,0.19203636050224304
of,0.2827862501144409,0.21852713823318481,0.733189046382904,0.17291519045829773,1.0,0.14879509806632996,0.1826142966747284
the,0.3733934462070465,0.2412586510181427,1.0,0.18912272155284882,0.733189046382904,0.2655775547027588,0.22068053483963013
rotating,0.143266960978508,0.20239074528217316,0.2603665590286255,0.22584618628025055,0.23687800765037537,0.08845095336437225,0.08289054036140442
magnetic,0.0936945229768753,0.21140988171100616,0.18611927330493927,0.17179414629936218,0.16237565875053406,0.13520990312099457,0.10858146101236343
field,0.18098586797714233,0.19239948689937592,0.2105809599161148,0.10419251024723053,0.20410659909248352,0.15678322315216064,0.11279727518558502
in,0.2792111933231354,0.24005702137947083,0.6662389636039734,0.1722630113363266,0.5696388483047485,0.2035193294286728,0.20430970191955566
an,0.2848317325115204,0.19878840446472168,0.4207492768764496,0.1675708293914795,0.32280945777893066,0.1741832196712494,0.19793890416622162
induction,0.1360868364572525,0.2215069830417633,0.26266005635261536,0.15645457804203033,0.273759663105011,0.09093329310417175,0.1510571390390396
motor,0.1466689109802246,0.1509016752243042,0.26024484634399414,0.11798305809497833,0.20839329063892365,0.15540143847465515,0.0637441948056221
by,0.39727845788002014,0.2468349188566208,0.4408751428127289,0.104483962059021,0.3646814823150635,0.19125565886497498,0.17966607213020325
demonstrating,0.1604882776737213,0.8463665246963501,0.28351321816444397,0.17010720074176788,0.2578790783882141,0.11104059964418411,0.16282391548156738
how,0.4070430099964142,0.2632872462272644,0.33890387415885925,0.20283891260623932,0.2480744868516922,0.17214037477970123,0.4024120569229126
to,0.42656609416007996,0.24695155024528503,0.535392165184021,0.18925781548023224,0.41548454761505127,0.2408149242401123,0.29463258385658264
make,0.28430092334747314,0.2235165536403656,0.3146495521068573,0.17615698277950287,0.2912110388278961,0.15473297238349915,0.28314751386642456
a,0.36608949303627014,0.22847095131874084,0.5829201340675354,0.21959127485752106,0.5052502155303955,0.16265426576137543,0.23916715383529663
copper,0.17479749023914337,0.188951313495636,0.2199994921684265,0.11726648360490799,0.16892224550247192,0.16572876274585724,0.0947067067027092
egg,0.11176135390996933,0.15144096314907074,0.18912272155284882,1.0,0.17291519045829773,0.09259287267923355,0.10452862083911896
stand,0.20620349049568176,0.21200180053710938,0.2531624138355255,0.08033064752817154,0.2038130760192871,0.15099500119686127,0.14369045197963715
on,0.2340552806854248,0.21315687894821167,0.5107308030128479,0.1716049313545227,0.3966929316520691,0.16460254788398743,0.2714994251728058
end,0.15423893928527832,0.08606230467557907,0.39658910036087036,0.10682783275842667,0.2215006798505783,0.13629379868507385,0.12543344497680664
using,0.24094825983047485,0.28112268447875977,0.28364112973213196,0.18561694025993347,0.24298200011253357,0.09422128647565842,0.2804589569568634
a,0.36608949303627014,0.22847095131874084,0.5829201340675354,0.21959127485752106,0.5052502155303955,0.16265426576137543,0.23916715383529663
device,0.21790750324726105,0.1973094642162323,0.2555081248283386,0.18980444967746735,0.17168864607810974,0.11110188812017441,0.09819377958774567
he,0.5500732064247131,0.19757512211799622,0.4571082592010498,0.13559721410274506,0.38706058263778687,0.27689626812934875,0.2089974731206894
constructed,0.15121853351593018,0.20766597986221313,0.29105475544929504,0.07505854964256287,0.2552719712257385,0.14843818545341492,0.12459525465965271
known,0.24757125973701477,0.20630156993865967,0.3624623417854309,0.13617338240146637,0.35814476013183594,0.15854330360889435,0.18314571678638458
as,0.3923053741455078,0.23467950522899628,0.48381632566452026,0.17585095763206482,0.3886612355709076,0.12528201937675476,0.27043893933296204
the,0.3733934462070465,0.2412586510181427,1.0,0.18912272155284882,0.733189046382904,0.2655775547027588,0.22068053483963013
egg,0.11176135390996933,0.15144096314907074,0.18912272155284882,1.0,0.17291519045829773,0.09259287267923355,0.10452862083911896
of,0.2827862501144409,0.21852713823318481,0.733189046382904,0.17291519045829773,1.0,0.14879509806632996,0.1826142966747284
columbus,0.2521195411682129,0.11200591921806335,0.2655775547027588,0.09259287267923355,0.14879509806632996,1.0,0.06522880494594574
.,0.3541337847709656,0.20781585574150085,0.5934505462646484,0.24065689742565155,0.5352458953857422,0.21246269345283508,0.4130953550338745
