,how,much,had,westinghouse,paid,to,tesla,",",brown,and,peck,?
to,0.44169697165489197,0.40610215067863464,0.37984350323677063,0.22176946699619293,0.2345556914806366,1.0,0.17548894882202148,0.44245919585227966,0.20498941838741302,0.48971283435821533,0.19434410333633423,0.29463258385658264
secure,0.13497932255268097,0.22136448323726654,0.2419574111700058,0.22157326340675354,0.278934508562088,0.3605278432369232,0.09469346702098846,0.14117449522018433,0.10360834747552872,0.23631824553012848,0.1524534970521927,0.1604752093553543
further,0.3163740038871765,0.32079142332077026,0.24274107813835144,0.1388547718524933,0.14367307722568512,0.4001762866973877,0.12437186390161514,0.2694096863269806,0.13035708665847778,0.3426179587841034,0.08801863342523575,0.20960763096809387
loans,0.1786792278289795,0.30969342589378357,0.2044299840927124,0.20483121275901794,0.4366762340068817,0.2571730613708496,0.17635414004325867,0.1990378201007843,0.0907888188958168,0.2448335736989975,0.02672550641000271,0.17645451426506042
",",0.22659391164779663,0.36182254552841187,0.35487717390060425,0.277236670255661,0.18092423677444458,0.44245919585227966,0.20599327981472015,1.0000001192092896,0.2983597218990326,0.6633074283599854,0.26360607147216797,0.31091248989105225
westinghouse,0.1836739182472229,0.1912594586610794,0.2198336273431778,0.9999999403953552,0.2002279907464981,0.22176946699619293,0.35764777660369873,0.277236670255661,0.23409830033779144,0.2865493595600128,0.29347383975982666,0.17307911813259125
was,0.16678167879581451,0.2580166161060333,0.5927209258079529,0.30702054500579834,0.29885348677635193,0.3636345863342285,0.16455206274986267,0.45456063747406006,0.1727168709039688,0.3740963041782379,0.2587347626686096,0.18412111699581146
forced,0.23831938207149506,0.231364443898201,0.3529525697231293,0.13390809297561646,0.3810107707977295,0.3537954092025757,0.07736244797706604,0.2527396082878113,0.09767819941043854,0.28385210037231445,0.1731726974248886,0.17547516524791718
to,0.44169697165489197,0.40610215067863464,0.37984350323677063,0.22176946699619293,0.2345556914806366,1.0,0.17548894882202148,0.44245919585227966,0.20498941838741302,0.48971283435821533,0.19434410333633423,0.29463258385658264
revisit,0.25605812668800354,0.28518369793891907,0.20232537388801575,0.10393679887056351,0.21564270555973053,0.2864578366279602,0.11230204254388809,0.22629523277282715,0.1174929216504097,0.18031473457813263,0.2088518589735031,0.308557391166687
tesla,0.19128404557704926,0.20609156787395477,0.12050733715295792,0.35764777660369873,0.17706304788589478,0.17548894882202148,0.9999999403953552,0.20599327981472015,0.07134627550840378,0.19560420513153076,0.09895811975002289,0.10250775516033173
's,-0.026164190843701363,0.06731651723384857,-0.004401352722197771,-0.008012998849153519,0.09320768713951111,0.03782717138528824,0.06449045985937119,-0.0016132977325469255,0.0031092315912246704,0.06895173341035843,-0.07934148609638214,-0.023395681753754616
ac,0.11219378560781479,0.12022420018911362,0.09857317060232162,0.2760004699230194,0.11663100868463516,0.13302072882652283,0.31766265630722046,0.1705707460641861,0.055853039026260376,0.08613406121730804,0.047738898545503616,0.19071458280086517
patent,0.19871893525123596,0.17990490794181824,0.1199074536561966,0.3248586356639862,0.23027828335762024,0.2357501983642578,0.3651154637336731,0.20812061429023743,0.09603869915008545,0.13321366906166077,0.1770525425672531,0.13298413157463074
