,what,association,did,tesla,demonstrate,his,radio,wave,theories,to,?
tesla,0.23221199214458466,0.03720048442482948,0.09757418930530548,0.9999999403953552,0.30971378087997437,0.1580733060836792,0.2212681919336319,0.18303613364696503,0.23655711114406586,0.17548894882202148,0.10250775516033173
's,0.02692362666130066,-0.019603094086050987,0.05069678649306297,0.06449045985937119,-0.032526928931474686,0.047556519508361816,0.13450658321380615,0.004561342764645815,0.01589547097682953,0.03782717138528824,-0.023395681753754616
theories,0.3363492488861084,0.1492099165916443,0.23958267271518707,0.23655711114406586,0.24543015658855438,0.285927951335907,0.10853037983179092,0.21103139221668243,1.0000001192092896,0.21480143070220947,0.21320602297782898
on,0.34226128458976746,0.12186131626367569,0.2670976221561432,0.16159376502037048,0.22929427027702332,0.32064297795295715,0.2590620815753937,0.2248964011669159,0.1634472757577896,0.41031414270401,0.2714994251728058
the,0.42745697498321533,0.26550325751304626,0.34736719727516174,0.1324402391910553,0.2374596893787384,0.4394008219242096,0.23511973023414612,0.23117129504680634,0.24012529850006104,0.535392165184021,0.22068053483963013
possibility,0.3108116388320923,0.1470034420490265,0.28292912244796753,0.18081195652484894,0.32642504572868347,0.21207965910434723,0.16023065149784088,0.26908937096595764,0.3823794424533844,0.32518115639686584,0.2723599076271057
of,0.33290785551071167,0.2501356303691864,0.2513895630836487,0.18837453424930573,0.2098890244960785,0.38364991545677185,0.16079017519950867,0.2050720453262329,0.25074607133865356,0.41548454761505127,0.1826142966747284
the,0.42745697498321533,0.26550325751304626,0.34736719727516174,0.1324402391910553,0.2374596893787384,0.4394008219242096,0.23511973023414612,0.23117129504680634,0.24012529850006104,0.535392165184021,0.22068053483963013
transmission,0.21502315998077393,0.18908412754535675,0.09576284140348434,0.32000529766082764,0.24991877377033234,0.15175944566726685,0.35356295108795166,0.32789528369903564,0.19475984573364258,0.22681647539138794,0.16372337937355042
by,0.2455483376979828,0.17459174990653992,0.18574509024620056,0.16513796150684357,0.1858205795288086,0.3107621967792511,0.1833777278661728,0.15963463485240936,0.16986516118049622,0.33534231781959534,0.17966607213020325
radio,0.16863368451595306,0.14591112732887268,0.16486462950706482,0.2212681919336319,0.12009771168231964,0.2184859812259674,0.9999999403953552,0.3245258331298828,0.10853037983179092,0.16918617486953735,0.08763375133275986
waves,0.2342342883348465,0.0890241265296936,0.21477559208869934,0.17720945179462433,0.1707558035850525,0.13128536939620972,0.4069572985172272,0.7561696171760559,0.2582554817199707,0.2522522211074829,0.1603909134864807
go,0.35329025983810425,0.08766251802444458,0.2978402376174927,0.07152407616376877,0.19704410433769226,0.2329278290271759,0.13214890658855438,0.10275804996490479,0.12327998131513596,0.384844571352005,0.25942572951316833
back,0.2965294420719147,0.16108669340610504,0.2601068317890167,0.09240715950727463,0.19016535580158234,0.3421434462070465,0.10764215886592865,0.1888839453458786,0.1687738448381424,0.4675939381122589,0.2397768795490265
as,0.31749409437179565,0.19875364005565643,0.3596470057964325,0.10285310447216034,0.21452917158603668,0.3146366477012634,0.18667691946029663,0.18806561827659607,0.20168812572956085,0.42092081904411316,0.27043893933296204
far,0.34794166684150696,0.11436941474676132,0.2696933448314667,0.06658289581537247,0.20393601059913635,0.21750454604625702,0.14843925833702087,0.22408096492290497,0.215455561876297,0.3375735878944397,0.2170870453119278
as,0.31749409437179565,0.19875364005565643,0.3596470057964325,0.10285310447216034,0.21452917158603668,0.3146366477012634,0.18667691946029663,0.18806561827659607,0.20168812572956085,0.42092081904411316,0.27043893933296204
lectures,0.16927680373191833,0.17006146907806396,0.13526086509227753,0.18384160101413727,0.20797687768936157,0.2669766843318939,0.28280502557754517,0.14363251626491547,0.3307057023048401,0.1824266016483307,0.08656831085681915
and,0.31309178471565247,0.22647784650325775,0.34479495882987976,0.19560420513153076,0.22373680770397186,0.4234102666378021,0.2658638060092926,0.21877773106098175,0.2395821362733841,0.48971283435821533,0.20544172823429108
demonstrations,0.17201164364814758,0.17242026329040527,0.2054494321346283,0.31990721821784973,0.7809244394302368,0.2440548539161682,0.15999719500541687,0.18412655591964722,0.2957195043563843,0.23667319118976593,0.13306647539138794
in,0.30808621644973755,0.23660005629062653,0.2593238651752472,0.17097744345664978,0.24932757019996643,0.3598145842552185,0.22625693678855896,0.21569965779781342,0.1867285519838333,0.45010748505592346,0.20430970191955566
