,how,far,did,he,claim,the,mechanical,energy,could,be,transmitted,?
in,0.2601168751716614,0.2599720060825348,0.2593238651752472,0.41690486669540405,0.16881313920021057,0.6662389636039734,0.22276797890663147,0.17693158984184265,0.29357993602752686,0.3481820821762085,0.1705920398235321,0.20430970191955566
1935,0.07172827422618866,0.12058927118778229,-0.09156817942857742,-0.04598342254757881,-0.0012932192767038941,-0.008596410043537617,0.04397236928343773,0.045968957245349884,0.03927081450819969,-0.013213926926255226,0.004587066359817982,0.11409125477075577
",",0.22659391164779663,0.346853643655777,0.3015086054801941,0.40251094102859497,0.2664267122745514,0.4933079481124878,0.21404018998146057,0.21156731247901917,0.27399855852127075,0.39254459738731384,0.2063266634941101,0.31091248989105225
in,0.2601168751716614,0.2599720060825348,0.2593238651752472,0.41690486669540405,0.16881313920021057,0.6662389636039734,0.22276797890663147,0.17693158984184265,0.29357993602752686,0.3481820821762085,0.1705920398235321,0.20430970191955566
an,0.2520636022090912,0.17961110174655914,0.22598257660865784,0.281929612159729,0.1815912276506424,0.4207492768764496,0.2723167836666107,0.22262732684612274,0.24300263822078705,0.33041056990623474,0.19277285039424896,0.19793890416622162
annual,0.1884455680847168,0.07532167434692383,0.13183704018592834,0.14458216726779938,0.06841485947370529,0.2958983778953552,0.13435004651546478,0.14291127026081085,0.16816112399101257,0.1261848360300064,0.14176233112812042,0.1083487942814827
birthday,0.2049214094877243,0.06250122934579849,0.2158898115158081,0.2747727334499359,0.10691158473491669,0.1861504316329956,0.09989892691373825,0.051147446036338806,0.09746832400560379,0.16428391635417938,0.13585148751735687,0.22143252193927765
celebration,0.1845521479845047,0.09891172498464584,0.17503295838832855,0.21668241918087006,0.1299685388803482,0.30612465739250183,0.05919148400425911,0.08638123422861099,0.1255345344543457,0.1510917842388153,0.1160893365740776,0.1872778683900833
interview,0.18148818612098694,0.05448262393474579,0.24580758810043335,0.1761155128479004,0.14025834202766418,0.1324702501296997,0.061215840280056,0.09182335436344147,0.15325717628002167,0.1067219153046608,0.1755714863538742,0.21284115314483643
",",0.22659391164779663,0.346853643655777,0.3015086054801941,0.40251094102859497,0.2664267122745514,0.4933079481124878,0.21404018998146057,0.21156731247901917,0.27399855852127075,0.39254459738731384,0.2063266634941101,0.31091248989105225
tesla,0.19128404557704926,0.06658289581537247,0.09757418930530548,0.12373391538858414,0.14329524338245392,0.1324402391910553,0.399202823638916,0.28722304105758667,0.16634690761566162,0.15180771052837372,0.1897495687007904,0.10250775516033173
announced,0.0913727879524231,0.09045949578285217,0.2690480351448059,0.24487492442131042,0.23073650896549225,0.2277132272720337,0.08909250050783157,0.1448427438735962,0.23471690714359283,0.18421369791030884,0.0946946069598198,0.17416009306907654
a,0.29312583804130554,0.21638330817222595,0.2552328109741211,0.4393508732318878,0.19074557721614838,0.5829201340675354,0.3179347515106201,0.21513298153877258,0.3736826181411743,0.39883795380592346,0.2326798290014267,0.23916715383529663
method,0.3021480143070221,0.12399225682020187,0.21537424623966217,0.12526355683803558,0.20876219868659973,0.21624743938446045,0.35944563150405884,0.24453726410865784,0.23463889956474304,0.22966717183589935,0.29602429270744324,0.2194802314043045
of,0.2480744868516922,0.3005201518535614,0.2513895630836487,0.38706058263778687,0.2833690047264099,0.733189046382904,0.3339124023914337,0.26257598400115967,0.29043012857437134,0.33904364705085754,0.22560763359069824,0.1826142966747284
transmitting,0.30644118785858154,0.1973561942577362,0.12921853363513947,0.12878847122192383,0.09665720909833908,0.28402256965637207,0.347860723733902,0.30728867650032043,0.2628715932369232,0.29162707924842834,0.9099240303039551,0.16731256246566772
mechanical,0.2613019049167633,0.13198596239089966,0.13345296680927277,0.23722536861896515,0.10869528353214264,0.2918589413166046,1.0000001192092896,0.40101107954978943,0.24190126359462738,0.25370803475379944,0.3026317358016968,0.10079140216112137
energy,0.24522052705287933,0.2384813278913498,0.14123573899269104,0.19338715076446533,0.13286493718624115,0.26756542921066284,0.40101107954978943,1.0000001192092896,0.19846777617931366,0.2677359879016876,0.2662041485309601,0.14860127866268158
with,0.3525622487068176,0.2511198818683624,0.25472134351730347,0.2845253646373749,0.16929714381694794,0.4223487675189972,0.20922724902629852,0.19224508106708527,0.32055896520614624,0.36101722717285156,0.20164653658866882,0.2433311939239502
minimal,0.20995670557022095,0.21332615613937378,0.26893505454063416,0.1416061371564865,0.27403250336647034,0.21733646094799042,0.27239423990249634,0.25504231452941895,0.3062979578971863,0.29716527462005615,0.15434329211711884,0.19599555432796478
loss,0.2624443769454956,0.19598129391670227,0.17676638066768646,0.1636691391468048,0.17420369386672974,0.27898719906806946,0.17535169422626495,0.1904676854610443,0.2578759789466858,0.18728984892368317,0.21236369013786316,0.1312553584575653
over,0.31446483731269836,0.3616233766078949,0.2535076439380646,0.28867611289024353,0.2894458770751953,0.39856547117233276,0.18455329537391663,0.20892423391342163,0.3118501901626587,0.27136483788490295,0.2331334352493286,0.25742942094802856
any,0.38858675956726074,0.34099945425987244,0.37563082575798035,0.24951131641864777,0.34857285022735596,0.4525727927684784,0.2834550738334656,0.27518200874328613,0.47830522060394287,0.5107080936431885,0.3038014769554138,0.4113408327102661
terrestrial,0.12750597298145294,0.24174700677394867,0.08567497134208679,0.12919168174266815,0.18089190125465393,0.26007309556007385,0.2591663897037506,0.24824954569339752,0.17690806090831757,0.22744520008563995,0.2718871235847473,0.09166651964187622
distance,0.22481301426887512,0.3987521827220917,0.11195807158946991,0.1795598715543747,0.07040930539369583,0.26146480441093445,0.19650354981422424,0.26984235644340515,0.24223415553569794,0.22311455011367798,0.2804698050022125,0.05407539755105972
",",0.22659391164779663,0.346853643655777,0.3015086054801941,0.40251094102859497,0.2664267122745514,0.4933079481124878,0.21404018998146057,0.21156731247901917,0.27399855852127075,0.39254459738731384,0.2063266634941101,0.31091248989105225
a,0.29312583804130554,0.21638330817222595,0.2552328109741211,0.4393508732318878,0.19074557721614838,0.5829201340675354,0.3179347515106201,0.21513298153877258,0.3736826181411743,0.39883795380592346,0.2326798290014267,0.23916715383529663
related,0.2974514663219452,0.13597889244556427,0.20720073580741882,0.14400747418403625,0.18120113015174866,0.26962998509407043,0.17894451320171356,0.16752517223358154,0.18603157997131348,0.24775327742099762,0.24665050208568573,0.17689068615436554
new,0.20832711458206177,0.21050110459327698,0.227974995970726,0.2739552855491638,0.1320084035396576,0.3845241069793701,0.2019670158624649,0.1732959896326065,0.2219955027103424,0.22046978771686554,0.12925702333450317,0.14782847464084625
means,0.27608850598335266,0.19536201655864716,0.16748420894145966,0.21325388550758362,0.17802779376506805,0.32225894927978516,0.19246451556682587,0.29970797896385193,0.31422117352485657,0.33581557869911194,0.2821192145347595,0.21233566105365753
of,0.2480744868516922,0.3005201518535614,0.2513895630836487,0.38706058263778687,0.2833690047264099,0.733189046382904,0.3339124023914337,0.26257598400115967,0.29043012857437134,0.33904364705085754,0.22560763359069824,0.1826142966747284
