,what,ground,based,group,did,tesla,think,the,weapon,could,be,used,on,?
tesla,0.23221199214458466,0.11149320751428604,0.1270550787448883,0.056512970477342606,0.09757418930530548,0.9999999403953552,0.1975572109222412,0.1324402391910553,0.2157144993543625,0.16634690761566162,0.15180771052837372,0.226042702794075,0.16159376502037048,0.10250775516033173
described,0.22590412199497223,0.1464150846004486,0.21262148022651672,0.16434286534786224,0.23657096922397614,0.06866312026977539,0.2671949565410614,0.2878154516220093,0.1703224927186966,0.1540316343307495,0.30553197860717773,0.3386477828025818,0.14733895659446716,0.1374269425868988
the,0.42745697498321533,0.25776049494743347,0.29860720038414,0.30795547366142273,0.34736719727516174,0.1324402391910553,0.3102172613143921,1.0,0.23810851573944092,0.35393214225769043,0.4248143136501312,0.3718377649784088,0.5107308030128479,0.22068053483963013
weapon,0.2293834388256073,0.2428433895111084,0.12462189793586731,0.1308458149433136,0.26148879528045654,0.2157144993543625,0.2547694444656372,0.23810851573944092,1.0,0.30689820647239685,0.22090473771095276,0.34282970428466797,0.15836651623249054,0.1571889966726303
as,0.31749409437179565,0.20044904947280884,0.2264380156993866,0.2519444227218628,0.3596470057964325,0.10285310447216034,0.3555661737918854,0.48381632566452026,0.24591055512428284,0.32771480083465576,0.5230465531349182,0.35160550475120544,0.36047765612602234,0.27043893933296204
capable,0.24030843377113342,0.2758842706680298,0.19883696734905243,0.16336563229560852,0.1266767978668213,0.22940926253795624,0.30176156759262085,0.18860051035881042,0.2523433566093445,0.3150847852230072,0.2964368164539337,0.27718639373779297,0.17904417216777802,0.18388573825359344
of,0.33290785551071167,0.22660790383815765,0.3033197224140167,0.25542253255844116,0.2513895630836487,0.18837453424930573,0.2625778615474701,0.733189046382904,0.16065262258052826,0.29043012857437134,0.33904364705085754,0.3075267970561981,0.3966929316520691,0.1826142966747284
being,0.3760843276977539,0.23358313739299774,0.22799472510814667,0.23862861096858978,0.27905046939849854,0.13586261868476868,0.39622941613197327,0.419739305973053,0.19939804077148438,0.40033626556396484,0.5586286783218384,0.26295366883277893,0.3119087219238281,0.26743772625923157
used,0.27546408772468567,0.25505372881889343,0.3212050795555115,0.19797518849372864,0.30443844199180603,0.226042702794075,0.3013586103916168,0.3718377649784088,0.34282970428466797,0.3978976011276245,0.3731876611709595,0.9999998807907104,0.24785758554935455,0.22430120408535004
against,0.24561616778373718,0.21474522352218628,0.22916865348815918,0.2582053244113922,0.22514554858207703,0.09138211607933044,0.23559826612472534,0.3090755045413971,0.274715393781662,0.23186609148979187,0.18640132248401642,0.16741667687892914,0.3163113296031952,0.18095137178897858
ground-based,0.2882377803325653,0.7443704605102539,0.611103892326355,0.2570553421974182,0.19765567779541016,0.16706213355064392,0.2457948625087738,0.3268333375453949,0.170588880777359,0.24581857025623322,0.29621419310569763,0.3250068426132202,0.369279146194458,0.18774951994419098
infantry,0.1881944090127945,0.196581169962883,0.15244132280349731,0.16599421203136444,0.1351725161075592,0.22282911837100983,0.21632780134677887,0.2044236660003662,0.363403856754303,0.2060888260602951,0.13844262063503265,0.18602296710014343,0.16012005507946014,0.1511765420436859
or,0.33867141604423523,0.2636435925960541,0.24218778312206268,0.30503612756729126,0.28211739659309387,0.1529218554496765,0.3291764259338379,0.4174870550632477,0.18494582176208496,0.4357736110687256,0.5260903835296631,0.4951852560043335,0.2897229492664337,0.32389625906944275
for,0.3017193675041199,0.22705493867397308,0.2761107087135315,0.24519909918308258,0.318512886762619,0.13983871042728424,0.35838815569877625,0.4739971458911896,0.20061928033828735,0.3405117690563202,0.3801851272583008,0.4236139953136444,0.36199691891670227,0.264628142118454
anti-aircraft,0.20661944150924683,0.3388659954071045,0.1942596733570099,0.1366163194179535,0.1692732870578766,0.3029276728630066,0.239334374666214,0.26266059279441833,0.46767741441726685,0.281366229057312,0.2458512783050537,0.3011990189552307,0.23386986553668976,0.19863799214363098
purposes,0.2370537966489792,0.2571353316307068,0.2510605752468109,0.15036608278751373,0.21380692720413208,0.22527077794075012,0.2739942669868469,0.27476897835731506,0.2540087103843689,0.33215633034706116,0.31481555104255676,0.5354071855545044,0.254168301820755,0.15262550115585327
.,0.3567904531955719,0.23109398782253265,0.29699069261550903,0.27268800139427185,0.35288307070732117,0.17949827015399933,0.31119775772094727,0.5934505462646484,0.1875409632921219,0.3200591504573822,0.4383580684661865,0.33111312985420227,0.49257001280784607,0.4130953550338745
