,what,did,he,find,that,could,constitute,a,hazard,?
after,0.21973377466201782,0.30330467224121094,0.3936046361923218,0.20006686449050903,0.373811811208725,0.28948622941970825,0.126522034406662,0.3831600844860077,0.10519776493310928,0.16608688235282898
a,0.3320399522781372,0.2552328109741211,0.4393508732318878,0.2540014088153839,0.47537946701049805,0.3736826181411743,0.21458278596401215,1.0,0.24190416932106018,0.23916715383529663
three-day,0.29851236939430237,0.26837158203125,0.2953709363937378,0.2019725739955902,0.42498141527175903,0.3139858841896057,0.15772931277751923,0.31369325518608093,0.15364830195903778,0.2214307188987732
investigation,0.2361239343881607,0.21193689107894897,0.2617078125476837,0.2885579466819763,0.31659188866615295,0.2230277806520462,0.2440708875656128,0.24633555114269257,0.24658671021461487,0.1558016687631607
",",0.3087472915649414,0.3015086054801941,0.40251094102859497,0.27622509002685547,0.4137537479400635,0.27399855852127075,0.30531802773475647,0.427140474319458,0.24264228343963623,0.31091248989105225
trump,0.17830756306648254,0.16435478627681732,0.2608337700366974,0.1618940234184265,0.19953931868076324,0.18302932381629944,0.11271332949399948,0.20652100443840027,0.19397695362567902,0.22097910940647125
's,0.02692362666130066,0.05069678649306297,0.024063590914011,0.08746320754289627,0.04397977516055107,0.02905246801674366,-0.01858563721179962,0.04866964742541313,0.00162893149536103,-0.023395681753754616
report,0.2868559956550598,0.2986995279788971,0.20774489641189575,0.1955365091562271,0.30103304982185364,0.20772035419940948,0.31300607323646545,0.2148611694574356,0.2786281704902649,0.3138936758041382
concluded,0.29084116220474243,0.34469136595726013,0.18438760936260223,0.21893210709095,0.376585453748703,0.29787468910217285,0.2537974715232849,0.24187614023685455,0.11465852707624435,0.13595789670944214
that,0.6297725439071655,0.47518548369407654,0.36068853735923767,0.38642045855522156,1.0,0.5584503412246704,0.31832167506217957,0.47537946701049805,0.20163004100322723,0.32716336846351624
there,0.35085538029670715,0.29736605286598206,0.29805925488471985,0.3190046548843384,0.6006520986557007,0.3730776607990265,0.2934984564781189,0.4214206337928772,0.2562953233718872,0.29405656456947327
was,0.22111038863658905,0.41399896144866943,0.5410010814666748,0.1268022209405899,0.33670201897621155,0.39896807074546814,0.2164880484342575,0.4508470594882965,0.12109335511922836,0.18412111699581146
nothing,0.5522216558456421,0.36513790488243103,0.3011282980442047,0.3794080317020416,0.557791531085968,0.38272207975387573,0.2624422013759613,0.2923998534679413,0.15848249197006226,0.4541490972042084
which,0.5261979103088379,0.2750149369239807,0.3415409028530121,0.24280805885791779,0.6894589066505432,0.3928161859512329,0.3200324773788452,0.56894451379776,0.18504565954208374,0.25814583897590637
would,0.45766422152519226,0.6268245577812195,0.27278512716293335,0.3610367774963379,0.5895259380340576,0.8068214654922485,0.2572585642337799,0.398599237203598,0.15092505514621735,0.37178951501846313
constitute,0.30935925245285034,0.20476485788822174,0.1988438367843628,0.16652216017246246,0.31832167506217957,0.22869527339935303,0.9999998807907104,0.21458278596401215,0.11899801343679428,0.23319922387599945
a,0.3320399522781372,0.2552328109741211,0.4393508732318878,0.2540014088153839,0.47537946701049805,0.3736826181411743,0.21458278596401215,1.0,0.24190416932106018,0.23916715383529663
hazard,0.20051850378513336,0.15548062324523926,0.15201465785503387,0.20626913011074066,0.20163004100322723,0.19500930607318878,0.11899801343679428,0.24190416932106018,1.0,0.2433595359325409
in,0.30808621644973755,0.2593238651752472,0.41690486669540405,0.2040027230978012,0.435920387506485,0.29357993602752686,0.2821226418018341,0.539380669593811,0.17758767306804657,0.20430970191955566
unfriendly,0.38964560627937317,0.25165265798568726,0.2522389888763428,0.29555627703666687,0.3568218946456909,0.2768312096595764,0.24939464032649994,0.23900969326496124,0.22857756912708282,0.3170534074306488
hands,0.18854674696922302,0.23302681744098663,0.2680021822452545,0.10312055796384811,0.2700674831867218,0.29279467463493347,0.036295898258686066,0.22827254235744476,0.0944395437836647,0.18784376978874207
",",0.3087472915649414,0.3015086054801941,0.40251094102859497,0.27622509002685547,0.4137537479400635,0.27399855852127075,0.30531802773475647,0.427140474319458,0.24264228343963623,0.31091248989105225
stating,0.40046313405036926,0.3425213694572449,0.27802133560180664,0.27706748247146606,0.5016685724258423,0.3195772171020508,0.23808476328849792,0.303911030292511,0.26123756170272827,0.2760101556777954
:,-0.12022944539785385,-0.05305134505033493,0.13130375742912292,-0.16614890098571777,-0.12200210988521576,-0.10395435243844986,-0.07323940098285675,-0.0007584693375974894,-0.12315016239881516,-0.07156077772378922
