,when,are,the,ashes,now,?
the,0.5091903209686279,0.40399202704429626,1.0,0.2695733308792114,0.38266420364379883,0.22068053483963013
ashes,0.22392654418945312,0.2036169320344925,0.2695733308792114,0.9999999403953552,0.10693351179361343,0.18550114333629608
are,0.29873907566070557,1.0,0.40399202704429626,0.2036169320344925,0.3292219042778015,0.24591213464736938
displayed,0.1827479749917984,0.217000812292099,0.2887660264968872,0.1419246941804886,0.23419924080371857,0.20322057604789734
in,0.4431333839893341,0.3841303884983063,0.6662389636039734,0.2059040516614914,0.3619694113731384,0.20430970191955566
a,0.44397395849227905,0.265255331993103,0.5829201340675354,0.16845478117465973,0.3046339154243469,0.23916715383529663
gold-plated,0.38261300325393677,0.25853195786476135,0.3553030788898468,0.2914575934410095,0.264766663312912,0.30139079689979553
sphere,0.18791133165359497,0.21725031733512878,0.2243712842464447,0.14117221534252167,0.16560937464237213,0.10906767100095749
on,0.37706470489501953,0.268924742937088,0.5107308030128479,0.22384047508239746,0.2978019714355469,0.2714994251728058
a,0.44397395849227905,0.265255331993103,0.5829201340675354,0.16845478117465973,0.3046339154243469,0.23916715383529663
marble,0.16292154788970947,0.23000675439834595,0.20984917879104614,0.27009063959121704,0.21991921961307526,0.1785782128572464
pedestal,0.14284615218639374,0.139918252825737,0.2640487551689148,0.1459694504737854,0.2524099349975586,0.18485505878925323
in,0.4431333839893341,0.3841303884983063,0.6662389636039734,0.2059040516614914,0.3619694113731384,0.20430970191955566
the,0.5091903209686279,0.40399202704429626,1.0,0.2695733308792114,0.38266420364379883,0.22068053483963013
nikola,0.14777304232120514,0.05733729526400566,0.1146918535232544,0.08158104121685028,0.10912543535232544,0.06297405064105988
tesla,0.1504557579755783,0.11131513863801956,0.1324402391910553,0.016966991126537323,0.26316559314727783,0.10250775516033173
museum,0.12185179442167282,0.12469582259654999,0.24861779808998108,0.19395528733730316,0.2699044942855835,0.14128351211547852
.,0.475719153881073,0.3452940285205841,0.5934505462646484,0.24438932538032532,0.36271902918815613,0.4130953550338745
