,to,what,place,did,he,bring,the,injured,pigeons,to,take,care,of,them,?
near,0.2456841915845871,0.19414293766021729,0.3341076672077179,0.08748484402894974,0.14969274401664734,0.09658464044332504,0.2879819869995117,0.1879606395959854,0.1856183260679245,0.2456841915845871,0.15689784288406372,0.09345786273479462,0.2651676535606384,0.1356281191110611,0.10734958201646805
the,0.535392165184021,0.42745697498321533,0.4179787337779999,0.34736719727516174,0.4571082592010498,0.31620702147483826,1.0,0.22383859753608704,0.2509253919124603,0.535392165184021,0.31620436906814575,0.1663842648267746,0.733189046382904,0.4788833558559418,0.22068053483963013
end,0.3229445815086365,0.29234179854393005,0.27271878719329834,0.18808481097221375,0.25187915563583374,0.2496369630098343,0.39658910036087036,0.22946976125240326,0.1610088050365448,0.3229445815086365,0.23945344984531403,0.11850973963737488,0.2215006798505783,0.28452369570732117,0.12543344497680664
of,0.41548454761505127,0.33290785551071167,0.2685627043247223,0.2513895630836487,0.38706058263778687,0.300091028213501,0.733189046382904,0.19345925748348236,0.20012632012367249,0.41548454761505127,0.29282352328300476,0.20533065497875214,1.0,0.34503093361854553,0.1826142966747284
his,0.3715193271636963,0.26976513862609863,0.2274911254644394,0.3546801507472992,0.7171558737754822,0.2487352043390274,0.4394008219242096,0.2609750032424927,0.19481702148914337,0.3715193271636963,0.24483558535575867,0.2713627815246582,0.38364991545677185,0.4171713590621948,0.18075084686279297
life,0.24560359120368958,0.24693015217781067,0.195503830909729,0.22298283874988556,0.2685181796550751,0.19197851419448853,0.23528170585632324,0.11127305030822754,0.1353931725025177,0.24560359120368958,0.1845618486404419,0.30582278966903687,0.2788603901863098,0.240503191947937,0.21677987277507782
",",0.44245919585227966,0.3087472915649414,0.34068408608436584,0.3015086054801941,0.40251094102859497,0.2407366931438446,0.4933079481124878,0.20513707399368286,0.20054179430007935,0.44245919585227966,0.2881867289543152,0.25498491525650024,0.4946078956127167,0.3985835015773773,0.31091248989105225
tesla,0.17548894882202148,0.23221199214458466,0.10752473026514053,0.09757418930530548,0.12373391538858414,0.10766134411096573,0.1324402391910553,0.12049445509910583,0.05046173930168152,0.17548894882202148,0.11447508633136749,0.1526278853416443,0.18837453424930573,0.13284409046173096,0.10250775516033173
walked,0.21926701068878174,0.19194380939006805,0.17431461811065674,0.3070957660675049,0.27842721343040466,0.291459858417511,0.23279288411140442,0.2870195806026459,0.23871301114559174,0.21926701068878174,0.21584652364253998,0.17789898812770844,0.21373257040977478,0.2520647943019867,0.12153727561235428
to,1.0,0.455847829580307,0.3346366882324219,0.4452643394470215,0.385390967130661,0.4213464558124542,0.535392165184021,0.1990538239479065,0.23256446421146393,1.0,0.4075521230697632,0.27786314487457275,0.41548454761505127,0.5916602611541748,0.29463258385658264
the,0.535392165184021,0.42745697498321533,0.4179787337779999,0.34736719727516174,0.4571082592010498,0.31620702147483826,1.0,0.22383859753608704,0.2509253919124603,0.535392165184021,0.31620436906814575,0.1663842648267746,0.733189046382904,0.4788833558559418,0.22068053483963013
park,0.14257338643074036,0.13500720262527466,0.2593904137611389,0.12431816756725311,0.22067975997924805,0.06073120981454849,0.24748283624649048,0.18889304995536804,0.11908132582902908,0.14257338643074036,0.13230562210083008,0.1945071518421173,0.24561640620231628,0.12717469036579132,0.13508929312229156
every,0.3643300235271454,0.30284011363983154,0.272716224193573,0.21975891292095184,0.3009452223777771,0.26872050762176514,0.4023689329624176,0.17295442521572113,0.21485498547554016,0.3643300235271454,0.3831373453140259,0.24003775417804718,0.3414052724838257,0.31070202589035034,0.24066033959388733
day,0.21753256022930145,0.2990210950374603,0.23354797065258026,0.20275387167930603,0.2350211888551712,0.22621506452560425,0.3062323033809662,0.20488938689231873,0.14702901244163513,0.21753256022930145,0.23210129141807556,0.18416336178779602,0.2934032380580902,0.21931582689285278,0.2141837179660797
to,1.0,0.455847829580307,0.3346366882324219,0.4452643394470215,0.385390967130661,0.4213464558124542,0.535392165184021,0.1990538239479065,0.23256446421146393,1.0,0.4075521230697632,0.27786314487457275,0.41548454761505127,0.5916602611541748,0.29463258385658264
