,what,was,tesla,likely,to,do,with,his,work,?
tesla,0.23221199214458466,0.16455206274986267,0.9999999403953552,0.10612110793590546,0.17548894882202148,0.13880622386932373,0.16424812376499176,0.1580733060836792,0.2545209228992462,0.10250775516033173
was,0.22111038863658905,1.0000001192092896,0.16455206274986267,0.20650577545166016,0.3636345863342285,0.11523093283176422,0.27411898970603943,0.4405253231525421,0.24745555222034454,0.18412111699581146
asocial,0.3068597614765167,0.24192602932453156,0.19154883921146393,0.3380337655544281,0.31374529004096985,0.34869182109832764,0.32714349031448364,0.2379416674375534,0.3276173174381256,0.24693624675273895
and,0.31309178471565247,0.3740963041782379,0.19560420513153076,0.3069725036621094,0.48971283435821533,0.276123583316803,0.5477725267410278,0.4234102666378021,0.37551814317703247,0.20544172823429108
prone,0.19741255044937134,0.08593356609344482,0.08233387023210526,0.39232373237609863,0.25268682837486267,0.2848747968673706,0.2655157446861267,0.15231502056121826,0.18763487040996552,0.19483062624931335
to,0.455847829580307,0.3636345863342285,0.17548894882202148,0.41562584042549133,1.0,0.38876664638519287,0.4239959120750427,0.3715193271636963,0.3482864499092102,0.29463258385658264
seclude,0.26274290680885315,0.20008617639541626,0.017355265095829964,0.2925999164581299,0.3023519515991211,0.26686781644821167,0.2886607050895691,0.2744249701499939,0.2210531383752823,0.26638907194137573
himself,0.2431095689535141,0.34733298420906067,0.09692850708961487,0.1535111963748932,0.2758015990257263,0.1476246863603592,0.1506686955690384,0.5622478127479553,0.22450140118598938,0.10407622903585434
with,0.2464839518070221,0.27411898970603943,0.16424812376499176,0.2721078097820282,0.4239959120750427,0.23744353652000427,0.9999999403953552,0.33836179971694946,0.2649822533130646,0.2433311939239502
his,0.26976513862609863,0.4405253231525421,0.1580733060836792,0.19093771278858185,0.3715193271636963,0.15088757872581482,0.33836179971694946,0.9999998807907104,0.36648666858673096,0.18075084686279297
work,0.3762225806713104,0.24745555222034454,0.2545209228992462,0.21401672065258026,0.3482864499092102,0.3533625304698944,0.2649822533130646,0.36648666858673096,1.0,0.2621155381202698
.,0.3567904531955719,0.40146201848983765,0.17949827015399933,0.26822179555892944,0.4645031690597534,0.3613996207714081,0.4446153938770294,0.3119256794452667,0.33121398091316223,0.4130953550338745
