,what,term,did,he,use,for,what,he,believed,would,be,humanity,'s,future,rulers,?
in,0.30808621644973755,0.27866655588150024,0.2593238651752472,0.41690486669540405,0.2715643048286438,0.4322226941585541,0.30808621644973755,0.41690486669540405,0.2605416774749756,0.30461156368255615,0.3481820821762085,0.2599782347679138,-0.037580832839012146,0.15554536879062653,0.1818707138299942,0.20430970191955566
1926,0.06814581155776978,0.07389700412750244,0.0369836650788784,0.18209150433540344,0.005962667521089315,-0.0035080474335700274,0.06814581155776978,0.18209150433540344,0.06436072289943695,0.06228386610746384,0.007537820842117071,0.11477558314800262,0.024413850158452988,0.06356529891490936,0.08868992328643799,-0.04186006262898445
",",0.3087472915649414,0.21599270403385162,0.3015086054801941,0.40251094102859497,0.3276674151420593,0.4464869201183319,0.3087472915649414,0.40251094102859497,0.2386300414800644,0.32586824893951416,0.39254459738731384,0.21200887858867645,-0.0016132977325469255,0.2609160840511322,0.18867044150829315,0.31091248989105225
tesla,0.23221199214458466,0.13398443162441254,0.09757418930530548,0.12373391538858414,0.2487000823020935,0.13983871042728424,0.23221199214458466,0.12373391538858414,0.08292704075574875,0.14290116727352142,0.15180771052837372,0.1566413938999176,0.06449045985937119,0.12120185047388077,0.1986115425825119,0.10250775516033173
commented,0.32774242758750916,0.18184733390808105,0.3255138397216797,0.23653866350650787,0.18477970361709595,0.25835978984832764,0.32774242758750916,0.23653866350650787,0.3102574944496155,0.3471551239490509,0.3290037512779236,0.23896446824073792,0.016635943204164505,0.21692028641700745,0.1682603359222412,0.3367394208908081
on,0.34226128458976746,0.1491490602493286,0.2670976221561432,0.32403138279914856,0.2776605486869812,0.36199691891670227,0.34226128458976746,0.32403138279914856,0.18893791735172272,0.35589995980262756,0.37900757789611816,0.15774355828762054,0.0026888418942689896,0.15693047642707825,0.10634898394346237,0.2714994251728058
the,0.42745697498321533,0.2740369141101837,0.34736719727516174,0.4571082592010498,0.34342584013938904,0.4739971458911896,0.42745697498321533,0.4571082592010498,0.324635773897171,0.4133751392364502,0.4248143136501312,0.2643643915653229,-0.01540423184633255,0.2337762415409088,0.2895638644695282,0.22068053483963013
ills,0.17887263000011444,0.1999787837266922,0.1686141937971115,0.17959871888160706,0.2792198359966278,0.1927415132522583,0.17887263000011444,0.17959871888160706,0.1562437117099762,0.2695430517196655,0.27950519323349,0.1544141173362732,0.01972929760813713,0.16251347959041595,0.17229555547237396,0.14956198632717133
of,0.33290785551071167,0.26047757267951965,0.2513895630836487,0.38706058263778687,0.2750902473926544,0.4185989499092102,0.33290785551071167,0.38706058263778687,0.2945859134197235,0.3353942930698395,0.33904364705085754,0.25635257363319397,-0.03817026689648628,0.25455814599990845,0.3264967203140259,0.1826142966747284
the,0.42745697498321533,0.2740369141101837,0.34736719727516174,0.4571082592010498,0.34342584013938904,0.4739971458911896,0.42745697498321533,0.4571082592010498,0.324635773897171,0.4133751392364502,0.4248143136501312,0.2643643915653229,-0.01540423184633255,0.2337762415409088,0.2895638644695282,0.22068053483963013
social,0.22217629849910736,0.1878366321325302,0.1977856606245041,0.2222367823123932,0.13968472182750702,0.2460131198167801,0.22217629849910736,0.2222367823123932,0.19312137365341187,0.17745959758758545,0.1878766417503357,0.32299503684043884,0.030711397528648376,0.1765306293964386,0.2259877622127533,0.1615191102027893
subservience,0.4037094712257385,0.26894643902778625,0.29430466890335083,0.24381381273269653,0.3506702780723572,0.34897416830062866,0.4037094712257385,0.24381381273269653,0.2280951291322708,0.40014004707336426,0.3849821984767914,0.35245251655578613,-0.016376392915844917,0.3196718692779541,0.17335481941699982,0.32067832350730896
of,0.33290785551071167,0.26047757267951965,0.2513895630836487,0.38706058263778687,0.2750902473926544,0.4185989499092102,0.33290785551071167,0.38706058263778687,0.2945859134197235,0.3353942930698395,0.33904364705085754,0.25635257363319397,-0.03817026689648628,0.25455814599990845,0.3264967203140259,0.1826142966747284
women,0.14828920364379883,0.12409587949514389,0.24222777783870697,0.2777116000652313,0.19532392919063568,0.255394846200943,0.14828920364379883,0.2777116000652313,0.1634368747472763,0.20863938331604004,0.19141218066215515,0.1995588093996048,0.012937425635755062,0.10995982587337494,0.17208871245384216,0.1616753786802292
and,0.31309178471565247,0.22272127866744995,0.34479495882987976,0.45427167415618896,0.34145063161849976,0.5064792633056641,0.31309178471565247,0.45427167415618896,0.280531644821167,0.34921059012413025,0.41766801476478577,0.29617491364479065,0.06895173341035843,0.28619977831840515,0.26378893852233887,0.20544172823429108
the,0.42745697498321533,0.2740369141101837,0.34736719727516174,0.4571082592010498,0.34342584013938904,0.4739971458911896,0.42745697498321533,0.4571082592010498,0.324635773897171,0.4133751392364502,0.4248143136501312,0.2643643915653229,-0.01540423184633255,0.2337762415409088,0.2895638644695282,0.22068053483963013
struggle,0.23432134091854095,0.16596192121505737,0.21746955811977386,0.23973122239112854,0.20466506481170654,0.18982303142547607,0.23432134091854095,0.23973122239112854,0.2573055326938629,0.24444971978664398,0.20471467077732086,0.37333521246910095,0.04856010898947716,0.2151004523038864,0.3434161841869354,0.1330908089876175
of,0.33290785551071167,0.26047757267951965,0.2513895630836487,0.38706058263778687,0.2750902473926544,0.4185989499092102,0.33290785551071167,0.38706058263778687,0.2945859134197235,0.3353942930698395,0.33904364705085754,0.25635257363319397,-0.03817026689648628,0.25455814599990845,0.3264967203140259,0.1826142966747284
women,0.14828920364379883,0.12409587949514389,0.24222777783870697,0.2777116000652313,0.19532392919063568,0.255394846200943,0.14828920364379883,0.2777116000652313,0.1634368747472763,0.20863938331604004,0.19141218066215515,0.1995588093996048,0.012937425635755062,0.10995982587337494,0.17208871245384216,0.1616753786802292
toward,0.2619364559650421,0.18515536189079285,0.1586475372314453,0.20798923075199127,0.14399562776088715,0.22335384786128998,0.2619364559650421,0.20798923075199127,0.20893067121505737,0.2571980655193329,0.23769114911556244,0.2619701325893402,-0.009258270263671875,0.15092654526233673,0.039222996681928635,0.09989774227142334
gender,0.2898462414741516,0.2414013296365738,0.1813037395477295,0.1903381496667862,0.23609575629234314,0.24975889921188354,0.2898462414741516,0.1903381496667862,0.18976746499538422,0.2248656153678894,0.2560628652572632,0.37591809034347534,-0.06712488830089569,0.15076124668121338,0.14030799269676208,0.22791960835456848
