,because,of,certain,statements,what,was,the,believed,state,of,his,religious,views,?
however,0.6676258444786072,0.3800618350505829,0.5226150155067444,0.39455923438072205,0.4480680823326111,0.37327632308006287,0.49814513325691223,0.45400577783584595,0.22921741008758545,0.3800618350505829,0.3563295304775238,0.24141459167003632,0.3095414340496063,0.2152075469493866
",",0.372031033039093,0.4946078956127167,0.28759655356407166,0.2683500051498413,0.3087472915649414,0.45456063747406006,0.4933079481124878,0.2386300414800644,0.29481780529022217,0.4946078956127167,0.3378419280052185,0.2753547728061676,0.2727104723453522,0.31091248989105225
his,0.31541815400123596,0.38364991545677185,0.22157500684261322,0.2113684117794037,0.26976513862609863,0.4405253231525421,0.4394008219242096,0.27965763211250305,0.155015766620636,0.38364991545677185,0.9999998807907104,0.2274952232837677,0.2228032499551773,0.18075084686279297
religious,0.25245073437690735,0.2958606779575348,0.2745698392391205,0.3103485405445099,0.26794421672821045,0.20851445198059082,0.22950971126556396,0.33888232707977295,0.18839411437511444,0.2958606779575348,0.2274952232837677,0.9999998807907104,0.34602558612823486,0.15727058053016663
views,0.24351203441619873,0.1923438459634781,0.2064107358455658,0.3514783978462219,0.32671356201171875,0.16854728758335114,0.23137402534484863,0.26488766074180603,0.13937075436115265,0.1923438459634781,0.2228032499551773,0.34602558612823486,1.0,0.19388815760612488
remain,0.3528313636779785,0.29009148478507996,0.3685705065727234,0.2210305780172348,0.29587244987487793,0.24002216756343842,0.33184581995010376,0.3094172477722168,0.1729847490787506,0.29009148478507996,0.24470192193984985,0.2373611032962799,0.21664518117904663,0.1868363618850708
uncertain,0.30434298515319824,0.31690382957458496,0.5173215866088867,0.2495785504579544,0.40487152338027954,0.17047175765037537,0.2813390791416168,0.26813599467277527,0.15762995183467865,0.31690382957458496,0.20949755609035492,0.17748749256134033,0.22624193131923676,0.2301940619945526
due,0.50762939453125,0.2533245384693146,0.25438711047172546,0.16602632403373718,0.15204688906669617,0.29011407494544983,0.22577603161334991,0.24130897223949432,0.16669750213623047,0.2533245384693146,0.2196607142686844,0.14673447608947754,0.15458932518959045,0.10954997688531876
to,0.5166091918945312,0.41548454761505127,0.4444960355758667,0.2911079525947571,0.455847829580307,0.3636345863342285,0.535392165184021,0.35322412848472595,0.25557461380958557,0.41548454761505127,0.3715193271636963,0.24161745607852936,0.27688995003700256,0.29463258385658264
other,0.3994961678981781,0.38583824038505554,0.5099844932556152,0.26671966910362244,0.341873437166214,0.14651623368263245,0.44152235984802246,0.23828965425491333,0.25314825773239136,0.38583824038505554,0.23453344404697418,0.258376806974411,0.2810024619102478,0.24682199954986572
statements,0.3350502550601959,0.19305990636348724,0.3157486319541931,1.0,0.36506614089012146,0.20597456395626068,0.20045673847198486,0.2317817509174347,0.2055700719356537,0.19305990636348724,0.2113684117794037,0.3103485405445099,0.3514783978462219,0.28064221143722534
that,0.6503599286079407,0.41498205065727234,0.5381532907485962,0.44073790311813354,0.6297725439071655,0.33670201897621155,0.5473989248275757,0.4644409120082855,0.24252457916736603,0.41498205065727234,0.3173833191394806,0.2569219172000885,0.30377236008644104,0.32716336846351624
he,0.3656739592552185,0.38706058263778687,0.22494322061538696,0.21571499109268188,0.3114890456199646,0.5410010814666748,0.4571082592010498,0.2578808665275574,0.2052532434463501,0.38706058263778687,0.7171558737754822,0.20694087445735931,0.1885145753622055,0.2089974731206894
made,0.3560832440853119,0.33167365193367004,0.24996501207351685,0.22966767847537994,0.23419176042079926,0.3433256447315216,0.3885267674922943,0.25780797004699707,0.1971239298582077,0.33167365193367004,0.29201897978782654,0.15221889317035675,0.23165206611156464,0.17218779027462006
.,0.45765790343284607,0.5352458953857422,0.2603873014450073,0.21154142916202545,0.3567904531955719,0.40146201848983765,0.5934505462646484,0.26106974482536316,0.31380724906921387,0.5352458953857422,0.3119256794452667,0.23880675435066223,0.2603122889995575,0.4130953550338745
