,in,the,article,'s,title,",",what,did,the,machine,hope,to,end,?
for,0.4322226941585541,0.4739971458911896,0.31357312202453613,-0.07241261005401611,0.2096623331308365,0.4464869201183319,0.3017193675041199,0.318512886762619,0.4739971458911896,0.25323837995529175,0.2751930058002472,0.4451248347759247,0.22042374312877655,0.264628142118454
example,0.30483278632164,0.3755223751068115,0.32476943731307983,-0.045060764998197556,0.19295473396778107,0.3094974756240845,0.3456268310546875,0.2528466582298279,0.3755223751068115,0.2579236924648285,0.146351158618927,0.3451666533946991,0.26052477955818176,0.30374911427497864
",",0.5201468467712402,0.4933079481124878,0.28605279326438904,-0.0016132977325469255,0.2202284336090088,1.0000001192092896,0.3087472915649414,0.3015086054801941,0.4933079481124878,0.21841607987880707,0.3157316744327545,0.44245919585227966,0.25448864698410034,0.31091248989105225
in,1.0,0.6662389636039734,0.26153311133384705,-0.037580832839012146,0.2263992726802826,0.5201468467712402,0.30808621644973755,0.2593238651752472,0.6662389636039734,0.16716814041137695,0.23561698198318481,0.45010748505592346,0.28539085388183594,0.20430970191955566
his,0.3598145842552185,0.4394008219242096,0.21151746809482574,0.047556519508361816,0.22620166838169098,0.3378419280052185,0.26976513862609863,0.3546801507472992,0.4394008219242096,0.16966959834098816,0.245558500289917,0.3715193271636963,0.18775546550750732,0.18075084686279297
article,0.26153311133384705,0.3329811692237854,0.9999999403953552,-0.02360285259783268,0.2799454629421234,0.28605279326438904,0.40514686703681946,0.27629354596138,0.3329811692237854,0.18544286489486694,0.3419283330440521,0.361922025680542,0.19389115273952484,0.4948462247848511
",",0.5201468467712402,0.4933079481124878,0.28605279326438904,-0.0016132977325469255,0.2202284336090088,1.0000001192092896,0.3087472915649414,0.3015086054801941,0.4933079481124878,0.21841607987880707,0.3157316744327545,0.44245919585227966,0.25448864698410034,0.31091248989105225
``,0.04765888676047325,0.029072100296616554,0.025853512808680534,-0.03416389226913452,0.02549407258629799,0.09681109338998795,0.008517155423760414,-0.029888948425650597,0.029072100296616554,0.02600167691707611,-0.04994211718440056,0.06720756739377975,0.09823527187108994,0.0685480609536171
a,0.539380669593811,0.5829201340675354,0.30913418531417847,0.04866964742541313,0.23181948065757751,0.427140474319458,0.3320399522781372,0.2552328109741211,0.5829201340675354,0.24983544647693634,0.2188071757555008,0.45503583550453186,0.28924596309661865,0.23916715383529663
machine,0.16716814041137695,0.22788187861442566,0.18544286489486694,0.040698520839214325,0.12234882265329361,0.21841607987880707,0.23075932264328003,0.14258401095867157,0.22788187861442566,1.0,0.1452653408050537,0.1634126603603363,0.16235657036304474,0.17587624490261078
to,0.45010748505592346,0.535392165184021,0.361922025680542,0.03782717138528824,0.24913249909877777,0.44245919585227966,0.455847829580307,0.4452643394470215,0.535392165184021,0.1634126603603363,0.28287798166275024,1.0,0.3229445815086365,0.29463258385658264
end,0.28539085388183594,0.39658910036087036,0.19389115273952484,0.030466308817267418,0.1468038707971573,0.25448864698410034,0.29234179854393005,0.18808481097221375,0.39658910036087036,0.16235657036304474,0.18073183298110962,0.3229445815086365,1.0,0.12543344497680664
war,0.29904094338417053,0.366199791431427,0.1842338740825653,0.06856801360845566,0.11244255304336548,0.2671184241771698,0.22516006231307983,0.27422013878822327,0.366199791431427,0.1703467071056366,0.19602587819099426,0.2610234022140503,0.3102572560310364,0.15510529279708862
'',0.07432962208986282,0.041273195296525955,0.08483149111270905,-0.04859459400177002,0.05258110910654068,-0.037358131259679794,0.08143015950918198,0.01978493109345436,0.041273195296525955,-0.017543844878673553,-0.09866482764482498,-0.009905828163027763,-0.02458004280924797,0.018684765323996544
",",0.5201468467712402,0.4933079481124878,0.28605279326438904,-0.0016132977325469255,0.2202284336090088,1.0000001192092896,0.3087472915649414,0.3015086054801941,0.4933079481124878,0.21841607987880707,0.3157316744327545,0.44245919585227966,0.25448864698410034,0.31091248989105225
published,0.26697060465812683,0.22017472982406616,0.2783300280570984,0.01244857907295227,0.20146848261356354,0.2937801778316498,0.20457668602466583,0.17877818644046783,0.22017472982406616,0.1646963655948639,0.13662981986999512,0.12403073906898499,0.10736575722694397,0.16280238330364227
in,1.0,0.6662389636039734,0.26153311133384705,-0.037580832839012146,0.2263992726802826,0.5201468467712402,0.30808621644973755,0.2593238651752472,0.6662389636039734,0.16716814041137695,0.23561698198318481,0.45010748505592346,0.28539085388183594,0.20430970191955566
1937,0.023682521656155586,0.11461441218852997,-0.05696861818432808,-0.022208113223314285,-0.14501486718654633,-0.03417341411113739,0.005233327392488718,-0.06755529344081879,0.11461441218852997,-0.1330629140138626,-0.02096821926534176,0.03751426562666893,0.014299172908067703,-0.06511971354484558
",",0.5201468467712402,0.4933079481124878,0.28605279326438904,-0.0016132977325469255,0.2202284336090088,1.0000001192092896,0.3087472915649414,0.3015086054801941,0.4933079481124878,0.21841607987880707,0.3157316744327545,0.44245919585227966,0.25448864698410034,0.31091248989105225
tesla,0.17097744345664978,0.1324402391910553,0.14590303599834442,0.06449045985937119,0.11620340496301651,0.20599327981472015,0.23221199214458466,0.09757418930530548,0.1324402391910553,0.2521411180496216,0.17233175039291382,0.17548894882202148,0.05453544855117798,0.10250775516033173
stated,0.24313503503799438,0.2814950942993164,0.3551636338233948,0.014573756605386734,0.15106770396232605,0.2962069809436798,0.3668954074382782,0.3936442732810974,0.2814950942993164,0.09957779198884964,0.2685076892375946,0.3195562958717346,0.17199227213859558,0.24280361831188202
:,0.020521078258752823,-0.03403344005346298,-0.03723052144050598,0.07621461898088455,0.06999341398477554,-0.004729332868009806,-0.12022944539785385,-0.05305134505033493,-0.03403344005346298,-0.02268586866557598,-0.13160403072834015,-0.09243495017290115,-0.011420724913477898,-0.07156077772378922
