,what,famous,person,congratulated,him,?
he,0.3114890456199646,0.32830536365509033,0.3943914771080017,0.28283530473709106,0.6241704225540161,0.2089974731206894
received,0.1010502278804779,0.18149088323116302,0.19476523995399475,0.27851948142051697,0.28171440958976746,0.11905962228775024
congratulatory,0.326436847448349,0.19782841205596924,0.2623865604400635,0.8519431352615356,0.35160431265830994,0.38035309314727783
letters,0.1743541657924652,0.17594830691814423,0.18875882029533386,0.2251855432987213,0.19416072964668274,0.18739263713359833
from,0.2737620174884796,0.23072338104248047,0.21919812262058258,0.14260785281658173,0.2413332462310791,0.19969791173934937
more,0.3484537899494171,0.21076881885528564,0.3014683425426483,0.22991406917572021,0.2715552747249603,0.27894994616508484
than,0.29388150572776794,0.1596154272556305,0.2697990834712982,0.1273932158946991,0.18777738511562347,0.24917294085025787
70,-0.14758597314357758,0.030272595584392548,-0.06552619487047195,-0.055739693343639374,-0.04900219663977623,-0.18177002668380737
pioneers,0.19377683103084564,0.32926949858665466,0.19957396388053894,0.1019321084022522,0.20962519943714142,0.07123779505491257
in,0.30808621644973755,0.34673580527305603,0.23876774311065674,0.1335277110338211,0.2284061461687088,0.20430970191955566
science,0.2612018585205078,0.14346124231815338,0.2069791704416275,0.12353457510471344,0.15612934529781342,0.17974960803985596
and,0.31309178471565247,0.2970265746116638,0.27333492040634155,0.17546963691711426,0.35759612917900085,0.20544172823429108
engineering,0.1897483468055725,0.18119052052497864,0.09057963639497757,0.1118384450674057,0.08044766634702682,0.16555240750312805
",",0.3087472915649414,0.2816491723060608,0.2255365252494812,0.2703958749771118,0.31121695041656494,0.31091248989105225
including,0.18328791856765747,0.3776775002479553,0.09704817831516266,0.05256441980600357,0.20979055762290955,0.1633303165435791
albert,0.16012011468410492,0.20098064839839935,0.12571211159229279,0.21304941177368164,0.20085248351097107,0.15350762009620667
einstein,0.2901903986930847,0.19093744456768036,0.21792085468769073,0.29247504472732544,0.23380327224731445,0.2118137627840042
.,0.3567904531955719,0.2322506159543991,0.29091694951057434,0.22942118346691132,0.30228540301322937,0.4130953550338745
