,how,many,other,important,people,sent,letters,?
he,0.2594625651836395,0.3483840227127075,0.24213658273220062,0.2880416512489319,0.324719101190567,0.3213239014148712,0.19257621467113495,0.2089974731206894
received,0.09265316277742386,0.2257511019706726,0.1754387468099594,0.1396985501050949,0.11842667311429977,0.33237236738204956,0.2815358340740204,0.11905962228775024
congratulatory,0.29866889119148254,0.15617822110652924,0.1671469658613205,0.21909137070178986,0.19036325812339783,0.22859996557235718,0.19747373461723328,0.38035309314727783
letters,0.18978257477283478,0.22570647299289703,0.2696648836135864,0.15259867906570435,0.1953858882188797,0.31534048914909363,1.0000001192092896,0.18739263713359833
from,0.22939439117908478,0.33099696040153503,0.30141791701316833,0.23078285157680511,0.30292633175849915,0.2365139275789261,0.16431336104869843,0.19969791173934937
more,0.4319567084312439,0.48608261346817017,0.49628373980522156,0.2766265273094177,0.3351196348667145,0.1727699339389801,0.18194256722927094,0.27894994616508484
than,0.29763275384902954,0.39069414138793945,0.5105555653572083,0.2629111409187317,0.2669047713279724,0.13906075060367584,0.18256986141204834,0.24917294085025787
70,-0.08739583194255829,-0.0489373542368412,-0.17706240713596344,-0.013669533655047417,-0.012906850315630436,0.026730261743068695,-0.0314435251057148,-0.18177002668380737
pioneers,0.16204117238521576,0.305785596370697,0.2420089989900589,0.27280932664871216,0.2335985004901886,0.2139008492231369,0.1555517017841339,0.07123779505491257
in,0.2601168751716614,0.41474202275276184,0.39989137649536133,0.3796374499797821,0.39605680108070374,0.25609636306762695,0.1873265951871872,0.20430970191955566
science,0.23506508767604828,0.2819631099700928,0.25806936621665955,0.23167023062705994,0.22908273339271545,0.10706953704357147,0.15976659953594208,0.17974960803985596
and,0.33647966384887695,0.5296266674995422,0.5504306554794312,0.37549954652786255,0.3016039729118347,0.32548439502716064,0.2574736475944519,0.20544172823429108
engineering,0.20084184408187866,0.26118040084838867,0.22762979567050934,0.2873121500015259,0.12236111611127853,0.12000179290771484,0.14287500083446503,0.16555240750312805
",",0.22659391164779663,0.40610817074775696,0.4446498453617096,0.3452564477920532,0.36644625663757324,0.2487054318189621,0.26076140999794006,0.31091248989105225
including,0.20270724594593048,0.6119236350059509,0.5162608623504639,0.29822370409965515,0.23374778032302856,0.24217964708805084,0.17385631799697876,0.1633303165435791
albert,0.17076946794986725,0.1487107276916504,0.14474862813949585,0.15527571737766266,0.12776418030261993,0.1035521999001503,0.09407580643892288,0.15350762009620667
einstein,0.2883221209049225,0.23132358491420746,0.1721615344285965,0.15788617730140686,0.2169872671365738,0.050563350319862366,0.1765754222869873,0.2118137627840042
.,0.3287222981452942,0.3974229395389557,0.41511186957359314,0.33938494324684143,0.33118996024131775,0.27534595131874084,0.25618162751197815,0.4130953550338745
