,when,extensive,time,is,required,to,sort,integers,",",this,represents,what,case,complexity,?
the,0.5091903209686279,0.2952674925327301,0.43061500787734985,0.5823672413825989,0.27848219871520996,0.535392165184021,0.31158876419067383,0.179725781083107,0.4933079481124878,0.6274310946464539,0.3328246772289276,0.42745697498321533,0.31022098660469055,0.21171598136425018,0.22068053483963013
worst-case,0.3046315908432007,0.12778685986995697,0.2757115960121155,0.22882379591464996,0.20008334517478943,0.28114184737205505,0.31980982422828674,0.32778075337409973,0.30874067544937134,0.3635711967945099,0.18963268399238586,0.3822859823703766,0.5231468081474304,0.3526204824447632,0.33367103338241577
is,0.3471449911594391,0.23508477210998535,0.25187405943870544,1.0,0.21426478028297424,0.42745086550712585,0.27924588322639465,0.2208469957113266,0.4691906273365021,0.480927973985672,0.3905610740184784,0.28837618231773376,0.26648613810539246,0.2541271150112152,0.22961433231830597
when,0.9999999403953552,0.1557246446609497,0.4363728165626526,0.3471449911594391,0.24206838011741638,0.5423505902290344,0.2708546817302704,0.16812270879745483,0.36674630641937256,0.4959332048892975,0.1747322827577591,0.4700249433517456,0.3450794816017151,0.1855591982603073,0.22841128706932068
the,0.5091903209686279,0.2952674925327301,0.43061500787734985,0.5823672413825989,0.27848219871520996,0.535392165184021,0.31158876419067383,0.179725781083107,0.4933079481124878,0.6274310946464539,0.3328246772289276,0.42745697498321533,0.31022098660469055,0.21171598136425018,0.22068053483963013
input,0.2176697850227356,0.19292330741882324,0.2544395923614502,0.2170686423778534,0.37714311480522156,0.25947481393814087,0.25156116485595703,0.43351781368255615,0.24717740714550018,0.3270362615585327,0.19632887840270996,0.2844698429107666,0.30666109919548035,0.4045132100582123,0.24861721694469452
is,0.3471449911594391,0.23508477210998535,0.25187405943870544,1.0,0.21426478028297424,0.42745086550712585,0.27924588322639465,0.2208469957113266,0.4691906273365021,0.480927973985672,0.3905610740184784,0.28837618231773376,0.26648613810539246,0.2541271150112152,0.22961433231830597
sorted,0.23731645941734314,0.1438373625278473,0.20787973701953888,0.21340763568878174,0.3051743507385254,0.2519322633743286,0.5917671322822571,0.33003151416778564,0.2807494103908539,0.330583393573761,0.22741848230361938,0.2960403263568878,0.20323167741298676,0.2789643704891205,0.22827646136283875
or,0.417120099067688,0.2075471132993698,0.2774261236190796,0.41870999336242676,0.41671398282051086,0.38921234011650085,0.34986189007759094,0.2897246778011322,0.3769497275352478,0.4406825602054596,0.3442210555076599,0.33867141604423523,0.3510584235191345,0.2691935896873474,0.32389625906944275
sorted,0.23731645941734314,0.1438373625278473,0.20787973701953888,0.21340763568878174,0.3051743507385254,0.2519322633743286,0.5917671322822571,0.33003151416778564,0.2807494103908539,0.330583393573761,0.22741848230361938,0.2960403263568878,0.20323167741298676,0.2789643704891205,0.22827646136283875
