,classification,of,resources,is,contingent,on,determining,the,upper,and,lower,bounds,of,minimum,time,required,by,what,?
to,0.19289597868919373,0.41548454761505127,0.3263809382915497,0.42745086550712585,0.3470512926578522,0.41031414270401,0.3152051270008087,0.535392165184021,0.21445727348327637,0.48971283435821533,0.233318492770195,0.320420503616333,0.41548454761505127,0.3115387558937073,0.3679993152618408,0.3613971471786499,0.33534231781959534,0.455847829580307,0.29463258385658264
classify,0.7781710028648376,0.20344245433807373,0.2822301387786865,0.2113753855228424,0.24595706164836884,0.1965753436088562,0.37309014797210693,0.2376265525817871,0.14472584426403046,0.21344339847564697,0.1622985452413559,0.21260274946689606,0.20344245433807373,0.21659401059150696,0.17420372366905212,0.16868500411510468,0.16788055002689362,0.31845149397850037,0.23573969304561615
the,0.24193404614925385,0.733189046382904,0.25734785199165344,0.5823672413825989,0.32567715644836426,0.5107308030128479,0.35818397998809814,1.0,0.35289278626441956,0.5171257257461548,0.3463275134563446,0.30338889360427856,0.733189046382904,0.21698720753192902,0.43061500787734985,0.27848219871520996,0.4408751428127289,0.42745697498321533,0.22068053483963013
computation,0.28624916076660156,0.2480347454547882,0.34085023403167725,0.2451949268579483,0.2972065508365631,0.17528383433818817,0.5375128388404846,0.20380710065364838,0.0590166300535202,0.2531760036945343,0.12462636083364487,0.25352755188941956,0.2480347454547882,0.31959688663482666,0.301578551530838,0.34498101472854614,0.2080729752779007,0.31098654866218567,0.2260068953037262
time,0.15434405207633972,0.35127586126327515,0.27837085723876953,0.25187405943870544,0.2102382332086563,0.30044233798980713,0.280480295419693,0.43061500787734985,0.14377018809318542,0.3025408685207367,0.13625381886959076,0.2507743537425995,0.35127586126327515,0.31430113315582275,0.9999998807907104,0.3149583637714386,0.26502725481987,0.36319252848625183,0.27391523122787476
(,0.1924780011177063,0.35032153129577637,0.18712666630744934,0.35393038392066956,0.15535521507263184,0.28656116127967834,0.20913836359977722,0.33289089798927307,0.14661404490470886,0.4862271547317505,0.18077315390110016,0.2746313214302063,0.35032153129577637,0.23270738124847412,0.28391751646995544,0.22542260587215424,0.20696312189102173,0.2411840260028839,0.40561532974243164
or,0.25513362884521484,0.3792596757411957,0.31857627630233765,0.41870999336242676,0.32111984491348267,0.2897229492664337,0.3387509286403656,0.4174870550632477,0.20617228746414185,0.4713204801082611,0.27895238995552063,0.325925350189209,0.3792596757411957,0.3239472806453705,0.2774261236190796,0.41671398282051086,0.30274316668510437,0.33867141604423523,0.32389625906944275
similar,0.2852395176887512,0.2911645472049713,0.1769552081823349,0.28929588198661804,0.2441740185022354,0.23418132960796356,0.3045694828033447,0.2963123023509979,0.21413739025592804,0.3316260874271393,0.2314225733280182,0.19947408139705658,0.2911645472049713,0.18195801973342896,0.18560491502285004,0.21118228137493134,0.28307145833969116,0.30608364939689636,0.23309361934661865
resources,0.21347372233867645,0.2746381163597107,1.0000001192092896,0.23539847135543823,0.26893532276153564,0.24799394607543945,0.2959781289100647,0.25734785199165344,0.08925282955169678,0.3116118013858795,0.08750545233488083,0.2248203307390213,0.2746381163597107,0.22606749832630157,0.27837085723876953,0.265290766954422,0.19408294558525085,0.24701403081417084,0.26047492027282715
",",0.24260641634464264,0.4946078956127167,0.2789028584957123,0.4691906273365021,0.2645936608314514,0.49057599902153015,0.22378280758857727,0.4933079481124878,0.22235287725925446,0.6633074283599854,0.236776202917099,0.29079121351242065,0.4946078956127167,0.2227497547864914,0.3029961884021759,0.22653338313102722,0.3680937886238098,0.3087472915649414,0.31091248989105225
such,0.20240534842014313,0.3209529519081116,0.32684165239334106,0.23545363545417786,0.29127177596092224,0.3181164264678955,0.2732090353965759,0.3575236201286316,0.132587268948555,0.44540345668792725,0.17980381846427917,0.24098192155361176,0.3209529519081116,0.18003273010253906,0.24758757650852203,0.26925382018089294,0.2736194431781769,0.23989605903625488,0.17851735651493073
as,0.23024682700634003,0.3886612355709076,0.25327977538108826,0.43216490745544434,0.273147851228714,0.36047765612602234,0.30650195479393005,0.48381632566452026,0.22030669450759888,0.49487000703811646,0.21512500941753387,0.25645914673805237,0.3886612355709076,0.16705599427223206,0.3239102065563202,0.23791028559207916,0.3815547823905945,0.31749409437179565,0.27043893933296204
space,0.10392944514751434,0.21300287544727325,0.19738270342350006,0.18578536808490753,0.15927299857139587,0.15890881419181824,0.2232942432165146,0.24495907127857208,0.13284337520599365,0.22901733219623566,0.10440593212842941,0.23569656908512115,0.21300287544727325,0.29691535234451294,0.2780037522315979,0.23494939506053925,0.16067887842655182,0.20525942742824554,0.1885536164045334
consumption,0.21446429193019867,0.249590665102005,0.41441991925239563,0.2964645028114319,0.27222195267677307,0.2087312489748001,0.34655269980430603,0.23633816838264465,0.10452298820018768,0.2576488256454468,0.15542714297771454,0.17865997552871704,0.249590665102005,0.31719568371772766,0.22188495099544525,0.24483421444892883,0.18579155206680298,0.22381934523582458,0.1937485784292221
),0.20616142451763153,0.3680361211299896,0.19202645123004913,0.37732169032096863,0.16319230198860168,0.29937487840652466,0.2063930779695511,0.3456730246543884,0.1565362960100174,0.4961937665939331,0.19089847803115845,0.2621079683303833,0.3680361211299896,0.22895589470863342,0.2857224941253662,0.245443657040596,0.2151763141155243,0.26259949803352356,0.42300865054130554
",",0.24260641634464264,0.4946078956127167,0.2789028584957123,0.4691906273365021,0.2645936608314514,0.49057599902153015,0.22378280758857727,0.4933079481124878,0.22235287725925446,0.6633074283599854,0.236776202917099,0.29079121351242065,0.4946078956127167,0.2227497547864914,0.3029961884021759,0.22653338313102722,0.3680937886238098,0.3087472915649414,0.31091248989105225
one,0.16132409870624542,0.4999135136604309,0.20852333307266235,0.4544198513031006,0.2910858392715454,0.3601475656032562,0.3243352472782135,0.5514441132545471,0.21772733330726624,0.42438167333602905,0.2072933465242386,0.2580466568470001,0.4999135136604309,0.252300500869751,0.4878559708595276,0.2598664164543152,0.29445651173591614,0.376489520072937,0.2673267424106598
is,0.19855763018131256,0.4854315221309662,0.23539847135543823,1.0,0.2019515335559845,0.3635730445384979,0.3241519629955292,0.5823672413825989,0.2177516371011734,0.3859752118587494,0.20806168019771576,0.2745935618877411,0.4854315221309662,0.21026945114135742,0.25187405943870544,0.21426478028297424,0.3899846076965332,0.28837618231773376,0.22961433231830597
interested,0.16512508690357208,0.24032539129257202,0.31763720512390137,0.14930003881454468,0.27120986580848694,0.23192012310028076,0.2801484763622284,0.22813944518566132,0.05558867007493973,0.3278570771217346,0.08684249967336655,0.09573786705732346,0.24032539129257202,0.11822512000799179,0.32179024815559387,0.152266263961792,0.21389754116535187,0.35256704688072205,0.2901444137096405
in,0.2025376260280609,0.5696388483047485,0.2161814570426941,0.5394441485404968,0.2770986258983612,0.46853652596473694,0.2913265824317932,0.6662389636039734,0.27419501543045044,0.4954058527946472,0.27455443143844604,0.2535269260406494,0.5696388483047485,0.16051530838012695,0.3431483507156372,0.20162324607372284,0.370934396982193,0.30808621644973755,0.20430970191955566
proving,0.21859723329544067,0.29165971279144287,0.3448932468891144,0.20472633838653564,0.39047878980636597,0.23943649232387543,0.45481792092323303,0.279813677072525,0.1269609034061432,0.2709122896194458,0.16272303462028503,0.2215144783258438,0.29165971279144287,0.3129805028438568,0.24698244035243988,0.3207835257053375,0.1992950141429901,0.35093116760253906,0.3045685887336731
upper,0.16451263427734375,0.25818127393722534,0.08925282955169678,0.2177516371011734,0.23721963167190552,0.1695995330810547,0.1686525046825409,0.35289278626441956,1.0000001192092896,0.2172592729330063,0.7553458213806152,0.24034395813941956,0.25818127393722534,0.1670241355895996,0.14377018809318542,0.1672597974538803,0.10709846764802933,0.1592642068862915,0.051342256367206573
and,0.19051122665405273,0.5116966962814331,0.3116118013858795,0.3859752118587494,0.31525683403015137,0.4077630043029785,0.25574207305908203,0.5171257257461548,0.2172592729330063,1.0,0.2802542746067047,0.30258679389953613,0.5116966962814331,0.2258012443780899,0.3025408685207367,0.25104308128356934,0.4289871156215668,0.31309178471565247,0.20544172823429108
lower,0.18318279087543488,0.31757521629333496,0.08750545233488083,0.20806168019771576,0.22016417980194092,0.16919521987438202,0.23451536893844604,0.3463275134563446,0.7553458213806152,0.2802542746067047,1.0,0.3036094605922699,0.31757521629333496,0.26500165462493896,0.13625381886959076,0.24484024941921234,0.17122666537761688,0.20079238712787628,0.08471795171499252
bounds,0.16469135880470276,0.24635128676891327,0.2248203307390213,0.2745935618877411,0.3229387700557709,0.23293337225914001,0.38638415932655334,0.30338889360427856,0.24034395813941956,0.30258679389953613,0.3036094605922699,1.0,0.24635128676891327,0.2994089424610138,0.2507743537425995,0.2570185363292694,0.2196396440267563,0.17344798147678375,0.12707965075969696
on,0.20803424715995789,0.3966929316520691,0.24799394607543945,0.3635730445384979,0.2621689438819885,0.9999999403953552,0.269680380821228,0.5107308030128479,0.1695995330810547,0.4077630043029785,0.16919521987438202,0.23293337225914001,0.3966929316520691,0.15656337141990662,0.30044233798980713,0.193476602435112,0.33887791633605957,0.34226128458976746,0.2714994251728058
the,0.24193404614925385,0.733189046382904,0.25734785199165344,0.5823672413825989,0.32567715644836426,0.5107308030128479,0.35818397998809814,1.0,0.35289278626441956,0.5171257257461548,0.3463275134563446,0.30338889360427856,0.733189046382904,0.21698720753192902,0.43061500787734985,0.27848219871520996,0.4408751428127289,0.42745697498321533,0.22068053483963013
minimum,0.14419662952423096,0.23140138387680054,0.22606749832630157,0.21026945114135742,0.2349184900522232,0.15656337141990662,0.36696282029151917,0.21698720753192902,0.1670241355895996,0.2258012443780899,0.26500165462493896,0.2994089424610138,0.23140138387680054,1.0,0.31430113315582275,0.4974025785923004,0.11923009902238846,0.2632068395614624,0.19625477492809296
amount,0.1753629446029663,0.2541177570819855,0.3091164231300354,0.3016021251678467,0.222431480884552,0.2525322437286377,0.3154250979423523,0.3336862325668335,0.13646715879440308,0.2668909728527069,0.1802045702934265,0.18561908602714539,0.2541177570819855,0.4104642868041992,0.43065115809440613,0.39454376697540283,0.19143085181713104,0.2602839767932892,0.17984020709991455
of,0.2064410001039505,1.0,0.2746381163597107,0.4854315221309662,0.31769317388534546,0.3966929316520691,0.3374442756175995,0.733189046382904,0.25818127393722534,0.5116966962814331,0.31757521629333496,0.24635128676891327,1.0,0.23140138387680054,0.35127586126327515,0.26183071732521057,0.3646814823150635,0.33290785551071167,0.1826142966747284
time,0.15434405207633972,0.35127586126327515,0.27837085723876953,0.25187405943870544,0.2102382332086563,0.30044233798980713,0.280480295419693,0.43061500787734985,0.14377018809318542,0.3025408685207367,0.13625381886959076,0.2507743537425995,0.35127586126327515,0.31430113315582275,0.9999998807907104,0.3149583637714386,0.26502725481987,0.36319252848625183,0.27391523122787476
required,0.17256128787994385,0.26183071732521057,0.265290766954422,0.21426478028297424,0.26733240485191345,0.193476602435112,0.37046924233436584,0.27848219871520996,0.1672597974538803,0.25104308128356934,0.24484024941921234,0.2570185363292694,0.26183071732521057,0.4974025785923004,0.3149583637714386,1.0000001192092896,0.21564500033855438,0.2506856620311737,0.24962718784809113
by,0.1858171671628952,0.3646814823150635,0.19408294558525085,0.3899846076965332,0.22638094425201416,0.33887791633605957,0.21875709295272827,0.4408751428127289,0.10709846764802933,0.4289871156215668,0.17122666537761688,0.2196396440267563,0.3646814823150635,0.11923009902238846,0.26502725481987,0.21564500033855438,1.0000001192092896,0.2455483376979828,0.17966607213020325
the,0.24193404614925385,0.733189046382904,0.25734785199165344,0.5823672413825989,0.32567715644836426,0.5107308030128479,0.35818397998809814,1.0,0.35289278626441956,0.5171257257461548,0.3463275134563446,0.30338889360427856,0.733189046382904,0.21698720753192902,0.43061500787734985,0.27848219871520996,0.4408751428127289,0.42745697498321533,0.22068053483963013
most,0.22030282020568848,0.4178851246833801,0.24139352142810822,0.41165053844451904,0.3151138424873352,0.28303956985473633,0.26374340057373047,0.47635307908058167,0.18505915999412537,0.4309377074241638,0.2018900364637375,0.11659006774425507,0.4178851246833801,0.18058635294437408,0.35173171758651733,0.24453169107437134,0.270847886800766,0.3219912350177765,0.2107497900724411
efficient,0.18622340261936188,0.22586165368556976,0.41286155581474304,0.19970080256462097,0.32472723722457886,0.14957718551158905,0.3845031261444092,0.22032952308654785,0.21620586514472961,0.2733532190322876,0.2974478006362915,0.24431385099887848,0.22586165368556976,0.2893027663230896,0.30601978302001953,0.41112178564071655,0.1805124431848526,0.22662539780139923,0.18034493923187256
algorithm,0.2829296886920929,0.17516344785690308,0.22128941118717194,0.24848374724388123,0.2026788741350174,0.1285811960697174,0.402736097574234,0.15884782373905182,0.08487749844789505,0.06731905043125153,0.13642898201942444,0.15993814170360565,0.17516344785690308,0.27795010805130005,0.25266581773757935,0.25002574920654297,0.14533276855945587,0.2700590193271637,0.21180397272109985
solving,0.21501055359840393,0.257053017616272,0.28941088914871216,0.24057920277118683,0.28394651412963867,0.16372127830982208,0.45014655590057373,0.24101409316062927,0.07286885380744934,0.24373853206634521,0.13433688879013062,0.22160328924655914,0.257053017616272,0.25452935695648193,0.2700018882751465,0.2054176777601242,0.18629460036754608,0.32633283734321594,0.27607977390289307
a,0.22508536279201508,0.5052502155303955,0.19164273142814636,0.658733606338501,0.24649842083454132,0.3848365545272827,0.36575692892074585,0.5829201340675354,0.26226839423179626,0.3739250600337982,0.2221667766571045,0.269717276096344,0.5052502155303955,0.2512331008911133,0.3292340338230133,0.2891559302806854,0.32094135880470276,0.3320399522781372,0.23916715383529663
given,0.20127668976783752,0.39388060569763184,0.1699400246143341,0.249215230345726,0.23931989073753357,0.2107619345188141,0.2854576110839844,0.37508252263069153,0.0863599106669426,0.30185943841934204,0.1400371938943863,0.22754734754562378,0.39388060569763184,0.25978490710258484,0.317789226770401,0.3918374180793762,0.25286126136779785,0.21883496642112732,0.2570464313030243
problem,0.22161820530891418,0.20464475452899933,0.3006785213947296,0.23238427937030792,0.2563972473144531,0.19349780678749084,0.3468671143054962,0.24928659200668335,0.06676787883043289,0.24328261613845825,0.13587701320648193,0.1480262577533722,0.20464475452899933,0.3676875829696655,0.3373833894729614,0.3576347827911377,0.2011435180902481,0.42183366417884827,0.3762950301170349
.,0.2091323882341385,0.5352458953857422,0.2478848099708557,0.4569662809371948,0.2678346037864685,0.49257001280784607,0.2779275178909302,0.5934505462646484,0.23727275431156158,0.588965117931366,0.24347278475761414,0.24761569499969482,0.5352458953857422,0.16740559041500092,0.371569961309433,0.2724599838256836,0.3936232924461365,0.3567904531955719,0.4130953550338745
