,what,has,complicated,definitions,that,prevent,classification,into,a,framework,?
of,0.33290785551071167,0.3909035325050354,0.24801397323608398,0.2772957384586334,0.41498205065727234,0.22669163346290588,0.2064410001039505,0.32255905866622925,0.5052502155303955,0.21524682641029358,0.1826142966747284
course,0.3412042260169983,0.2658419609069824,0.3016197383403778,0.3630524277687073,0.3840329051017761,0.17567609250545502,0.226509228348732,0.2434329092502594,0.2895289659500122,0.1846577376127243,0.28826573491096497
",",0.3087472915649414,0.3734780251979828,0.30891942977905273,0.2748112082481384,0.4137537479400635,0.19234955310821533,0.24260641634464264,0.2826121151447296,0.427140474319458,0.1459747552871704,0.31091248989105225
some,0.4491020441055298,0.3587830364704132,0.40401849150657654,0.39464735984802246,0.6049469113349915,0.3080980181694031,0.26445886492729187,0.3148764669895172,0.34539633989334106,0.2889723777770996,0.2562315762042999
complexity,0.33747240900993347,0.23784728348255157,0.5473235249519348,0.47425541281700134,0.3234518766403198,0.19988133013248444,0.2809743285179138,0.12320946156978607,0.27206721901893616,0.34309670329093933,0.23062916100025177
classes,0.20746955275535583,0.15154723823070526,0.23247845470905304,0.24072235822677612,0.281128466129303,0.1395156979560852,0.4614100158214569,0.23469138145446777,0.25567445158958435,0.2463425099849701,0.14397528767585754
have,0.39808809757232666,0.6353569626808167,0.32386472821235657,0.38220471143722534,0.6182622313499451,0.32587194442749023,0.25296491384506226,0.3038242757320404,0.338716596364975,0.2283775955438614,0.32991164922714233
complicated,0.34040677547454834,0.22004976868629456,1.0000001192092896,0.3060412108898163,0.35259756445884705,0.265427827835083,0.18559928238391876,0.251077264547348,0.29947832226753235,0.25984907150268555,0.23008595407009125
definitions,0.3369276225566864,0.2587892413139343,0.3060412108898163,0.9999999403953552,0.38541096448898315,0.22213958203792572,0.3524284362792969,0.18552963435649872,0.27835413813591003,0.3894160985946655,0.3035217523574829
that,0.6297725439071655,0.41272613406181335,0.35259756445884705,0.38541096448898315,1.0,0.3359993100166321,0.19437119364738464,0.3239944875240326,0.47537946701049805,0.30429404973983765,0.32716336846351624
do,0.4609605669975281,0.22084827721118927,0.3559969365596771,0.30267438292503357,0.44533252716064453,0.32342812418937683,0.1573154628276825,0.20546826720237732,0.26237669587135315,0.2785147726535797,0.4093979299068451
not,0.5449194312095642,0.32239022850990295,0.3595384657382965,0.3890976011753082,0.6600887179374695,0.39701515436172485,0.22327356040477753,0.2764923572540283,0.3791346549987793,0.25538867712020874,0.41942933201789856
fit,0.3183024227619171,0.18332423269748688,0.3683825135231018,0.34380292892456055,0.4061131477355957,0.2712426781654358,0.22162628173828125,0.2543504238128662,0.2605222165584564,0.26662570238113403,0.24845652282238007
into,0.2180619090795517,0.29681676626205444,0.251077264547348,0.18552963435649872,0.3239944875240326,0.2567877173423767,0.15899324417114258,1.0,0.3461161255836487,0.17247766256332397,0.15662476420402527
this,0.5489566326141357,0.4198763072490692,0.37918105721473694,0.4104965925216675,0.6909449696540833,0.35020363330841064,0.27342161536216736,0.32724273204803467,0.5422310829162598,0.31380125880241394,0.3155723512172699
framework,0.3308824896812439,0.1619829684495926,0.25984907150268555,0.3894160985946655,0.30429404973983765,0.21484921872615814,0.25572824478149414,0.17247766256332397,0.23768842220306396,0.9999999403953552,0.21574316918849945
.,0.3567904531955719,0.4105546176433563,0.2237187922000885,0.25005432963371277,0.4460422694683075,0.24685528874397278,0.2091323882341385,0.26250120997428894,0.50484299659729,0.18818846344947815,0.4130953550338745
