,if,p,=,np,is,unsolved,",",and,reduction,is,applied,to,a,known,np-complete,problem,vis,a,vis,π2,to,π1,",",what,conclusion,can,be,drawn,for,π1,?
if,1.0,0.17701710760593414,-0.014500393532216549,0.30719754099845886,0.30927813053131104,0.23127108812332153,0.257730096578598,0.3498523235321045,0.23576049506664276,0.30927813053131104,0.2651936411857605,0.4559597074985504,0.41272827982902527,0.091392382979393,0.31617626547813416,0.43518564105033875,0.21200352907180786,0.41272827982902527,0.21200352907180786,0.1651255488395691,0.4559597074985504,0.08108779042959213,0.257730096578598,0.5277165174484253,0.35607799887657166,0.5903681516647339,0.5628611445426941,0.1958157867193222,0.3609124422073364,0.08108779042959213,0.4441644251346588
a,0.41272827982902527,0.15866722166538239,-0.1499788761138916,0.19096361100673676,0.658733606338501,0.20796768367290497,0.427140474319458,0.3739250600337982,0.2845925986766815,0.658733606338501,0.24149316549301147,0.45503583550453186,1.0,0.30882248282432556,0.28990697860717773,0.2605542540550232,0.2058442085981369,1.0,0.2058442085981369,0.19391046464443207,0.45503583550453186,-0.016434958204627037,0.427140474319458,0.3320399522781372,0.2761456370353699,0.3915780484676361,0.39883795380592346,0.18274220824241638,0.44038116931915283,-0.016434958204627037,0.23916715383529663
problem,0.43518564105033875,0.1706637293100357,-0.09702178835868835,0.4497864544391632,0.23238427937030792,0.46192029118537903,0.23938199877738953,0.24328261613845825,0.3494492769241333,0.23238427937030792,0.23095287382602692,0.2502208352088928,0.2605542540550232,0.1978386789560318,0.2782294750213623,1.0,0.22499215602874756,0.2605542540550232,0.22499215602874756,0.10175079852342606,0.2502208352088928,0.036100950092077255,0.23938199877738953,0.42183366417884827,0.36100271344184875,0.36370179057121277,0.347878634929657,0.21283121407032013,0.2661307752132416,0.036100950092077255,0.3762950301170349
x,0.2319261133670807,0.19367241859436035,0.03547291457653046,0.18771763145923615,0.1738782823085785,0.18141025304794312,0.2696380019187927,0.21577593684196472,0.20341621339321136,0.1738782823085785,0.12630021572113037,0.21431612968444824,0.21952441334724426,0.08831950277090073,0.16365736722946167,0.17171038687229156,0.13107728958129883,0.21952441334724426,0.13107728958129883,0.056726597249507904,0.21431612968444824,-0.10943227261304855,0.2696380019187927,0.13783220946788788,0.15351472795009613,0.22120405733585358,0.22865693271160126,0.1262841820716858,0.18337465822696686,-0.10943227261304855,0.23304535448551178
is,0.30927813053131104,0.11757151037454605,-0.046662431210279465,0.2208731323480606,1.0,0.1910337656736374,0.4691906273365021,0.3859752118587494,0.2509012222290039,1.0,0.21050988137722015,0.42745086550712585,0.658733606338501,0.41921812295913696,0.22069956362247467,0.23238427937030792,0.24671344459056854,0.658733606338501,0.24671344459056854,0.13494926691055298,0.42745086550712585,-0.011081291362643242,0.4691906273365021,0.28837618231773376,0.19649836421012878,0.44256699085235596,0.4819129705429077,0.13321004807949066,0.43268078565597534,-0.011081291362643242,0.22961433231830597
in,0.2589588761329651,0.10853569954633713,-0.08381625264883041,0.15881246328353882,0.5394441485404968,0.2789076864719391,0.5201468467712402,0.4954058527946472,0.24459965527057648,0.5394441485404968,0.2475845366716385,0.45010748505592346,0.539380669593811,0.32641831040382385,0.22477759420871735,0.16969570517539978,0.12657245993614197,0.539380669593811,0.12657245993614197,0.1062781885266304,0.45010748505592346,-0.037193410098552704,0.5201468467712402,0.30808621644973755,0.2106221318244934,0.26527702808380127,0.3481820821762085,0.14419732987880707,0.4322226941585541,-0.037193410098552704,0.20430970191955566
c,0.1479276418685913,0.23143596947193146,-0.043188076466321945,0.16705317795276642,0.21502047777175903,0.13384199142456055,0.2580876350402832,0.22064751386642456,0.15625233948230743,0.21502047777175903,0.14124391973018646,0.1638970822095871,0.23439434170722961,0.12973734736442566,0.14167575538158417,0.1311071813106537,0.14897862076759338,0.23439434170722961,0.14897862076759338,0.10093221068382263,0.1638970822095871,-0.02579747512936592,0.2580876350402832,0.13697408139705658,0.15417388081550598,0.17217868566513062,0.1635768711566925,0.14167647063732147,0.19183452427387238,-0.02579747512936592,0.14264722168445587
and,0.3498523235321045,0.198231041431427,-0.046995434910058975,0.1060066819190979,0.3859752118587494,0.23864680528640747,0.6633074283599854,1.0,0.23248422145843506,0.3859752118587494,0.26963624358177185,0.48971283435821533,0.3739250600337982,0.3468935489654541,0.1983288824558258,0.24328261613845825,0.18189644813537598,0.3739250600337982,0.18189644813537598,0.20288051664829254,0.48971283435821533,-0.05672186613082886,0.6633074283599854,0.31309178471565247,0.1502206027507782,0.3675691485404968,0.41766801476478577,0.2559950053691864,0.5064792633056641,-0.05672186613082886,0.20544172823429108
hard,0.30554935336112976,0.10038067400455475,-0.0725795105099678,0.29150816798210144,0.25768035650253296,0.17323780059814453,0.2742401659488678,0.31814199686050415,0.21312768757343292,0.25768035650253296,0.15753813087940216,0.31646713614463806,0.29863545298576355,0.2254282385110855,0.2056291252374649,0.3147989511489868,0.20631831884384155,0.29863545298576355,0.20631831884384155,0.15114596486091614,0.31646713614463806,0.05055136978626251,0.2742401659488678,0.3417404592037201,0.17572955787181854,0.3911363482475281,0.3036598861217499,0.13690806925296783,0.2908433973789215,0.05055136978626251,0.1823338270187378
for,0.3609124422073364,0.13376198709011078,-0.04357342794537544,0.1543017327785492,0.43268078565597534,0.22812846302986145,0.4464869201183319,0.5064792633056641,0.2523634135723114,0.43268078565597534,0.28770551085472107,0.4451248347759247,0.44038116931915283,0.363901823759079,0.2447579801082611,0.2661307752132416,0.14582762122154236,0.44038116931915283,0.14582762122154236,0.12921042740345,0.4451248347759247,0.02689496986567974,0.4464869201183319,0.3017193675041199,0.2245149314403534,0.35690054297447205,0.3801851272583008,0.19273287057876587,0.9999999403953552,0.02689496986567974,0.264628142118454
c,0.1479276418685913,0.23143596947193146,-0.043188076466321945,0.16705317795276642,0.21502047777175903,0.13384199142456055,0.2580876350402832,0.22064751386642456,0.15625233948230743,0.21502047777175903,0.14124391973018646,0.1638970822095871,0.23439434170722961,0.12973734736442566,0.14167575538158417,0.1311071813106537,0.14897862076759338,0.23439434170722961,0.14897862076759338,0.10093221068382263,0.1638970822095871,-0.02579747512936592,0.2580876350402832,0.13697408139705658,0.15417388081550598,0.17217868566513062,0.1635768711566925,0.14167647063732147,0.19183452427387238,-0.02579747512936592,0.14264722168445587
