,what,is,an,example,of,a,problem,to,which,effective,algorithms,have,provided,a,solution,in,spite,of,the,intractability,associated,with,the,breadth,of,sizes,?
similarly,0.2804308831691742,0.34101489186286926,0.24816177785396576,0.523338258266449,0.29464200139045715,0.35854077339172363,0.2317853569984436,0.38353443145751953,0.48172226548194885,0.1942770779132843,0.25243979692459106,0.3933500647544861,0.22701771557331085,0.35854077339172363,0.274393767118454,0.31369346380233765,0.26226890087127686,0.29464200139045715,0.33859682083129883,0.2880549430847168,0.39669474959373474,0.3550291955471039,0.33859682083129883,0.26488766074180603,0.29464200139045715,0.2807118594646454,0.23036029934883118
",",0.3087472915649414,0.4691906273365021,0.3581022024154663,0.3094974756240845,0.4946078956127167,0.427140474319458,0.23938199877738953,0.44245919585227966,0.3658004403114319,0.2531147599220276,0.22988320887088776,0.3541618287563324,0.27036961913108826,0.427140474319458,0.2270459234714508,0.5201468467712402,0.2410493940114975,0.4946078956127167,0.4933079481124878,0.22138279676437378,0.27184680104255676,0.4120737314224243,0.4933079481124878,0.29954227805137634,0.4946078956127167,0.23186881840229034,0.31091248989105225
algorithms,0.25635042786598206,0.24730736017227173,0.15792889893054962,0.2905621826648712,0.22317801415920258,0.21237695217132568,0.40899839997291565,0.2158832848072052,0.24994626641273499,0.23955519497394562,0.9999999403953552,0.21621371805667877,0.22011978924274445,0.21237695217132568,0.40277600288391113,0.19189399480819702,0.05612483620643616,0.22317801415920258,0.167828768491745,0.3575947880744934,0.07496894150972366,0.11621308326721191,0.167828768491745,0.2747175097465515,0.22317801415920258,0.3177928626537323,0.186949223279953
can,0.34502777457237244,0.44256699085235596,0.23671309649944305,0.5023694038391113,0.2603091299533844,0.3915780484676361,0.36370179057121277,0.4979398250579834,0.41132649779319763,0.3118162751197815,0.2971729338169098,0.5489245653152466,0.2639719247817993,0.3915780484676361,0.35933056473731995,0.26527702808380127,0.1932334303855896,0.2603091299533844,0.312528520822525,0.3824913799762726,0.23185616731643677,0.3572797477245331,0.312528520822525,0.32611456513404846,0.2603091299533844,0.39535191655158997,0.3226337134838104
solve,0.3072938323020935,0.21876689791679382,0.11479517817497253,0.29407572746276855,0.15426263213157654,0.1866181194782257,0.5774925351142883,0.2640334367752075,0.21744050085544586,0.21698309481143951,0.49159330129623413,0.31194260716438293,0.1631690263748169,0.1866181194782257,0.5025532245635986,0.14587397873401642,0.1425752192735672,0.15426263213157654,0.16557666659355164,0.27701106667518616,0.07281696796417236,0.22379647195339203,0.16557666659355164,0.1547878384590149,0.15426263213157654,0.21066775918006897,0.27457404136657715
the,0.42745697498321533,0.5823672413825989,0.4207492768764496,0.3755223751068115,0.733189046382904,0.5829201340675354,0.24928659200668335,0.535392165184021,0.6521818041801453,0.23741452395915985,0.167828768491745,0.40389683842658997,0.304488867521286,0.5829201340675354,0.20422548055648804,0.6662389636039734,0.2700543701648712,0.733189046382904,1.0,0.30928099155426025,0.2742886245250702,0.4223487675189972,1.0,0.30516237020492554,0.733189046382904,0.20901863276958466,0.22068053483963013
np-complete,0.28050094842910767,0.22069956362247467,0.20819604396820068,0.23207968473434448,0.2697024643421173,0.28990697860717773,0.2782294750213623,0.24762758612632751,0.3334009647369385,0.2705089747905731,0.2766904830932617,0.25890517234802246,0.2782430946826935,0.28990697860717773,0.24695809185504913,0.22477759420871735,0.21219150722026825,0.2697024643421173,0.27450188994407654,0.3177739381790161,0.15645650029182434,0.22193770110607147,0.27450188994407654,0.18943071365356445,0.2697024643421173,0.16168563067913055,0.16391170024871826
knapsack,0.29606178402900696,0.3217602074146271,0.26185688376426697,0.3743301331996918,0.21255260705947876,0.3530760407447815,0.4065920114517212,0.24696992337703705,0.377321720123291,0.253627747297287,0.41401273012161255,0.3181261122226715,0.1801425665616989,0.3530760407447815,0.2990114390850067,0.22724395990371704,0.21169094741344452,0.21255260705947876,0.29556024074554443,0.4219757616519928,0.19238349795341492,0.24144023656845093,0.29556024074554443,0.3710949718952179,0.21255260705947876,0.34218358993530273,0.23956666886806488
problem,0.42183366417884827,0.23238427937030792,0.21292734146118164,0.3561607897281647,0.20464475452899933,0.2605542540550232,1.0,0.2502208352088928,0.309948593378067,0.3089003264904022,0.40899839997291565,0.3683631420135498,0.2736993432044983,0.2605542540550232,0.5411272048950195,0.16969570517539978,0.18031512200832367,0.20464475452899933,0.24928659200668335,0.42249947786331177,0.18436965346336365,0.2717578709125519,0.24928659200668335,0.19323812425136566,0.20464475452899933,0.22835102677345276,0.3762950301170349
over,0.28007611632347107,0.2159561663866043,0.22070914506912231,0.22552378475666046,0.36136594414711,0.32199642062187195,0.22672554850578308,0.38635820150375366,0.4256240129470825,0.21524113416671753,0.1276031881570816,0.41283175349235535,0.21028323471546173,0.32199642062187195,0.18332311511039734,0.3605569899082184,0.2844741642475128,0.36136594414711,0.39856547117233276,0.24495059251785278,0.20861297845840454,0.34885337948799133,0.39856547117233276,0.23515169322490692,0.36136594414711,0.21121032536029816,0.25742942094802856
