,what,individuals,were,responsible,for,authoring,``,on,the,computational,complexity,of,algorithms,'',?
as,0.31749409437179565,0.2704373896121979,0.3025437891483307,0.25070908665657043,0.44774648547172546,0.30324509739875793,0.03910288214683533,0.36047765612602234,0.48381632566452026,0.22144010663032532,0.22960948944091797,0.3886612355709076,0.19219911098480225,0.006628023460507393,0.27043893933296204
fortnow,0.29597964882850647,0.16708648204803467,0.24947987496852875,0.10902237892150879,0.3618793487548828,0.267606258392334,0.12967245280742645,0.3047797381877899,0.3678761422634125,0.20773163437843323,0.2152298390865326,0.3050440549850464,0.18062937259674072,-0.0807800143957138,0.3341735005378723
&,0.11141876131296158,0.04901677742600441,0.1205248013138771,0.11143627762794495,0.15479104220867157,0.13272036612033844,-0.14380550384521484,0.14816857874393463,0.14992168545722961,0.1206808090209961,0.08332202583551407,0.19900451600551605,0.006509350147098303,-0.007392024155706167,0.12596383690834045
homer,0.2158709019422531,0.1478857398033142,0.16593563556671143,0.11342642456293106,0.1973603069782257,0.16523325443267822,-0.036466557532548904,0.18908865749835968,0.2741315960884094,0.15274463593959808,0.15221256017684937,0.1901351362466812,0.20082877576351166,0.0325995609164238,0.15117451548576355
(,0.2411840260028839,0.13270869851112366,0.14743882417678833,0.1511021852493286,0.3357032239437103,0.20047523081302643,0.15585018694400787,0.28656116127967834,0.33289089798927307,0.2595787048339844,0.19830146431922913,0.35032153129577637,0.12209267914295197,-0.022970275953412056,0.40561532974243164
2003,-0.17906495928764343,-0.15170161426067352,-0.16775040328502655,-0.17069660127162933,-0.12971410155296326,-0.11961928009986877,-0.22453573346138,-0.06728295981884003,-0.14761915802955627,-0.16794432699680328,-0.13057999312877655,-0.16871118545532227,-0.11280437558889389,0.034303609281778336,-0.17560148239135742
),0.26259949803352356,0.11222387105226517,0.1566188633441925,0.1484149545431137,0.3639558255672455,0.1985250860452652,0.1698397845029831,0.29937487840652466,0.3456730246543884,0.2728332579135895,0.21122688055038452,0.3680361211299896,0.1253371387720108,-0.028269650414586067,0.42300865054130554
point,0.3286605179309845,0.1784258633852005,0.14709797501564026,0.17392778396606445,0.22027306258678436,0.18372172117233276,0.13949355483055115,0.24115808308124542,0.3084787130355835,0.24899214506149292,0.2815278172492981,0.269877165555954,0.16003702580928802,0.0178954117000103,0.19189560413360596
out,0.3633197546005249,0.20215125381946564,0.3354760408401489,0.2330726981163025,0.3312093913555145,0.23468130826950073,0.024644849821925163,0.39060163497924805,0.39404502511024475,0.2345632016658783,0.2140352427959442,0.34176841378211975,0.1920805424451828,0.019159367308020592,0.22020699083805084
",",0.3087472915649414,0.18873384594917297,0.36755475401878357,0.2192283272743225,0.4464869201183319,0.240912526845932,0.09681109338998795,0.49057599902153015,0.4933079481124878,0.28742313385009766,0.27822354435920715,0.4946078956127167,0.22988320887088776,-0.037358131259679794,0.31091248989105225
the,0.42745697498321533,0.3022412955760956,0.3906462490558624,0.3305104374885559,0.4739971458911896,0.32132667303085327,0.029072100296616554,0.5107308030128479,1.0,0.18477948009967804,0.21171598136425018,0.733189046382904,0.167828768491745,0.041273195296525955,0.22068053483963013
