,what,has,started,to,change,the,way,teachers,teach,in,the,classroom,",",generally,?
the,0.42745697498321533,0.4177538752555847,0.3222070634365082,0.535392165184021,0.3641999065876007,1.0,0.36217406392097473,0.22025763988494873,0.1966347098350525,0.6662389636039734,1.0,0.18035247921943665,0.4933079481124878,0.41466525197029114,0.22068053483963013
increasing,0.2066856026649475,0.311989963054657,0.18520598113536835,0.35017409920692444,0.344909131526947,0.34958165884017944,0.27192482352256775,0.17458657920360565,0.17885711789131165,0.2580164670944214,0.34958165884017944,0.2183353304862976,0.17428427934646606,0.32289162278175354,0.0681626945734024
use,0.3453877568244934,0.2701425552368164,0.22592072188854218,0.47261837124824524,0.41062748432159424,0.34342584013938904,0.43530192971229553,0.18399788439273834,0.34886372089385986,0.2715643048286438,0.34342584013938904,0.23663263022899628,0.3276674151420593,0.45139849185943604,0.32795652747154236
of,0.33290785551071167,0.3909035325050354,0.22928385436534882,0.41548454761505127,0.2569013833999634,0.733189046382904,0.266871839761734,0.27737662196159363,0.2383975088596344,0.5696388483047485,0.733189046382904,0.18854095041751862,0.4946078956127167,0.3127037584781647,0.1826142966747284
technology,0.1940862536430359,0.21032026410102844,0.17158901691436768,0.25372135639190674,0.2186405509710312,0.21669498085975647,0.21795177459716797,0.2217952013015747,0.2463679015636444,0.24215441942214966,0.21669498085975647,0.26581236720085144,0.2817870080471039,0.15966586768627167,0.11564995348453522
",",0.3087472915649414,0.3734780251979828,0.32632124423980713,0.44245919585227966,0.2752361297607422,0.4933079481124878,0.2861018478870392,0.28049156069755554,0.22192275524139404,0.5201468467712402,0.4933079481124878,0.19432392716407776,1.0000001192092896,0.29679131507873535,0.31091248989105225
specifically,0.37581726908683777,0.22357237339019775,0.1615033745765686,0.4197046458721161,0.3185173571109772,0.3760298490524292,0.3073839247226715,0.14495602250099182,0.20671996474266052,0.2524903118610382,0.3760298490524292,0.2408732920885086,0.23526887595653534,0.5289291143417358,0.2063003033399582
the,0.42745697498321533,0.4177538752555847,0.3222070634365082,0.535392165184021,0.3641999065876007,1.0,0.36217406392097473,0.22025763988494873,0.1966347098350525,0.6662389636039734,1.0,0.18035247921943665,0.4933079481124878,0.41466525197029114,0.22068053483963013
rise,0.23887591063976288,0.14672429859638214,0.16355639696121216,0.23256368935108185,0.22132831811904907,0.3404741883277893,0.15027177333831787,0.12401384860277176,0.11450573801994324,0.1934409737586975,0.3404741883277893,0.16965483129024506,0.2350703477859497,0.23871229588985443,0.10799103230237961
of,0.33290785551071167,0.3909035325050354,0.22928385436534882,0.41548454761505127,0.2569013833999634,0.733189046382904,0.266871839761734,0.27737662196159363,0.2383975088596344,0.5696388483047485,0.733189046382904,0.18854095041751862,0.4946078956127167,0.3127037584781647,0.1826142966747284
the,0.42745697498321533,0.4177538752555847,0.3222070634365082,0.535392165184021,0.3641999065876007,1.0,0.36217406392097473,0.22025763988494873,0.1966347098350525,0.6662389636039734,1.0,0.18035247921943665,0.4933079481124878,0.41466525197029114,0.22068053483963013
internet,0.1770392656326294,0.15281544625759125,0.2032078504562378,0.21228709816932678,0.21059642732143402,0.2156122475862503,0.2007533609867096,0.17873209714889526,0.13947974145412445,0.15279750525951385,0.2156122475862503,0.2355530709028244,0.17182038724422455,0.17834500968456268,0.23314887285232544
over,0.28007611632347107,0.370955228805542,0.28842493891716003,0.38635820150375366,0.19431759417057037,0.39856547117233276,0.3033236265182495,0.16751357913017273,0.15862597525119781,0.3605569899082184,0.39856547117233276,0.1557578146457672,0.3301127254962921,0.3679150342941284,0.25742942094802856
the,0.42745697498321533,0.4177538752555847,0.3222070634365082,0.535392165184021,0.3641999065876007,1.0,0.36217406392097473,0.22025763988494873,0.1966347098350525,0.6662389636039734,1.0,0.18035247921943665,0.4933079481124878,0.41466525197029114,0.22068053483963013
past,0.3538547456264496,0.3907585144042969,0.1826375126838684,0.3031400740146637,0.25906193256378174,0.2747827172279358,0.3398461639881134,0.18029165267944336,0.19881416857242584,0.24275542795658112,0.2747827172279358,0.14237913489341736,0.25483980774879456,0.31981968879699707,0.2598046660423279
decade,0.1613653302192688,0.20074307918548584,0.22341388463974,0.16759321093559265,0.20289954543113708,0.2552448511123657,0.2181348353624344,0.09239134937524796,0.09920516610145569,0.2119923084974289,0.2552448511123657,0.18085388839244843,0.18535472452640533,0.22498819231987,0.11237446963787079
",",0.3087472915649414,0.3734780251979828,0.32632124423980713,0.44245919585227966,0.2752361297607422,0.4933079481124878,0.2861018478870392,0.28049156069755554,0.22192275524139404,0.5201468467712402,0.4933079481124878,0.19432392716407776,1.0000001192092896,0.29679131507873535,0.31091248989105225
has,0.20338068902492523,1.0,0.1484856754541397,0.3619994819164276,0.2470555454492569,0.4177538752555847,0.2585064768791199,0.14576952159404755,0.15105439722537994,0.4173259735107422,0.4177538752555847,0.17418037354946136,0.3734780251979828,0.33076077699661255,0.15994466841220856
begun,0.2296452522277832,0.19045795500278473,0.5441744923591614,0.22838421165943146,0.14351744949817657,0.2750677764415741,0.23904085159301758,0.21560977399349213,0.16680826246738434,0.2913682758808136,0.2750677764415741,0.2790115773677826,0.24253425002098083,0.179857537150383,0.13816508650779724
to,0.455847829580307,0.3619994819164276,0.24973157048225403,1.0,0.3581787943840027,0.535392165184021,0.4772548973560333,0.2668606638908386,0.36650484800338745,0.45010748505592346,0.535392165184021,0.2640056908130646,0.44245919585227966,0.3871513605117798,0.29463258385658264
shape,0.26758873462677,0.2542473077774048,0.11004847288131714,0.2912862002849579,0.3620704710483551,0.29087939858436584,0.37569913268089294,0.10583844780921936,0.10008084774017334,0.193584606051445,0.29087939858436584,0.17144018411636353,0.224068284034729,0.3173407018184662,0.11426173895597458
the,0.42745697498321533,0.4177538752555847,0.3222070634365082,0.535392165184021,0.3641999065876007,1.0,0.36217406392097473,0.22025763988494873,0.1966347098350525,0.6662389636039734,1.0,0.18035247921943665,0.4933079481124878,0.41466525197029114,0.22068053483963013
way,0.4835909903049469,0.2585064768791199,0.25265467166900635,0.4772548973560333,0.3222682774066925,0.36217406392097473,1.0,0.15375399589538574,0.2803021967411041,0.30444321036338806,0.36217406392097473,0.20101413130760193,0.2861018478870392,0.36364659667015076,0.31575819849967957
teachers,0.2526462972164154,0.14576952159404755,0.29643499851226807,0.2668606638908386,0.14727000892162323,0.22025763988494873,0.15375399589538574,1.0,0.672313392162323,0.2128150761127472,0.22025763988494873,0.49553152918815613,0.28049156069755554,0.23109376430511475,0.19522249698638916
approach,0.2636874318122864,0.17773613333702087,0.13231630623340607,0.33169451355934143,0.21983520686626434,0.1999826431274414,0.33768540620803833,0.20817972719669342,0.27132049202919006,0.17494414746761322,0.1999826431274414,0.24179139733314514,0.3155236542224884,0.23521509766578674,0.181949645280838
their,0.35142919421195984,0.2814009487628937,0.25886136293411255,0.44619059562683105,0.28483736515045166,0.516537070274353,0.34286630153656006,0.2814970314502716,0.28216105699539185,0.34976133704185486,0.516537070274353,0.27707019448280334,0.3045167922973633,0.3984978497028351,0.1898253709077835
roles,0.19272974133491516,0.15781185030937195,0.1393069624900818,0.12376586347818375,0.15240512788295746,0.20862428843975067,0.16229943931102753,0.18259797990322113,0.12755826115608215,0.22586841881275177,0.20862428843975067,0.2072538435459137,0.2475985884666443,0.16740354895591736,0.1763966977596283
in,0.30808621644973755,0.4173259735107422,0.3199414014816284,0.45010748505592346,0.2510564923286438,0.6662389636039734,0.30444321036338806,0.2128150761127472,0.23312166333198547,1.0,0.6662389636039734,0.215206578373909,0.5201468467712402,0.28190043568611145,0.20430970191955566
the,0.42745697498321533,0.4177538752555847,0.3222070634365082,0.535392165184021,0.3641999065876007,1.0,0.36217406392097473,0.22025763988494873,0.1966347098350525,0.6662389636039734,1.0,0.18035247921943665,0.4933079481124878,0.41466525197029114,0.22068053483963013
classroom,0.2124699205160141,0.17418037354946136,0.20440661907196045,0.2640056908130646,0.1926308572292328,0.18035247921943665,0.20101413130760193,0.49553152918815613,0.4506356716156006,0.215206578373909,0.18035247921943665,1.0,0.19432392716407776,0.24135205149650574,0.23190370202064514
.,0.3567904531955719,0.4105546176433563,0.3230702877044678,0.4645031690597534,0.3244723975658417,0.5934505462646484,0.33520638942718506,0.24628326296806335,0.2642667293548584,0.5591574311256409,0.5934505462646484,0.20956985652446747,0.6812511086463928,0.3124077022075653,0.4130953550338745
