,what,type,of,curricula,is,it,that,a,teacher,may,likely,follow,?
a,0.3320399522781372,0.3813284635543823,0.5052502155303955,0.1977459341287613,0.658733606338501,0.5452592968940735,0.47537946701049805,1.0,0.31202319264411926,0.29255667328834534,0.3132456839084625,0.26547971367836,0.23916715383529663
teacher,0.20492632687091827,0.13493123650550842,0.19968076050281525,0.3486440181732178,0.2001669555902481,0.18879914283752441,0.1985531747341156,0.31202319264411926,0.9999998807907104,0.15417979657649994,0.07109900563955307,0.18398725986480713,0.1797819435596466
may,0.25739946961402893,0.1642589271068573,0.26447007060050964,0.1760512739419937,0.322792649269104,0.30672433972358704,0.4234136641025543,0.29255667328834534,0.15417979657649994,0.9999998807907104,0.36753666400909424,0.175099715590477,0.2768254578113556
follow,0.40711089968681335,0.16043582558631897,0.26846790313720703,0.24990814924240112,0.23358136415481567,0.28687411546707153,0.428226113319397,0.26547971367836,0.18398725986480713,0.175099715590477,0.21186409890651703,1.0,0.26102155447006226
standardized,0.22466516494750977,0.23093292117118835,0.22872188687324524,0.2531678080558777,0.20888830721378326,0.2525896728038788,0.3150653541088104,0.2846675217151642,0.133775994181633,0.14506003260612488,0.20670273900032043,0.3126221299171448,0.16858142614364624
curricula,0.20398981869220734,0.11437708884477615,0.24128995835781097,1.0,0.17554807662963867,0.19461573660373688,0.16227443516254425,0.1977459341287613,0.3486440181732178,0.1760512739419937,0.1549575924873352,0.24990814924240112,0.2641845941543579
as,0.31749409437179565,0.19307732582092285,0.3886612355709076,0.23292405903339386,0.43216490745544434,0.4461488723754883,0.4735107421875,0.39550232887268066,0.27420735359191895,0.32133710384368896,0.24862262606620789,0.30632978677749634,0.27043893933296204
determined,0.2784222662448883,0.14618659019470215,0.3115927577018738,0.14829088747501373,0.2253464162349701,0.22493480145931244,0.3871386647224426,0.3001842796802521,0.14048197865486145,0.21828995645046234,0.33445248007774353,0.29364630579948425,0.19379007816314697
by,0.2455483376979828,0.15232881903648376,0.3646814823150635,0.13026830554008484,0.3899846076965332,0.40926623344421387,0.37496164441108704,0.32094135880470276,0.16136689484119415,0.1970296949148178,0.22235819697380066,0.24387645721435547,0.17966607213020325
the,0.42745697498321533,0.21819381415843964,0.733189046382904,0.2117113620042801,0.5823672413825989,0.6251175999641418,0.5473989248275757,0.5829201340675354,0.17760860919952393,0.2694292366504669,0.28129076957702637,0.3197029232978821,0.22068053483963013
relevant,0.41105255484580994,0.21906797587871552,0.27652084827423096,0.24761416018009186,0.2515393793582916,0.2852874994277954,0.3857395648956299,0.2772544026374817,0.16383583843708038,0.2453259527683258,0.38686636090278625,0.3367319405078888,0.37889617681503296
authority,0.23046736419200897,0.11715258657932281,0.28063252568244934,0.20741945505142212,0.20664075016975403,0.21199873089790344,0.29481130838394165,0.21713398396968842,0.16227370500564575,0.12715063989162445,0.16169367730617523,0.24038049578666687,0.18404170870780945
.,0.3567904531955719,0.23195341229438782,0.5352458953857422,0.2118563950061798,0.4569662809371948,0.5593622326850891,0.4460422694683075,0.50484299659729,0.225234717130661,0.35826805233955383,0.26822179555892944,0.3185402452945709,0.4130953550338745
