,what,does,a,teacher,teach,in,primary,school,?
in,0.30808621644973755,0.214483380317688,0.539380669593811,0.22632350027561188,0.23312166333198547,1.0,0.21150650084018707,0.26157811284065247,0.20430970191955566
primary,0.2113915979862213,0.24340936541557312,0.23038449883460999,0.2691154479980469,0.2986754775047302,0.21150650084018707,1.0,0.4102175533771515,0.16286636888980865
schools,0.1820785105228424,0.19430282711982727,0.2118925303220749,0.40885695815086365,0.47762948274612427,0.2632134258747101,0.38384848833084106,0.7602541446685791,0.18349280953407288
each,0.3353266417980194,0.31699198484420776,0.434999018907547,0.1228463426232338,0.26623159646987915,0.30816060304641724,0.18571121990680695,0.04412925988435745,0.21173812448978424
class,0.16880196332931519,0.11460405588150024,0.23462694883346558,0.24741962552070618,0.2030939757823944,0.1761927455663681,0.1234913319349289,0.24335022270679474,0.12778934836387634
has,0.20338068902492523,0.42885294556617737,0.4670248031616211,0.16918911039829254,0.15105439722537994,0.4173259735107422,0.18147581815719604,0.1724022775888443,0.15994466841220856
a,0.3320399522781372,0.38201746344566345,1.0,0.31202319264411926,0.18608243763446808,0.539380669593811,0.23038449883460999,0.2245093584060669,0.23916715383529663
teacher,0.20492632687091827,0.1430262327194214,0.31202319264411926,0.9999998807907104,0.6285144090652466,0.22632350027561188,0.2691154479980469,0.5442529320716858,0.1797819435596466
who,0.40942975878715515,0.25013914704322815,0.36608949303627014,0.35707929730415344,0.3465370237827301,0.2792111933231354,0.15416203439235687,0.21669194102287292,0.26220351457595825
stays,0.2294478714466095,0.40403449535369873,0.31746846437454224,0.15558066964149475,0.0635610818862915,0.18590523302555084,0.1357140839099884,0.1299746185541153,0.1379946619272232
with,0.2464839518070221,0.26186925172805786,0.3783375024795532,0.13737362623214722,0.19712631404399872,0.4080928862094879,0.16595536470413208,0.13135014474391937,0.2433311939239502
them,0.4994642734527588,0.35492652654647827,0.3151612877845764,0.20683510601520538,0.3651631474494934,0.29119014739990234,0.15857012569904327,0.16200685501098633,0.35435691475868225
for,0.3017193675041199,0.35159170627593994,0.44038116931915283,0.23373261094093323,0.31015744805336,0.4322226941585541,0.2533470094203949,0.18618352711200714,0.264628142118454
most,0.3219912350177765,0.30044323205947876,0.3508910834789276,0.13949039578437805,0.19896134734153748,0.41416558623313904,0.21846334636211395,0.13605839014053345,0.2107497900724411
of,0.33290785551071167,0.3119818866252899,0.5052502155303955,0.19968076050281525,0.2383975088596344,0.5696388483047485,0.23414276540279388,0.2391800880432129,0.1826142966747284
the,0.42745697498321533,0.35928019881248474,0.5829201340675354,0.17760860919952393,0.1966347098350525,0.6662389636039734,0.25688621401786804,0.22953221201896667,0.22068053483963013
week,0.2483774870634079,0.17134185135364532,0.20796456933021545,0.18007561564445496,0.19732727110385895,0.2674444317817688,0.09134306758642197,0.18670061230659485,0.25105318427085876
and,0.31309178471565247,0.3461615741252899,0.3739250600337982,0.27571162581443787,0.27376773953437805,0.4954058527946472,0.2539214491844177,0.2752758264541626,0.20544172823429108
will,0.3510494530200958,0.583926260471344,0.3401327431201935,0.1587311178445816,0.250504732131958,0.2580665349960327,0.18756532669067383,0.13735665380954742,0.35046905279159546
teach,0.2818700671195984,0.24951143562793732,0.18608243763446808,0.6285144090652466,1.0000001192092896,0.23312166333198547,0.2986754775047302,0.4499453604221344,0.24188745021820068
them,0.4994642734527588,0.35492652654647827,0.3151612877845764,0.20683510601520538,0.3651631474494934,0.29119014739990234,0.15857012569904327,0.16200685501098633,0.35435691475868225
the,0.42745697498321533,0.35928019881248474,0.5829201340675354,0.17760860919952393,0.1966347098350525,0.6662389636039734,0.25688621401786804,0.22953221201896667,0.22068053483963013
whole,0.38441845774650574,0.3298923075199127,0.4061710238456726,0.16973288357257843,0.1715182214975357,0.30267009139060974,0.1922769546508789,0.14827856421470642,0.21052291989326477
curriculum,0.21728472411632538,0.19125805795192719,0.19520382583141327,0.3921257257461548,0.3940769135951996,0.2303178757429123,0.29690417647361755,0.478081077337265,0.24092517793178558
.,0.3567904531955719,0.3022993505001068,0.50484299659729,0.225234717130661,0.2642667293548584,0.5591574311256409,0.22422198951244354,0.24214158952236176,0.4130953550338745
