,is,corporal,punishment,increasing,or,declining,in,the,south,?
it,0.6328473687171936,0.1397869884967804,0.24223963916301727,0.22851604223251343,0.36389440298080444,0.2527424395084381,0.5130809545516968,0.6251175999641418,0.28465771675109863,0.25732165575027466
is,1.0,0.13202491402626038,0.22508563101291656,0.21545660495758057,0.41870999336242676,0.15526990592479706,0.5394441485404968,0.5823672413825989,0.27680471539497375,0.22961433231830597
still,0.3574111759662628,0.14199551939964294,0.1986568421125412,0.2724248766899109,0.30148130655288696,0.33545181155204773,0.3424699008464813,0.40142056345939636,0.23613229393959045,0.3039587736129761
used,0.3288823366165161,0.1742590367794037,0.19342991709709167,0.2699124813079834,0.4951852560043335,0.16902989149093628,0.3090210556983948,0.3718377649784088,0.14421887695789337,0.22430120408535004
to,0.42745086550712585,0.15775661170482635,0.208286851644516,0.35017409920692444,0.38921234011650085,0.30182603001594543,0.45010748505592346,0.535392165184021,0.25657615065574646,0.29463258385658264
a,0.658733606338501,0.1676696091890335,0.1934642344713211,0.2511899173259735,0.48853766918182373,0.2245260328054428,0.539380669593811,0.5829201340675354,0.23680485785007477,0.23916715383529663
significant,0.2283884435892105,0.07962467521429062,0.16151100397109985,0.4019550681114197,0.2925649881362915,0.3696928918361664,0.3551969528198242,0.35524800419807434,0.1809530407190323,0.18679562211036682
(,0.35393038392066956,0.19582751393318176,0.11360079050064087,0.07296528667211533,0.3582012951374054,0.19123102724552155,0.3087427020072937,0.33289089798927307,0.2013198882341385,0.40561532974243164
though,0.3265945613384247,0.14779964089393616,0.22568419575691223,0.2768656313419342,0.37712720036506653,0.2828924059867859,0.3193182945251465,0.38776206970214844,0.19211947917938232,0.3188856542110443
declining,0.15526990592479706,0.13395105302333832,0.20595519244670868,0.4487419128417969,0.18890079855918884,0.9999999403953552,0.2863956391811371,0.3269357681274414,0.1096021980047226,0.1608004868030548
),0.37732169032096863,0.18031108379364014,0.12738631665706635,0.07821885496377945,0.3706604242324829,0.20009787380695343,0.3326910734176636,0.3456730246543884,0.2002217173576355,0.42300865054130554
degree,0.18510471284389496,0.14067111909389496,0.15804840624332428,0.2143382877111435,0.23125790059566498,0.167032852768898,0.28089648485183716,0.20765221118927002,0.14256946742534637,0.1060895025730133
in,0.5394441485404968,0.15530824661254883,0.19258901476860046,0.2580164670944214,0.3586423695087433,0.2863956391811371,1.0,0.6662389636039734,0.33642083406448364,0.20430970191955566
some,0.3038453459739685,0.13640184700489044,0.2556392252445221,0.3565180003643036,0.5009974837303162,0.23272669315338135,0.4010399878025055,0.4566698372364044,0.2105838507413864,0.2562315762042999
public,0.1980048567056656,0.19141921401023865,0.2614424228668213,0.24669091403484344,0.23869332671165466,0.2826501727104187,0.29074716567993164,0.22857438027858734,0.21266449987888336,0.19872993230819702
schools,0.2022145688533783,0.21419920027256012,0.18592701852321625,0.16402707993984222,0.23524631559848785,0.23645107448101044,0.2632134258747101,0.22905772924423218,0.2044089287519455,0.18349280953407288
in,0.5394441485404968,0.15530824661254883,0.19258901476860046,0.2580164670944214,0.3586423695087433,0.2863956391811371,1.0,0.6662389636039734,0.33642083406448364,0.20430970191955566
alabama,0.14237841963768005,0.20540760457515717,0.20401152968406677,0.1415698081254959,0.19901351630687714,0.1370038241147995,0.2201618254184723,0.2128913402557373,0.2505529522895813,0.1207156553864479
",",0.4691906273365021,0.2217067927122116,0.2216428816318512,0.17428427934646606,0.3769497275352478,0.298132985830307,0.5201468467712402,0.4933079481124878,0.3256652057170868,0.31091248989105225
arkansas,0.1418728232383728,0.2527967691421509,0.13804109394550323,0.09233903139829636,0.16965846717357635,0.10616112500429153,0.2390805035829544,0.17662687599658966,0.30748462677001953,0.13853752613067627
",",0.4691906273365021,0.2217067927122116,0.2216428816318512,0.17428427934646606,0.3769497275352478,0.298132985830307,0.5201468467712402,0.4933079481124878,0.3256652057170868,0.31091248989105225
georgia,0.12904848158359528,0.1048421636223793,0.12296930700540543,0.10247433930635452,0.15875504910945892,0.07994280010461807,0.21840400993824005,0.22469212114810944,0.3307478427886963,0.14345775544643402
",",0.4691906273365021,0.2217067927122116,0.2216428816318512,0.17428427934646606,0.3769497275352478,0.298132985830307,0.5201468467712402,0.4933079481124878,0.3256652057170868,0.31091248989105225
louisiana,0.15530970692634583,0.1799287050962448,0.1276816576719284,0.12381871789693832,0.2009764164686203,0.1282276213169098,0.21126049757003784,0.21666446328163147,0.21655382215976715,0.12383037805557251
",",0.4691906273365021,0.2217067927122116,0.2216428816318512,0.17428427934646606,0.3769497275352478,0.298132985830307,0.5201468467712402,0.4933079481124878,0.3256652057170868,0.31091248989105225
mississippi,0.1104302704334259,0.2402610331773758,0.12295258045196533,0.058712054044008255,0.19591224193572998,0.0630420595407486,0.21188393235206604,0.2582274377346039,0.3081014156341553,0.1548103243112564
",",0.4691906273365021,0.2217067927122116,0.2216428816318512,0.17428427934646606,0.3769497275352478,0.298132985830307,0.5201468467712402,0.4933079481124878,0.3256652057170868,0.31091248989105225
oklahoma,0.15179523825645447,0.19810517132282257,0.14766697585582733,0.07201169431209564,0.15831875801086426,0.0713660717010498,0.23447830975055695,0.20388591289520264,0.2115226536989212,0.17251837253570557
",",0.4691906273365021,0.2217067927122116,0.2216428816318512,0.17428427934646606,0.3769497275352478,0.298132985830307,0.5201468467712402,0.4933079481124878,0.3256652057170868,0.31091248989105225
tennessee,0.08509715646505356,0.17471133172512054,0.1813177913427353,0.11157107353210449,0.15538987517356873,0.1718365103006363,0.24277332425117493,0.23870155215263367,0.24626114964485168,0.12955434620380402
and,0.3859752118587494,0.2243828922510147,0.2325662225484848,0.30800607800483704,0.4713204801082611,0.316722571849823,0.4954058527946472,0.5171257257461548,0.3140619993209839,0.20544172823429108
texas,0.12198375910520554,0.2517227232456207,0.08865899592638016,0.1173003613948822,0.1715376228094101,0.070286326110363,0.24348852038383484,0.2597190737724304,0.21241936087608337,0.13821813464164734
.,0.4569662809371948,0.23281329870224,0.24320337176322937,0.20223422348499298,0.36683785915374756,0.2892216444015503,0.5591574311256409,0.5934505462646484,0.2798699140548706,0.4130953550338745
