,what,is,the,second,aspect,of,teacher,enthusiasm,?
the,0.42745697498321533,0.5823672413825989,1.0,0.4620301127433777,0.24363651871681213,0.733189046382904,0.17760860919952393,0.17474554479122162,0.22068053483963013
three,0.24888746440410614,0.23072560131549835,0.43452659249305725,0.3514942526817322,0.16440358757972717,0.3844621181488037,0.1094457358121872,0.021505918353796005,0.20928427577018738
most,0.3219912350177765,0.41165053844451904,0.47635307908058167,0.2877694070339203,0.2528111934661865,0.4178851246833801,0.13949039578437805,0.2282642275094986,0.2107497900724411
important,0.31164905428886414,0.350485235452652,0.39348116517066956,0.20664995908737183,0.31287261843681335,0.43301743268966675,0.2065788209438324,0.17729711532592773,0.17812499403953552
aspects,0.2789199948310852,0.23535941541194916,0.2620294690132141,0.14086276292800903,0.808395266532898,0.2615640461444855,0.19561411440372467,0.23848944902420044,0.15924711525440216
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.353416383266449,0.26582151651382446,1.0,0.19968076050281525,0.14588777720928192,0.1826142966747284
teacher,0.20492632687091827,0.2001669555902481,0.17760860919952393,0.17858508229255676,0.16889043152332306,0.19968076050281525,0.9999998807907104,0.27789032459259033,0.1797819435596466
enthusiasm,0.24652187526226044,0.14761625230312347,0.17474554479122162,0.17287865281105042,0.2654315233230591,0.14588777720928192,0.27789032459259033,1.0000001192092896,0.20266079902648926
are,0.29724663496017456,0.5330929756164551,0.40399202704429626,0.13331100344657898,0.23882482945919037,0.39081433415412903,0.09182974696159363,0.14140336215496063,0.24591213464736938
enthusiasm,0.24652187526226044,0.14761625230312347,0.17474554479122162,0.17287865281105042,0.2654315233230591,0.14588777720928192,0.27789032459259033,1.0000001192092896,0.20266079902648926
about,0.47976887226104736,0.3532065451145172,0.37995871901512146,0.19715788960456848,0.20445995032787323,0.40939709544181824,0.17599841952323914,0.20577922463417053,0.302409827709198
teaching,0.27416905760765076,0.16213442385196686,0.2182690054178238,0.16313448548316956,0.17073239386081696,0.2911611497402191,0.6199770569801331,0.29055625200271606,0.20424684882164001
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.29927265644073486,0.19605056941509247,0.4946078956127167,0.2884024977684021,0.18466505408287048,0.31091248989105225
enthusiasm,0.24652187526226044,0.14761625230312347,0.17474554479122162,0.17287865281105042,0.2654315233230591,0.14588777720928192,0.27789032459259033,1.0000001192092896,0.20266079902648926
about,0.47976887226104736,0.3532065451145172,0.37995871901512146,0.19715788960456848,0.20445995032787323,0.40939709544181824,0.17599841952323914,0.20577922463417053,0.302409827709198
the,0.42745697498321533,0.5823672413825989,1.0,0.4620301127433777,0.24363651871681213,0.733189046382904,0.17760860919952393,0.17474554479122162,0.22068053483963013
students,0.2380729615688324,0.2124544233083725,0.25268980860710144,0.2044246941804886,0.1470249891281128,0.25513339042663574,0.5254908204078674,0.2087896466255188,0.18017297983169556
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.29927265644073486,0.19605056941509247,0.4946078956127167,0.2884024977684021,0.18466505408287048,0.31091248989105225
and,0.31309178471565247,0.3859752118587494,0.5171257257461548,0.2743909955024719,0.2093125432729721,0.5116966962814331,0.27571162581443787,0.22541356086730957,0.20544172823429108
enthusiasm,0.24652187526226044,0.14761625230312347,0.17474554479122162,0.17287865281105042,0.2654315233230591,0.14588777720928192,0.27789032459259033,1.0000001192092896,0.20266079902648926
about,0.47976887226104736,0.3532065451145172,0.37995871901512146,0.19715788960456848,0.20445995032787323,0.40939709544181824,0.17599841952323914,0.20577922463417053,0.302409827709198
the,0.42745697498321533,0.5823672413825989,1.0,0.4620301127433777,0.24363651871681213,0.733189046382904,0.17760860919952393,0.17474554479122162,0.22068053483963013
subject,0.3828662037849426,0.25386592745780945,0.2387523651123047,0.13991640508174896,0.3994927704334259,0.21533280611038208,0.2078711837530136,0.2076936811208725,0.33952999114990234
matter,0.41697224974632263,0.2508554756641388,0.2957161068916321,0.17371748387813568,0.3119751811027527,0.2804143726825714,0.18490366637706757,0.17581473290920258,0.269619345664978
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.346034437417984,0.21891406178474426,0.5352458953857422,0.225234717130661,0.15115812420845032,0.4130953550338745
