,what,is,something,that,teacher,'s,are,at,a,high,risk,for,?
teachers,0.2526462972164154,0.15701442956924438,0.18671301007270813,0.24071024358272552,0.7334206104278564,0.044750411063432693,0.2565288841724396,0.24201591312885284,0.2509842813014984,0.24631401896476746,0.10351793467998505,0.274332195520401,0.19522249698638916
are,0.29724663496017456,0.5330929756164551,0.2952909469604492,0.45265161991119385,0.09182974696159363,-0.008927806280553341,1.0,0.2074895054101944,0.265255331993103,0.21708175539970398,0.2837918698787689,0.3895993232727051,0.24591213464736938
also,0.42747777700424194,0.5012649297714233,0.34996140003204346,0.6005857586860657,0.23410376906394958,-0.0014726108638569713,0.4565894305706024,0.36980849504470825,0.5149940252304077,0.29454025626182556,0.23833635449409485,0.5373267531394958,0.21848613023757935
at,0.2838611304759979,0.25906258821487427,0.1780950427055359,0.3183255195617676,0.1889720857143402,-0.08481216430664062,0.2074895054101944,1.0,0.3095070421695709,0.2874184250831604,0.18415145576000214,0.34237727522850037,0.21978627145290375
high,0.20466077327728271,0.2383800595998764,0.17582151293754578,0.2400680035352707,0.22143912315368652,-0.04658069461584091,0.21708175539970398,0.2874184250831604,0.22865821421146393,1.0,0.2654072642326355,0.1925620585680008,0.11137914657592773
risk,0.26548051834106445,0.1508130580186844,0.3517236113548279,0.2734156847000122,0.06837097555398941,-0.0686824843287468,0.2837918698787689,0.18415145576000214,0.2041822075843811,0.2654072642326355,1.0000001192092896,0.2539266049861908,0.22318896651268005
for,0.3017193675041199,0.43268078565597534,0.296322762966156,0.4137635827064514,0.23373261094093323,-0.07241261005401611,0.3895993232727051,0.34237727522850037,0.44038116931915283,0.1925620585680008,0.2539266049861908,0.9999999403953552,0.264628142118454
occupational,0.19267335534095764,0.1432134360074997,0.1287553608417511,0.16498081386089325,0.20492523908615112,0.003249000757932663,0.14539676904678345,0.1242346316576004,0.24232584238052368,0.16818861663341522,0.19700504839420319,0.2909276485443115,0.12401652336120605
burnout,0.21601736545562744,0.19236455857753754,0.2527652382850647,0.23403140902519226,0.08966820687055588,0.06839851289987564,0.17447340488433838,0.22205211222171783,0.2555207908153534,0.2620794177055359,0.1781873255968094,0.18435779213905334,0.23128466308116913
.,0.3567904531955719,0.4569662809371948,0.28171658515930176,0.4460422694683075,0.225234717130661,-0.003708066651597619,0.3452940285205841,0.4549728035926819,0.50484299659729,0.24301011860370636,0.19891688227653503,0.4726039469242096,0.4130953550338745
