,who,can,not,be,employed,by,a,school,in,any,manner,?
these,0.34544891119003296,0.4833051562309265,0.5041285753250122,0.4507283866405487,0.248878613114357,0.33332425355911255,0.24380075931549072,0.18179039657115936,0.3791837692260742,0.4693792462348938,0.28375712037086487,0.2571668326854706
procedures,0.2617512047290802,0.3305357098579407,0.35681548714637756,0.31363680958747864,0.2670668959617615,0.16997715830802917,0.21326562762260437,0.17242448031902313,0.15578332543373108,0.36985763907432556,0.4122183620929718,0.2716922461986542
apply,0.2526293098926544,0.370430052280426,0.4323161244392395,0.35704609751701355,0.2518020570278168,0.18892419338226318,0.23401778936386108,0.2035057097673416,0.22638879716396332,0.4329991936683655,0.3073500990867615,0.3161788284778595
to,0.42656609416007996,0.4979398250579834,0.5149973034858704,0.4972836375236511,0.22010761499404907,0.33534231781959534,0.45503583550453186,0.24496325850486755,0.45010748505592346,0.46410247683525085,0.3179336488246918,0.29463258385658264
teaching,0.2535073459148407,0.2164105623960495,0.28950080275535583,0.2096574753522873,0.26491251587867737,0.16832254827022552,0.21643459796905518,0.4717925488948822,0.2659059166908264,0.23059195280075073,0.2894848883152008,0.20424684882164001
and,0.41279885172843933,0.3675691485404968,0.39099299907684326,0.41766801476478577,0.27885523438453674,0.4289871156215668,0.3739250600337982,0.2752758264541626,0.4954058527946472,0.3363793194293976,0.2749654948711395,0.20544172823429108
also,0.47919341921806335,0.4861826002597809,0.4917296767234802,0.48342031240463257,0.3058798313140869,0.3824189305305481,0.5149940252304077,0.2439606934785843,0.5073733329772949,0.44282349944114685,0.2586831748485565,0.21848613023757935
to,0.42656609416007996,0.4979398250579834,0.5149973034858704,0.4972836375236511,0.22010761499404907,0.33534231781959534,0.45503583550453186,0.24496325850486755,0.45010748505592346,0.46410247683525085,0.3179336488246918,0.29463258385658264
non-teaching,0.25990140438079834,0.26322945952415466,0.3800739645957947,0.27632126212120056,0.27225860953330994,0.20937633514404297,0.2591305673122406,0.3852959871292114,0.2821301221847534,0.3353804051876068,0.36066293716430664,0.27727416157722473
posts,0.23757582902908325,0.2262689173221588,0.20046453177928925,0.20434021949768066,0.19867506623268127,0.2387610226869583,0.2115708887577057,0.1815674901008606,0.18348287045955658,0.27878233790397644,0.2847333550453186,0.24504214525222778
and,0.41279885172843933,0.3675691485404968,0.39099299907684326,0.41766801476478577,0.27885523438453674,0.4289871156215668,0.3739250600337982,0.2752758264541626,0.4954058527946472,0.3363793194293976,0.2749654948711395,0.20544172823429108
those,0.44778117537498474,0.4185016453266144,0.49181070923805237,0.4287525415420532,0.2692772448062897,0.32841911911964417,0.24251152575016022,0.1838642805814743,0.3419301211833954,0.5476669669151306,0.37856850028038025,0.3328189253807068
who,0.9999998807907104,0.2602734863758087,0.369414746761322,0.3371641933917999,0.369672030210495,0.39727845788002014,0.36608949303627014,0.21669194102287292,0.2792111933231354,0.29236510396003723,0.27980291843414307,0.26220351457595825
refuse,0.34028223156929016,0.337348610162735,0.445904016494751,0.26977264881134033,0.19110232591629028,0.20828798413276672,0.2521035671234131,0.1664249449968338,0.2069590985774994,0.3572782576084137,0.22208115458488464,0.24834518134593964
vetting,0.277040034532547,0.41002732515335083,0.35379236936569214,0.37057602405548096,0.2540037930011749,0.24774187803268433,0.3629336655139923,0.19526457786560059,0.2515157461166382,0.4182637631893158,0.32172808051109314,0.3237486779689789
``,0.02397952415049076,0.12428006529808044,0.09406080842018127,0.07670000940561295,0.017454467713832855,-0.030704375356435776,0.07272057235240936,-0.05850168690085411,0.04765888676047325,0.14707304537296295,0.11817336082458496,0.0685480609536171
can,0.2602734863758087,1.0,0.49270012974739075,0.5791122913360596,0.2240038514137268,0.29642900824546814,0.3915780484676361,0.09772772341966629,0.26527702808380127,0.5010802745819092,0.3346816599369049,0.3226337134838104
