,what,types,of,teachers,are,retiring,the,most,?
excellent,0.21924185752868652,0.21290059387683868,0.26140400767326355,0.24692443013191223,0.21167664229869843,0.16392618417739868,0.20157980918884277,0.34977635741233826,0.1368298977613449
job,0.29268908500671387,0.10229124873876572,0.2253132164478302,0.3604314625263214,0.17699533700942993,0.34154853224754333,0.24242734909057617,0.1845739185810089,0.22160480916500092
opportunities,0.2428092211484909,0.2246151715517044,0.23166045546531677,0.3733505308628082,0.2680197060108185,0.22846046090126038,0.2523994743824005,0.2628094255924225,0.18024922907352448
are,0.29724663496017456,0.4691450595855713,0.39081433415412903,0.2565288841724396,1.0,0.10453398525714874,0.40399202704429626,0.48698675632476807,0.24591213464736938
expected,0.3720298707485199,0.15327468514442444,0.26944905519485474,0.19099828600883484,0.19028612971305847,0.3032868504524231,0.3108554780483246,0.295771062374115,0.19474582374095917
as,0.31749409437179565,0.2006441354751587,0.3886612355709076,0.24171572923660278,0.3826591968536377,0.2591031491756439,0.48381632566452026,0.3548237979412079,0.27043893933296204
retirements,0.21503892540931702,0.2044922113418579,0.22863252460956573,0.26395246386528015,0.22458390891551971,0.6697559952735901,0.2477254867553711,0.17918729782104492,0.1552659124135971
",",0.3087472915649414,0.24108222126960754,0.4946078956127167,0.28049156069755554,0.4062570035457611,0.26539361476898193,0.4933079481124878,0.3636029064655304,0.31091248989105225
especially,0.3590192496776581,0.3842662274837494,0.37220633029937744,0.2615615427494049,0.4819037914276123,0.11908349394798279,0.39420849084854126,0.6010488867759705,0.19751401245594025
among,0.21154822409152985,0.23137356340885162,0.3679063022136688,0.3286561369895935,0.3811550438404083,0.04334777593612671,0.3507058024406433,0.5484373569488525,0.14343059062957764
secondary,0.20388361811637878,0.17128875851631165,0.219074085354805,0.3669242858886719,0.24611520767211914,0.14757578074932098,0.21037471294403076,0.1875225156545639,0.18118004500865936
school,0.18774057924747467,0.09126044064760208,0.2391800880432129,0.5544193387031555,0.17021894454956055,0.20939518511295319,0.22953221201896667,0.13605839014053345,0.15091250836849213
teachers,0.2526462972164154,0.15843401849269867,0.27737662196159363,1.0,0.2565288841724396,0.1899452954530716,0.22025763988494873,0.23214590549468994,0.19522249698638916
",",0.3087472915649414,0.24108222126960754,0.4946078956127167,0.28049156069755554,0.4062570035457611,0.26539361476898193,0.4933079481124878,0.3636029064655304,0.31091248989105225
outweigh,0.31122130155563354,0.2535656988620758,0.2019873708486557,0.24939307570457458,0.33378666639328003,0.1788215935230255,0.1554172784090042,0.2628646194934845,0.33966806530952454
slowing,0.32273513078689575,0.28042373061180115,0.28170356154441833,0.12631908059120178,0.22971372306346893,0.20593076944351196,0.3665508031845093,0.26768457889556885,0.1642092615365982
enrollment,0.22654405236244202,0.18647928535938263,0.28188642859458923,0.48377394676208496,0.1978006809949875,0.20771172642707825,0.25726771354675293,0.17967015504837036,0.1573069840669632
growth,0.1739405393600464,0.19567404687404633,0.2679378092288971,0.15281669795513153,0.2270549088716507,0.1368846297264099,0.2912366986274719,0.23817776143550873,0.07547862827777863
;,0.10986888408660889,0.016444861888885498,0.054534342139959335,-0.025261476635932922,0.15315808355808258,0.013688628561794758,0.09152708947658539,0.09552082419395447,0.10349778085947037
opportunities,0.2428092211484909,0.2246151715517044,0.23166045546531677,0.3733505308628082,0.2680197060108185,0.22846046090126038,0.2523994743824005,0.2628094255924225,0.18024922907352448
will,0.3510494530200958,0.22212442755699158,0.2473582625389099,0.2233489602804184,0.39387544989585876,0.2159435898065567,0.3635469079017639,0.2386283278465271,0.35046905279159546
vary,0.28041166067123413,0.3882914185523987,0.28326424956321716,0.20575417578220367,0.40634578466415405,0.1189928725361824,0.26695486903190613,0.30417174100875854,0.15120448172092438
by,0.2455483376979828,0.15044783055782318,0.3646814823150635,0.20573484897613525,0.37842893600463867,0.10716015845537186,0.4408751428127289,0.270847886800766,0.17966607213020325
geographic,0.2274789661169052,0.14173008501529694,0.28780654072761536,0.1733752191066742,0.17518463730812073,0.09605661779642105,0.27425166964530945,0.1780332326889038,0.1698596328496933
area,0.21965408325195312,0.13181811571121216,0.3409860134124756,0.12085380405187607,0.25780194997787476,0.12884186208248138,0.37834644317626953,0.2143535614013672,0.12640461325645447
and,0.31309178471565247,0.3014242649078369,0.5116966962814331,0.28640416264533997,0.48576638102531433,0.20558997988700867,0.5171257257461548,0.4309377074241638,0.20544172823429108
subject,0.3828662037849426,0.21635301411151886,0.21533280611038208,0.21206125617027283,0.22845745086669922,0.21532019972801208,0.2387523651123047,0.2587777078151703,0.33952999114990234
taught,0.25590506196022034,0.10766687244176865,0.23614580929279327,0.58847576379776,0.15458330512046814,0.21659529209136963,0.17271466553211212,0.2048518806695938,0.18297621607780457
.,0.3567904531955719,0.2097296416759491,0.5352458953857422,0.24628326296806335,0.3452940285205841,0.2216159999370575,0.5934505462646484,0.35404038429260254,0.4130953550338745
