,what,did,luther,tell,the,legate,about,the,papacy,?
there,0.35085538029670715,0.29736605286598206,0.17028528451919556,0.3218371272087097,0.47025805711746216,0.11102097481489182,0.463201105594635,0.47025805711746216,0.17371626198291779,0.29405656456947327
",",0.3087472915649414,0.3015086054801941,0.23255878686904907,0.29178953170776367,0.4933079481124878,0.23089487850666046,0.3877100944519043,0.4933079481124878,0.1488802284002304,0.31091248989105225
in,0.30808621644973755,0.2593238651752472,0.20523880422115326,0.20067040622234344,0.6662389636039734,0.19136942923069,0.39797019958496094,0.6662389636039734,0.19163338840007782,0.20430970191955566
october,0.24927909672260284,0.2746104896068573,0.1806728094816208,0.14566263556480408,0.2621108889579773,0.18581382930278778,0.16555680334568024,0.2621108889579773,0.16623809933662415,0.29706719517707825
1518,-0.04537641629576683,-0.0804961696267128,0.003967138938605785,-0.040512148290872574,0.04341644421219826,-0.047830235213041306,-0.0881473645567894,0.04341644421219826,-0.009112627245485783,0.0713193267583847
",",0.3087472915649414,0.3015086054801941,0.23255878686904907,0.29178953170776367,0.4933079481124878,0.23089487850666046,0.3877100944519043,0.4933079481124878,0.1488802284002304,0.31091248989105225
under,0.20154598355293274,0.20815621316432953,0.12438619881868362,0.1890614628791809,0.3348022699356079,0.17335282266139984,0.1724463254213333,0.3348022699356079,0.15320314466953278,0.18233340978622437
questioning,0.47625622153282166,0.3129982352256775,0.18168386816978455,0.34256845712661743,0.2718270719051361,0.17974913120269775,0.3134848475456238,0.2718270719051361,0.20620723068714142,0.3922772705554962
by,0.2455483376979828,0.18574509024620056,0.15382802486419678,0.2655458450317383,0.4408751428127289,0.2136414796113968,0.30091190338134766,0.4408751428127289,0.1630348414182663,0.17966607213020325
papal,0.12481020390987396,0.17935830354690552,0.23832891881465912,0.14469008147716522,0.24918924272060394,0.4037315845489502,0.0989699512720108,0.24918924272060394,0.7295178174972534,0.18529073894023895
legate,0.1374686360359192,0.2088811844587326,0.2665371894836426,0.15240585803985596,0.2300969660282135,1.0,0.12591801583766937,0.2300969660282135,0.4349690079689026,0.15272599458694458
cardinal,0.09354610741138458,0.09579680860042572,0.1597520262002945,0.11448647081851959,0.16243581473827362,0.3086448311805725,0.09100979566574097,0.16243581473827362,0.41768673062324524,0.1508612185716629
cajetan,0.15989385545253754,0.20883968472480774,0.31061458587646484,0.17058943212032318,0.303215354681015,0.2921559512615204,0.19771604239940643,0.303215354681015,0.30440470576286316,0.2069098949432373
luther,0.2134782373905182,0.23667675256729126,1.0,0.1689445972442627,0.1759674996137619,0.2665371894836426,0.203048437833786,0.1759674996137619,0.2991804778575897,0.1732746809720993
stated,0.3668954074382782,0.3936442732810974,0.16673965752124786,0.29327136278152466,0.2814950942993164,0.25193947553634644,0.3106665313243866,0.2814950942993164,0.22441574931144714,0.24280361831188202
that,0.6297725439071655,0.47518548369407654,0.21746599674224854,0.40882083773612976,0.5473989248275757,0.16605748236179352,0.4500710964202881,0.5473989248275757,0.19550089538097382,0.32716336846351624
he,0.3114890456199646,0.3292143940925598,0.2454872578382492,0.24354232847690582,0.4571082592010498,0.24614885449409485,0.2518255114555359,0.4571082592010498,0.2704426944255829,0.2089974731206894
did,0.4259131848812103,1.0,0.23667675256729126,0.33053210377693176,0.34736719727516174,0.2088811844587326,0.28723078966140747,0.34736719727516174,0.18356378376483917,0.3023456633090973
not,0.5449194312095642,0.6481515765190125,0.21636232733726501,0.3955385386943817,0.4310511648654938,0.15514740347862244,0.36646416783332825,0.4310511648654938,0.1896260529756546,0.41942933201789856
consider,0.44261306524276733,0.2636986970901489,0.0995694026350975,0.3072504699230194,0.33438587188720703,0.17903448641300201,0.3433537185192108,0.33438587188720703,0.26553788781166077,0.37281370162963867
the,0.42745697498321533,0.34736719727516174,0.1759674996137619,0.3124232590198517,1.0,0.2300969660282135,0.37995871901512146,1.0,0.2202257215976715,0.22068053483963013
papacy,0.13845030963420868,0.18356378376483917,0.2991804778575897,0.11814752966165543,0.2202257215976715,0.4349690079689026,0.15128861367702484,0.2202257215976715,0.9999999403953552,0.18605810403823853
