,what,did,luther,expound,to,be,greater,than,sin,?
on,0.34226128458976746,0.2670976221561432,0.19090485572814941,0.2351904809474945,0.41031414270401,0.37900757789611816,0.15935756266117096,0.2864885926246643,0.11853183805942535,0.2714994251728058
1,-0.21266892552375793,-0.2815930247306824,-0.1791495978832245,-0.22734594345092773,-0.2769182622432709,-0.2923636734485626,-0.041464030742645264,-0.1783061921596527,-0.16420213878154755,-0.249979168176651
august,0.2305731326341629,0.26378265023231506,0.17724208533763885,0.24502333998680115,0.2269229143857956,0.20480798184871674,0.08533041179180145,0.15245459973812103,0.09638895839452744,0.3006744682788849
1521,0.14344896376132965,0.09373841434717178,0.08881302922964096,0.08528284728527069,0.1331201046705246,0.05156166851520538,0.0716935321688652,0.026540622115135193,0.15503433346748352,0.0046399421989917755
",",0.3087472915649414,0.3015086054801941,0.23255878686904907,0.32049548625946045,0.44245919585227966,0.39254459738731384,0.25035545229911804,0.3371901512145996,0.19355511665344238,0.31091248989105225
luther,0.2134782373905182,0.23667675256729126,1.0,0.11549239605665207,0.18029534816741943,0.15299063920974731,0.03304252028465271,0.14714092016220093,0.09982562065124512,0.1732746809720993
wrote,0.2664989233016968,0.3485160768032074,0.24184277653694153,0.1738460212945938,0.18888387084007263,0.18142859637737274,0.15298983454704285,0.17099419236183167,0.08054720610380173,0.19322504103183746
to,0.455847829580307,0.4452643394470215,0.18029534816741943,0.3665536344051361,1.0,0.4972836375236511,0.25585630536079407,0.3192550539970398,0.2076987326145172,0.29463258385658264
melanchthon,0.1285841315984726,0.07751930505037308,0.30344337224960327,0.14026647806167603,0.08310038596391678,0.1127057746052742,0.1290813684463501,0.12141800671815872,0.12153229117393494,0.14275860786437988
on,0.34226128458976746,0.2670976221561432,0.19090485572814941,0.2351904809474945,0.41031414270401,0.37900757789611816,0.15935756266117096,0.2864885926246643,0.11853183805942535,0.2714994251728058
the,0.42745697498321533,0.34736719727516174,0.1759674996137619,0.27591824531555176,0.535392165184021,0.4248143136501312,0.2814446687698364,0.3227543234825134,0.18401655554771423,0.22068053483963013
same,0.3764382302761078,0.3097444474697113,0.21508260071277618,0.26647621393203735,0.3205692768096924,0.3600577712059021,0.1923239529132843,0.33586159348487854,0.20285822451114655,0.22649677097797394
theme,0.24160240590572357,0.12344229966402054,0.17536142468452454,0.15967778861522675,0.20641355216503143,0.22624456882476807,0.11718727648258209,0.16595374047756195,0.22409577667713165,0.21507632732391357
:,-0.12022944539785385,-0.05305134505033493,-0.0567622147500515,-0.06634017080068588,-0.09243495017290115,-0.09417453408241272,-0.07304292917251587,-0.11965936422348022,-0.046093735843896866,-0.07156077772378922
``,0.008517155423760414,-0.029888948425650597,-0.013964727520942688,0.1829708367586136,0.06720756739377975,0.07670000940561295,0.13141363859176636,0.12080201506614685,0.0677720159292221,0.0685480609536171
be,0.3929833769798279,0.22657383978366852,0.15299063920974731,0.3412320911884308,0.4972836375236511,1.0,0.2287398725748062,0.46516597270965576,0.16489247977733612,0.3324260413646698
a,0.3320399522781372,0.2552328109741211,0.17967689037322998,0.2651044726371765,0.45503583550453186,0.39883795380592346,0.20286329090595245,0.3126874566078186,0.20253947377204895,0.23916715383529663
sinner,0.3065337836742401,0.23553375899791718,0.3096146285533905,0.1957559734582901,0.24487416446208954,0.2216271013021469,0.17349247634410858,0.17865633964538574,0.4996146857738495,0.2661270201206207
",",0.3087472915649414,0.3015086054801941,0.23255878686904907,0.32049548625946045,0.44245919585227966,0.39254459738731384,0.25035545229911804,0.3371901512145996,0.19355511665344238,0.31091248989105225
and,0.31309178471565247,0.34479495882987976,0.20796556770801544,0.288166344165802,0.48971283435821533,0.41766801476478577,0.26711440086364746,0.39361441135406494,0.20722192525863647,0.20544172823429108
let,0.4135519564151764,0.4364680051803589,0.2060263454914093,0.2217060923576355,0.4338173568248749,0.3343085050582886,0.11808847635984421,0.2505691349506378,0.2173609435558319,0.36716893315315247
