,what,was,nicholas,storch,?
preachers,0.25719547271728516,0.23510462045669556,0.2423945814371109,0.255405455827713,0.18691442906856537
such,0.23989605903625488,0.12487147748470306,0.06978718936443329,0.11744575202465057,0.17851735651493073
as,0.31749409437179565,0.3677520453929901,0.22396476566791534,0.2028103768825531,0.27043893933296204
zwickau,0.20605064928531647,0.23087860643863678,0.15396595001220703,0.21210257709026337,0.14503100514411926
prophet,0.30057501792907715,0.21951255202293396,0.23688751459121704,0.21842890977859497,0.22816047072410583
nicholas,0.1245560422539711,0.2999419569969177,1.0000001192092896,0.24916552007198334,0.17208030819892883
storch,0.13532592356204987,0.28640130162239075,0.24916552007198334,0.9999998807907104,0.1719537079334259
and,0.31309178471565247,0.3740963041782379,0.17142973840236664,0.2716425359249115,0.20544172823429108
thomas,0.1806955188512802,0.26629963517189026,0.2960992157459259,0.24991808831691742,0.16133050620555878
müntzer,0.13931939005851746,0.29389744997024536,0.19529281556606293,0.3073773682117462,0.16854120790958405
helped,0.1926339715719223,0.384408563375473,0.11670317500829697,0.15781742334365845,0.16572049260139465
instigate,0.246870219707489,0.15073524415493011,0.1815243661403656,0.14177364110946655,0.1600562036037445
the,0.42745697498321533,0.48711544275283813,0.1640765219926834,0.22131173312664032,0.22068053483963013
german,0.1960553526878357,0.26016926765441895,0.19819213449954987,0.22675198316574097,0.13978645205497742
peasants,0.22674663364887238,0.22504645586013794,0.20235465466976166,0.11515222489833832,0.14431370794773102
',0.3245812654495239,0.33675912022590637,0.11634594947099686,0.23969177901744843,0.330942302942276
war,0.22516006231307983,0.3560331463813782,0.21973265707492828,0.19630742073059082,0.15510529279708862
of,0.33290785551071167,0.4069072902202606,0.14635653793811798,0.20249547064304352,0.1826142966747284
1524–25,0.190999373793602,0.04758984223008156,0.025523889809846878,0.02632458508014679,0.21132934093475342
",",0.3087472915649414,0.45456063747406006,0.2065194845199585,0.3266906142234802,0.31091248989105225
during,0.24137552082538605,0.4470829963684082,0.14801838994026184,0.21240341663360596,0.1325719803571701
which,0.5261979103088379,0.2830964922904968,0.16822440922260284,0.18570266664028168,0.25814583897590637
many,0.36131182312965393,0.260356068611145,0.13306750357151031,0.14818838238716125,0.2124512493610382
atrocities,0.2294779270887375,0.19443660974502563,0.1459450125694275,0.12664617598056793,0.2020578682422638
were,0.22298263013362885,0.590133786201477,0.18916922807693481,0.16583500802516937,0.17890112102031708
committed,0.2308928668498993,0.3178342878818512,0.1786365658044815,0.12085253745317459,0.20722328126430511
",",0.3087472915649414,0.45456063747406006,0.2065194845199585,0.3266906142234802,0.31091248989105225
often,0.3849453330039978,0.2700076997280121,0.18651698529720306,0.17649827897548676,0.23748154938220978
in,0.30808621644973755,0.45514053106307983,0.1388292759656906,0.26495906710624695,0.20430970191955566
luther,0.2134782373905182,0.19185513257980347,0.25446566939353943,0.26810961961746216,0.1732746809720993
's,0.02692362666130066,0.008974763564765453,-0.019449034705758095,0.01892719604074955,-0.023395681753754616
name,0.18623162806034088,0.2646567225456238,0.11698891222476959,0.1884372979402542,0.15381577610969543
.,0.3567904531955719,0.40146201848983765,0.24153649806976318,0.22887878119945526,0.4130953550338745
,what,was,nicholas,storch,?
despite,0.1825345903635025,0.3650621473789215,0.0253741517663002,0.12743347883224487,0.14350546896457672
his,0.26976513862609863,0.4405253231525421,0.1772247701883316,0.2923334240913391,0.18075084686279297
victory,0.12667348980903625,0.28069007396698,0.1139490008354187,0.14783011376857758,0.15412560105323792
in,0.30808621644973755,0.45514053106307983,0.1388292759656906,0.26495906710624695,0.20430970191955566
wittenberg,0.15816158056259155,0.23245899379253387,0.33442026376724243,0.2625952661037445,0.15716047585010529
",",0.3087472915649414,0.45456063747406006,0.2065194845199585,0.3266906142234802,0.31091248989105225
luther,0.2134782373905182,0.19185513257980347,0.25446566939353943,0.26810961961746216,0.1732746809720993
was,0.22111038863658905,1.0000001192092896,0.2999419569969177,0.28640130162239075,0.18412111699581146
unable,0.2877064049243927,0.1734246462583542,0.09481455385684967,0.15134884417057037,0.1804998219013214
to,0.455847829580307,0.3636345863342285,0.20172519981861115,0.18288297951221466,0.29463258385658264
stifle,0.2830526828765869,0.24842657148838043,0.1825583428144455,0.2498732954263687,0.22545309364795685
radicalism,0.25964832305908203,0.14994855225086212,0.13934916257858276,0.08041032403707504,0.1581176370382309
further,0.30867868661880493,0.16107149422168732,0.09474127739667892,0.0981539934873581,0.20960763096809387
afield,0.1865539848804474,0.22862228751182556,0.10328805446624756,0.1875682771205902,0.16046123206615448
.,0.3567904531955719,0.40146201848983765,0.24153649806976318,0.22887878119945526,0.4130953550338745
