,what,did,luther,not,mean,for,the,new,mass,to,replace,?
he,0.3114890456199646,0.3292143940925598,0.2454872578382492,0.29440581798553467,0.22143089771270752,0.4540175199508667,0.4571082592010498,0.2739552855491638,0.1783510446548462,0.385390967130661,0.10620240122079849,0.2089974731206894
did,0.4259131848812103,1.0,0.23667675256729126,0.6481515765190125,0.252349317073822,0.318512886762619,0.34736719727516174,0.227974995970726,0.1598033756017685,0.4452643394470215,0.20470131933689117,0.3023456633090973
not,0.5449194312095642,0.6481515765190125,0.21636232733726501,0.9999999403953552,0.38741493225097656,0.39280617237091064,0.4310511648654938,0.219951331615448,0.22646571695804596,0.5149973034858704,0.3188317120075226,0.41942933201789856
intend,0.475740909576416,0.4469245374202728,0.13984757661819458,0.4833693206310272,0.3356287479400635,0.3235481083393097,0.25890758633613586,0.24301448464393616,0.18887723982334137,0.5225459337234497,0.24947240948677063,0.3825792670249939
it,0.45803478360176086,0.2993364930152893,0.15365919470787048,0.4651523232460022,0.30435773730278015,0.32171204686164856,0.6251175999641418,0.23156195878982544,0.2043604701757431,0.513711154460907,0.19596821069717407,0.25732165575027466
as,0.31749409437179565,0.3596470057964325,0.20242992043495178,0.5105602741241455,0.27253609895706177,0.44774648547172546,0.48381632566452026,0.24585270881652832,0.20994383096694946,0.42092081904411316,0.3251611888408661,0.27043893933296204
a,0.3320399522781372,0.2552328109741211,0.17967689037322998,0.3791346549987793,0.3427932858467102,0.44038116931915283,0.5829201340675354,0.3214259147644043,0.21558082103729248,0.45503583550453186,0.20985214412212372,0.23916715383529663
replacement,0.19443123042583466,0.186737060546875,0.0944739356637001,0.27474507689476013,0.13657747209072113,0.3152933418750763,0.27791428565979004,0.19963288307189941,0.12241768836975098,0.3162372410297394,0.7001059651374817,0.14126648008823395
for,0.3017193675041199,0.318512886762619,0.12958186864852905,0.39280617237091064,0.29509902000427246,0.9999999403953552,0.4739971458911896,0.2700757384300232,0.18664062023162842,0.4451248347759247,0.2531587481498718,0.264628142118454
his,0.26976513862609863,0.3546801507472992,0.27093374729156494,0.2710725963115692,0.12527728080749512,0.39312878251075745,0.4394008219242096,0.24132801592350006,0.171666219830513,0.3715193271636963,0.09629172831773758,0.18075084686279297
1523,-0.058873407542705536,-0.12093567103147507,0.004445450380444527,-0.10726572573184967,0.05607074126601219,-0.016432927921414375,-0.06523832678794861,-0.030318710952997208,-0.08382301777601242,-0.08963276445865631,-0.026031384244561195,-0.1076718270778656
adaptation,0.15146222710609436,0.1803693026304245,0.2364390343427658,0.22995121777057648,0.19351251423358917,0.24596548080444336,0.2371719926595688,0.13430432975292206,0.16488420963287354,0.15731778740882874,0.08097916841506958,0.138858363032341
of,0.33290785551071167,0.2513895630836487,0.1719115972518921,0.3307090103626251,0.27551960945129395,0.4185989499092102,0.733189046382904,0.343457967042923,0.26915112137794495,0.41548454761505127,0.15038681030273438,0.1826142966747284
the,0.42745697498321533,0.34736719727516174,0.1759674996137619,0.4310511648654938,0.25977957248687744,0.4739971458911896,1.0,0.3845241069793701,0.2284930944442749,0.535392165184021,0.21257810294628143,0.22068053483963013
latin,0.1759578436613083,0.11352607607841492,0.2115422934293747,0.16350090503692627,0.2658313810825348,0.2160390317440033,0.24914836883544922,0.16978855431079865,0.1948971003293991,0.18086881935596466,0.15312859416007996,0.1303461492061615
mass,0.23905135691165924,0.1598033756017685,0.14408515393733978,0.22646571695804596,0.2534520924091339,0.18664062023162842,0.2284930944442749,0.1902189999818802,1.0000001192092896,0.20907121896743774,0.12034300714731216,0.2076406031847
but,0.5029441118240356,0.49033689498901367,0.20694120228290558,0.6553761959075928,0.3689762353897095,0.45162561535835266,0.4859698414802551,0.2431885451078415,0.2302476018667221,0.5542377829551697,0.31481242179870605,0.27921953797340393
as,0.31749409437179565,0.3596470057964325,0.20242992043495178,0.5105602741241455,0.27253609895706177,0.44774648547172546,0.48381632566452026,0.24585270881652832,0.20994383096694946,0.42092081904411316,0.3251611888408661,0.27043893933296204
an,0.2821882665157318,0.22598257660865784,0.10983039438724518,0.3722182512283325,0.2529090940952301,0.3236706852912903,0.4207492768764496,0.19160676002502441,0.20003743469715118,0.3138085603713989,0.17533667385578156,0.19793890416622162
alternative,0.1948106437921524,0.15411242842674255,0.11828605830669403,0.28340259194374084,0.253434956073761,0.3680151700973511,0.24553248286247253,0.23620885610580444,0.12656566500663757,0.2616310119628906,0.26778551936149597,0.22607778012752533
for,0.3017193675041199,0.318512886762619,0.12958186864852905,0.39280617237091064,0.29509902000427246,0.9999999403953552,0.4739971458911896,0.2700757384300232,0.18664062023162842,0.4451248347759247,0.2531587481498718,0.264628142118454
the,0.42745697498321533,0.34736719727516174,0.1759674996137619,0.4310511648654938,0.25977957248687744,0.4739971458911896,1.0,0.3845241069793701,0.2284930944442749,0.535392165184021,0.21257810294628143,0.22068053483963013
``,0.008517155423760414,-0.029888948425650597,-0.013964727520942688,0.09406080842018127,0.06393398344516754,0.01270448137074709,0.029072100296616554,-0.03575563058257103,0.05638721585273743,0.06720756739377975,0.08062002807855606,0.0685480609536171
simple,0.4218197166919708,0.24971726536750793,0.1415441483259201,0.4411424398422241,0.2701590359210968,0.32954689860343933,0.24738673865795135,0.19802848994731903,0.1714857816696167,0.38820502161979675,0.28456687927246094,0.4614735543727875
people,0.32444337010383606,0.26765021681785583,0.14102250337600708,0.28395727276802063,0.2803288698196411,0.24900002777576447,0.36838498711586,0.2001206874847412,0.1965358406305313,0.37275731563568115,0.1119735985994339,0.23739641904830933
'',0.08143015950918198,0.01978493109345436,-0.04572787508368492,0.04262445494532585,0.08347149938344955,-0.04479556903243065,0.041273195296525955,-0.021915066987276077,-0.0022249165922403336,-0.009905828163027763,0.031191498041152954,0.018684765323996544
",",0.3087472915649414,0.3015086054801941,0.23255878686904907,0.3769696354866028,0.27540135383605957,0.4464869201183319,0.4933079481124878,0.36073189973831177,0.2439754158258438,0.44245919585227966,0.19695894420146942,0.31091248989105225
a,0.3320399522781372,0.2552328109741211,0.17967689037322998,0.3791346549987793,0.3427932858467102,0.44038116931915283,0.5829201340675354,0.3214259147644043,0.21558082103729248,0.45503583550453186,0.20985214412212372,0.23916715383529663
``,0.008517155423760414,-0.029888948425650597,-0.013964727520942688,0.09406080842018127,0.06393398344516754,0.01270448137074709,0.029072100296616554,-0.03575563058257103,0.05638721585273743,0.06720756739377975,0.08062002807855606,0.0685480609536171
public,0.1729622185230255,0.19092120230197906,0.19837835431098938,0.20537999272346497,0.14067471027374268,0.3092794418334961,0.22857438027858734,0.1667426973581314,0.17477592825889587,0.2672370672225952,0.0679725706577301,0.19872993230819702
stimulation,0.24448244273662567,0.12346746772527695,0.09486991167068481,0.2887413203716278,0.2472352236509323,0.23273494839668274,0.27252787351608276,0.14050902426242828,0.23755516111850739,0.25415903329849243,0.10804745554924011,0.12133631855249405
for,0.3017193675041199,0.318512886762619,0.12958186864852905,0.39280617237091064,0.29509902000427246,0.9999999403953552,0.4739971458911896,0.2700757384300232,0.18664062023162842,0.4451248347759247,0.2531587481498718,0.264628142118454
people,0.32444337010383606,0.26765021681785583,0.14102250337600708,0.28395727276802063,0.2803288698196411,0.24900002777576447,0.36838498711586,0.2001206874847412,0.1965358406305313,0.37275731563568115,0.1119735985994339,0.23739641904830933
to,0.455847829580307,0.4452643394470215,0.18029534816741943,0.5149973034858704,0.2274881899356842,0.4451248347759247,0.535392165184021,0.33159172534942627,0.20907121896743774,1.0,0.3497537076473236,0.29463258385658264
believe,0.46656209230422974,0.3557283282279968,0.21247079968452454,0.462744802236557,0.3327723741531372,0.2833847403526306,0.2972484529018402,0.18066634237766266,0.21650083363056183,0.34598591923713684,0.1898227334022522,0.3329349160194397
and,0.31309178471565247,0.34479495882987976,0.20796556770801544,0.39099299907684326,0.22596950829029083,0.5064792633056641,0.5171257257461548,0.31402453780174255,0.21843883395195007,0.48971283435821533,0.2254238724708557,0.20544172823429108
become,0.27134042978286743,0.2625269889831543,0.1721709668636322,0.37111109495162964,0.2339768409729004,0.3047906458377838,0.31731709837913513,0.26596391201019287,0.14627806842327118,0.36996012926101685,0.2916424572467804,0.19511328637599945
christians,0.302469938993454,0.2556236684322357,0.30765244364738464,0.2782294452190399,0.21331241726875305,0.16087251901626587,0.24734680354595184,0.16869764029979706,0.2432238906621933,0.2587539851665497,0.12524859607219696,0.20289786159992218
.,0.3567904531955719,0.35288307070732117,0.24907569587230682,0.4824007451534271,0.21881133317947388,0.4726039469242096,0.5934505462646484,0.35031336545944214,0.25224974751472473,0.4645031690597534,0.2834588289260864,0.4130953550338745
'',0.08143015950918198,0.01978493109345436,-0.04572787508368492,0.04262445494532585,0.08347149938344955,-0.04479556903243065,0.041273195296525955,-0.021915066987276077,-0.0022249165922403336,-0.009905828163027763,0.031191498041152954,0.018684765323996544
