,how,did,luther,show,the,trinity,in,his,catechisms,?
that,0.557814359664917,0.47518548369407654,0.21746599674224854,0.3486354649066925,0.5473989248275757,0.3069887161254883,0.435920387506485,0.3173833191394806,0.3225908577442169,0.32716336846351624
is,0.22544461488723755,0.19247472286224365,0.08282390236854553,0.2144283652305603,0.5823672413825989,0.18061503767967224,0.5394441485404968,0.24372583627700806,0.1855408251285553,0.22961433231830597
",",0.22659391164779663,0.3015086054801941,0.23255878686904907,0.31928569078445435,0.4933079481124878,0.21153482794761658,0.5201468467712402,0.3378419280052185,0.28056854009628296,0.31091248989105225
luther,0.13354721665382385,0.23667675256729126,1.0,0.1266140192747116,0.1759674996137619,0.258192777633667,0.20523880422115326,0.27093374729156494,0.32172587513923645,0.1732746809720993
depicted,0.13268370926380157,0.18399426341056824,0.1291143149137497,0.24758951365947723,0.21407261490821838,0.15435941517353058,0.19601459801197052,0.22414015233516693,0.21591076254844666,0.11621485650539398
the,0.33890387415885925,0.34736719727516174,0.1759674996137619,0.319829523563385,1.0,0.2496737241744995,0.6662389636039734,0.4394008219242096,0.2702268362045288,0.22068053483963013
trinity,0.1948281079530716,0.20131079852581024,0.258192777633667,0.10627871006727219,0.2496737241744995,1.0,0.20959758758544922,0.19919249415397644,0.43587130308151245,0.18659240007400513
not,0.4869767427444458,0.6481515765190125,0.21636232733726501,0.30318546295166016,0.4310511648654938,0.19161732494831085,0.3403114080429077,0.2710725963115692,0.2513969838619232,0.41942933201789856
as,0.33782753348350525,0.3596470057964325,0.20242992043495178,0.30768129229545593,0.48381632566452026,0.24725891649723053,0.3887844979763031,0.3146366477012634,0.2703220546245575,0.27043893933296204
a,0.29312583804130554,0.2552328109741211,0.17967689037322998,0.24886544048786163,0.5829201340675354,0.21925011277198792,0.539380669593811,0.3497250974178314,0.207550510764122,0.23916715383529663
doctrine,0.22988642752170563,0.1904553771018982,0.34285056591033936,0.16269604861736298,0.23041051626205444,0.44072845578193665,0.1543712466955185,0.1854272186756134,0.5096777677536011,0.21789313852787018
to,0.44169697165489197,0.4452643394470215,0.18029534816741943,0.29833272099494934,0.535392165184021,0.19897671043872833,0.45010748505592346,0.3715193271636963,0.2209082990884781,0.29463258385658264
be,0.4158933162689209,0.22657383978366852,0.15299063920974731,0.29246196150779724,0.4248143136501312,0.17693372070789337,0.3481820821762085,0.21738691627979279,0.23981963098049164,0.3324260413646698
learned,0.3741946220397949,0.4411873519420624,0.1836392879486084,0.17041385173797607,0.2019677460193634,0.146989107131958,0.22734703123569489,0.37750664353370667,0.23126612603664398,0.23222841322422028
",",0.22659391164779663,0.3015086054801941,0.23255878686904907,0.31928569078445435,0.4933079481124878,0.21153482794761658,0.5201468467712402,0.3378419280052185,0.28056854009628296,0.31091248989105225
but,0.43101516366004944,0.49033689498901367,0.20694120228290558,0.2724117040634155,0.4859698414802551,0.19037501513957977,0.48674455285072327,0.38552024960517883,0.2421150505542755,0.27921953797340393
as,0.33782753348350525,0.3596470057964325,0.20242992043495178,0.30768129229545593,0.48381632566452026,0.24725891649723053,0.3887844979763031,0.3146366477012634,0.2703220546245575,0.27043893933296204
persons,0.23837141692638397,0.1736184060573578,0.1545412689447403,0.21361631155014038,0.3206244707107544,0.15083548426628113,0.2643730938434601,0.2251780778169632,0.29746943712234497,0.22290422022342682
to,0.44169697165489197,0.4452643394470215,0.18029534816741943,0.29833272099494934,0.535392165184021,0.19897671043872833,0.45010748505592346,0.3715193271636963,0.2209082990884781,0.29463258385658264
be,0.4158933162689209,0.22657383978366852,0.15299063920974731,0.29246196150779724,0.4248143136501312,0.17693372070789337,0.3481820821762085,0.21738691627979279,0.23981963098049164,0.3324260413646698
known,0.16194356977939606,0.25943970680236816,0.12994661927223206,0.19663648307323456,0.3624623417854309,0.14017623662948608,0.32641831040382385,0.29665085673332214,0.21218807995319366,0.18314571678638458
.,0.3287222981452942,0.35288307070732117,0.24907569587230682,0.3016606271266937,0.5934505462646484,0.2759544551372528,0.5591574311256409,0.3119256794452667,0.27584537863731384,0.4130953550338745
,how,did,luther,show,the,trinity,in,his,catechisms,?
he,0.2594625651836395,0.3292143940925598,0.2454872578382492,0.23024743795394897,0.4571082592010498,0.32294464111328125,0.41690486669540405,0.7171558737754822,0.1250692754983902,0.2089974731206894
