,who,else,observed,that,luther,view,of,souls,was,different,form,later,views,?
the,0.3733934462070465,0.19370581209659576,0.26280322670936584,0.5473989248275757,0.1759674996137619,0.25610461831092834,0.733189046382904,0.2566636800765991,0.48711544275283813,0.36412742733955383,0.29286009073257446,0.4060266613960266,0.23137402534484863,0.22068053483963013
lutheran,0.20221543312072754,0.1864667683839798,0.12677448987960815,0.1765161007642746,0.7014965415000916,0.16366694867610931,0.2628459632396698,0.20852045714855194,0.2620541453361511,0.19836969673633575,0.1107267364859581,0.21149273216724396,0.2243201732635498,0.1752520203590393
theologian,0.2763800621032715,0.12760967016220093,0.17162388563156128,0.12520673871040344,0.37448811531066895,0.1575590819120407,0.17709659039974213,0.18419472873210907,0.2595475912094116,0.12509994208812714,0.13447877764701843,0.21527522802352905,0.27728840708732605,0.1625964343547821
franz,0.20234480500221252,0.14094048738479614,0.029866237193346024,0.14190292358398438,0.2205708622932434,0.052722517400979996,0.19182780385017395,0.04853736236691475,0.23092560470104218,0.10310021787881851,0.0998755693435669,0.19525595009326935,0.0740283876657486,0.11165361106395721
pieper,0.32024651765823364,0.2076522707939148,0.14530743658542633,0.2937075197696686,0.25860849022865295,0.2680412232875824,0.29555684328079224,0.21028035879135132,0.24585120379924774,0.2736978232860565,0.1700989156961441,0.2692703902721405,0.25285804271698,0.24094967544078827
observed,0.1345454603433609,0.13374929130077362,0.9999998807907104,0.3131817877292633,0.09355355054140091,0.23440612852573395,0.24605341255664825,0.23199734091758728,0.18324865400791168,0.21005520224571228,0.13680614531040192,0.0965600535273552,0.25270676612854004,0.12128034234046936
that,0.45444270968437195,0.393348753452301,0.3131817877292633,1.0,0.21746599674224854,0.23331132531166077,0.41498205065727234,0.31226950883865356,0.33670201897621155,0.4608689844608307,0.31894639134407043,0.42443475127220154,0.30377236008644104,0.32716336846351624
luther,0.21013082563877106,0.20168696343898773,0.09355355054140091,0.21746599674224854,1.0,0.14754484593868256,0.1719115972518921,0.14558860659599304,0.19185513257980347,0.21398253738880157,0.03321759030222893,0.23796728253364563,0.19727660715579987,0.1732746809720993
's,0.05599616840481758,0.06744367629289627,-0.0507233701646328,0.04397977516055107,-0.009990512393414974,0.08296377211809158,-0.03817026689648628,0.02317057177424431,0.008974763564765453,0.05519130453467369,0.07059726119041443,0.05591587722301483,0.07306428998708725,-0.023395681753754616
teaching,0.2535073459148407,0.15464770793914795,0.18048729002475739,0.28482577204704285,0.2627531886100769,0.1589968502521515,0.2911611497402191,0.2599261701107025,0.22091154754161835,0.2727653682231903,0.17822229862213135,0.2486056387424469,0.22968453168869019,0.20424684882164001
about,0.3477841317653656,0.27598443627357483,0.23506242036819458,0.4500710964202881,0.203048437833786,0.21541373431682587,0.40939709544181824,0.1982930302619934,0.2577359974384308,0.2995844781398773,0.13729865849018097,0.2730913460254669,0.3301961421966553,0.302409827709198
the,0.3733934462070465,0.19370581209659576,0.26280322670936584,0.5473989248275757,0.1759674996137619,0.25610461831092834,0.733189046382904,0.2566636800765991,0.48711544275283813,0.36412742733955383,0.29286009073257446,0.4060266613960266,0.23137402534484863,0.22068053483963013
state,0.15636613965034485,0.1830815076828003,0.12733231484889984,0.24252457916736603,0.1824490875005722,0.1265183389186859,0.34253445267677307,0.23981723189353943,0.22072885930538177,0.17896579205989838,0.18559840321540833,0.19596463441848755,0.13937075436115265,0.1160883978009224
of,0.2827862501144409,0.1318979412317276,0.24605341255664825,0.41498205065727234,0.1719115972518921,0.21446028351783752,1.0,0.23374544084072113,0.4069072902202606,0.3747533857822418,0.29600051045417786,0.3458743393421173,0.1923438459634781,0.1826142966747284
the,0.3733934462070465,0.19370581209659576,0.26280322670936584,0.5473989248275757,0.1759674996137619,0.25610461831092834,0.733189046382904,0.2566636800765991,0.48711544275283813,0.36412742733955383,0.29286009073257446,0.4060266613960266,0.23137402534484863,0.22068053483963013
christian,0.2929514944553375,0.15486682951450348,0.21565891802310944,0.18580004572868347,0.36969617009162903,0.18934974074363708,0.23494116961956024,0.31311196088790894,0.21208207309246063,0.13499890267848969,0.15283235907554626,0.21621397137641907,0.31799399852752686,0.1508396863937378
's,0.05599616840481758,0.06744367629289627,-0.0507233701646328,0.04397977516055107,-0.009990512393414974,0.08296377211809158,-0.03817026689648628,0.02317057177424431,0.008974763564765453,0.05519130453467369,0.07059726119041443,0.05591587722301483,0.07306428998708725,-0.023395681753754616
soul,0.2787841260433197,0.18456889688968658,0.13062766194343567,0.2695053815841675,0.1514018028974533,0.11167339235544205,0.1792602837085724,0.5860470533370972,0.17936494946479797,0.21010349690914154,0.1893547773361206,0.21788732707500458,0.1666911542415619,0.2029775083065033
after,0.32549580931663513,0.16963118314743042,0.15474484860897064,0.373811811208725,0.17198127508163452,0.0704478845000267,0.3867455720901489,0.23440031707286835,0.49306565523147583,0.1581665724515915,0.23307928442955017,0.5807580947875977,0.10078383982181549,0.16608688235282898
death,0.20302973687648773,0.14103065431118011,0.13748551905155182,0.25607815384864807,0.15764257311820984,0.09204266965389252,0.23778599500656128,0.2040281593799591,0.28516459465026855,0.14501163363456726,0.11314044892787933,0.3094727396965027,0.15755915641784668,0.21149799227714539
differed,0.1523124873638153,0.07143676280975342,0.2797902226448059,0.3132094144821167,0.13669714331626892,0.19760487973690033,0.3495863974094391,0.08569476008415222,0.3570845127105713,0.5977457761764526,0.22317194938659668,0.2998020052909851,0.24268461763858795,0.1626558005809784
from,0.27839982509613037,0.17752891778945923,0.1383783221244812,0.3477667272090912,0.10716932266950607,0.2224287986755371,0.4249346852302551,0.17533692717552185,0.31171464920043945,0.29131123423576355,0.2607075572013855,0.34398579597473145,0.2086656540632248,0.19969791173934937
the,0.3733934462070465,0.19370581209659576,0.26280322670936584,0.5473989248275757,0.1759674996137619,0.25610461831092834,0.733189046382904,0.2566636800765991,0.48711544275283813,0.36412742733955383,0.29286009073257446,0.4060266613960266,0.23137402534484863,0.22068053483963013
later,0.35185644030570984,0.16021981835365295,0.0965600535273552,0.42443475127220154,0.23796728253364563,0.06303644925355911,0.3458743393421173,0.21798232197761536,0.5684447288513184,0.254269540309906,0.2344527393579483,1.0,0.16263726353645325,0.1417175978422165
lutheran,0.20221543312072754,0.1864667683839798,0.12677448987960815,0.1765161007642746,0.7014965415000916,0.16366694867610931,0.2628459632396698,0.20852045714855194,0.2620541453361511,0.19836969673633575,0.1107267364859581,0.21149273216724396,0.2243201732635498,0.1752520203590393
