,what,did,luther,'s,opponents,think,that,it,meant,about,god,'s,presence,?
luther,0.2134782373905182,0.23667675256729126,1.0,-0.009990512393414974,0.22608257830142975,0.16532817482948303,0.21746599674224854,0.15365919470787048,0.17860855162143707,0.203048437833786,0.2238161414861679,-0.009990512393414974,0.07687997817993164,0.1732746809720993
insisted,0.3362210988998413,0.49533259868621826,0.27878543734550476,-0.00888766534626484,0.30113574862480164,0.32392802834510803,0.3640085458755493,0.19030658900737762,0.39629045128822327,0.2774592936038971,0.21015767753124237,-0.00888766534626484,0.25635382533073425,0.20097918808460236
on,0.34226128458976746,0.2670976221561432,0.19090485572814941,0.0026888418942689896,0.15862303972244263,0.2772510051727295,0.42569106817245483,0.4529881477355957,0.2894698679447174,0.322975218296051,0.13295738399028778,0.0026888418942689896,0.1940135806798935,0.2714994251728058
the,0.42745697498321533,0.34736719727516174,0.1759674996137619,-0.01540423184633255,0.2483137845993042,0.3102172613143921,0.5473989248275757,0.6251175999641418,0.34852901101112366,0.37995871901512146,0.24689088761806488,-0.01540423184633255,0.34114351868629456,0.22068053483963013
real,0.27036693692207336,0.20014923810958862,0.08498093485832214,0.09362173080444336,0.1611650437116623,0.23122470080852509,0.31668397784233093,0.15193092823028564,0.18094445765018463,0.210225909948349,0.1847880631685257,0.09362173080444336,0.1532936692237854,0.20019613206386566
presence,0.24428647756576538,0.16884823143482208,0.07687997817993164,0.016902104020118713,0.17211854457855225,0.19707702100276947,0.4035877585411072,0.27669841051101685,0.16279835999011993,0.1314493864774704,0.1852187216281891,0.016902104020118713,0.9999999403953552,0.08592845499515533
of,0.33290785551071167,0.2513895630836487,0.1719115972518921,-0.03817026689648628,0.20008525252342224,0.2625778615474701,0.41498205065727234,0.38761502504348755,0.2713906168937683,0.40939709544181824,0.2159487009048462,-0.03817026689648628,0.2917717397212982,0.1826142966747284
the,0.42745697498321533,0.34736719727516174,0.1759674996137619,-0.01540423184633255,0.2483137845993042,0.3102172613143921,0.5473989248275757,0.6251175999641418,0.34852901101112366,0.37995871901512146,0.24689088761806488,-0.01540423184633255,0.34114351868629456,0.22068053483963013
body,0.2143840193748474,0.17681342363357544,0.09127452969551086,0.003652067156508565,0.24331949651241302,0.2577083706855774,0.32291916012763977,0.281975656747818,0.195613831281662,0.21537575125694275,0.1923835128545761,0.003652067156508565,0.226108118891716,0.20136451721191406
and,0.31309178471565247,0.34479495882987976,0.20796556770801544,0.06895173341035843,0.21922188997268677,0.30740439891815186,0.4731321930885315,0.40957894921302795,0.3015248775482178,0.3875081241130829,0.23257656395435333,0.06895173341035843,0.284408837556839,0.20544172823429108
blood,0.15800324082374573,0.1921168565750122,0.13496287167072296,-0.08394692093133926,0.1668589562177658,0.2274705022573471,0.2747363746166229,0.23780004680156708,0.16430352628231049,0.1400427222251892,0.2509537637233734,-0.08394692093133926,0.265736848115921,0.156274676322937
of,0.33290785551071167,0.2513895630836487,0.1719115972518921,-0.03817026689648628,0.20008525252342224,0.2625778615474701,0.41498205065727234,0.38761502504348755,0.2713906168937683,0.40939709544181824,0.2159487009048462,-0.03817026689648628,0.2917717397212982,0.1826142966747284
christ,0.2615339457988739,0.17013269662857056,0.2758595049381256,0.054941605776548386,0.13370729982852936,0.19185015559196472,0.2361743301153183,0.23697827756404877,0.11806271225214005,0.2188844084739685,0.4998750388622284,0.054941605776548386,0.22571182250976562,0.13772203028202057
in,0.30808621644973755,0.2593238651752472,0.20523880422115326,-0.037580832839012146,0.16065439581871033,0.23837615549564362,0.435920387506485,0.5130809545516968,0.25344955921173096,0.39797019958496094,0.1355067938566208,-0.037580832839012146,0.24880747497081757,0.20430970191955566
the,0.42745697498321533,0.34736719727516174,0.1759674996137619,-0.01540423184633255,0.2483137845993042,0.3102172613143921,0.5473989248275757,0.6251175999641418,0.34852901101112366,0.37995871901512146,0.24689088761806488,-0.01540423184633255,0.34114351868629456,0.22068053483963013
consecrated,0.17245787382125854,0.17055682837963104,0.2255089432001114,0.010809843428432941,0.17238903045654297,0.21601997315883636,0.1778918206691742,0.22291775047779083,0.16260755062103271,0.12731784582138062,0.3398885726928711,0.010809843428432941,0.26172932982444763,0.21307595074176788
