,how,did,luther,view,the,ottoman,turks,?
he,0.2594625651836395,0.3292143940925598,0.2454872578382492,0.14745047688484192,0.4571082592010498,0.20549891889095306,0.16183754801750183,0.2089974731206894
saw,0.2513699233531952,0.4446955919265747,0.13097959756851196,0.1980784684419632,0.318278044462204,0.13893431425094604,0.19924084842205048,0.14690998196601868
the,0.33890387415885925,0.34736719727516174,0.1759674996137619,0.25610461831092834,1.0,0.2623080313205719,0.25820091366767883,0.22068053483963013
turks,0.08120816946029663,0.18401244282722473,0.17542731761932373,0.17634961009025574,0.25820091366767883,0.619066059589386,0.9999999403953552,0.1953624188899994
as,0.33782753348350525,0.3596470057964325,0.20242992043495178,0.13756150007247925,0.48381632566452026,0.2189406156539917,0.15202166140079498,0.27043893933296204
a,0.29312583804130554,0.2552328109741211,0.17967689037322998,0.22168859839439392,0.5829201340675354,0.15384846925735474,0.13034214079380035,0.23916715383529663
scourge,0.2228088676929474,0.09412704408168793,0.24936635792255402,0.2149803638458252,0.24120070040225983,0.18584847450256348,0.19965322315692902,0.1880749613046646
sent,0.2166701704263687,0.3411059081554413,0.16650304198265076,0.06866085529327393,0.3010627329349518,0.1584538221359253,0.23218569159507751,0.10903520882129669
to,0.44169697165489197,0.4452643394470215,0.18029534816741943,0.229315847158432,0.535392165184021,0.19054467976093292,0.1928449124097824,0.29463258385658264
punish,0.29057812690734863,0.299143522977829,0.1786191165447235,0.09262184053659439,0.1862790733575821,0.20680473744869232,0.24008728563785553,0.23481756448745728
christians,0.2047172486782074,0.2556236684322357,0.30765244364738464,0.22116045653820038,0.24734680354595184,0.2883990705013275,0.3986973166465759,0.20289786159992218
by,0.34370526671409607,0.18574509024620056,0.15382802486419678,0.1928447186946869,0.4408751428127289,0.1424020677804947,0.2066512107849121,0.17966607213020325
god,0.25761839747428894,0.2420882135629654,0.2238161414861679,0.24012677371501923,0.24689088761806488,0.16972537338733673,0.17340610921382904,0.23396754264831543
",",0.22659391164779663,0.3015086054801941,0.23255878686904907,0.216712087392807,0.4933079481124878,0.22751282155513763,0.23273320496082306,0.31091248989105225
as,0.33782753348350525,0.3596470057964325,0.20242992043495178,0.13756150007247925,0.48381632566452026,0.2189406156539917,0.15202166140079498,0.27043893933296204
agents,0.20508939027786255,0.19542205333709717,0.12370306998491287,0.0917583703994751,0.1752651333808899,0.11021853238344193,0.20710274577140808,0.1518401801586151
of,0.2480744868516922,0.2513895630836487,0.1719115972518921,0.21446028351783752,0.733189046382904,0.239910289645195,0.235667884349823,0.1826142966747284
the,0.33890387415885925,0.34736719727516174,0.1759674996137619,0.25610461831092834,1.0,0.2623080313205719,0.25820091366767883,0.22068053483963013
biblical,0.22882892191410065,0.2030898928642273,0.31112417578697205,0.20247532427310944,0.20867225527763367,0.18898098170757294,0.1967051774263382,0.1909967064857483
apocalypse,0.16443969309329987,0.13487456738948822,0.29442736506462097,0.17245756089687347,0.3059094250202179,0.19371940195560455,0.17080312967300415,0.21990230679512024
that,0.557814359664917,0.47518548369407654,0.21746599674224854,0.23331132531166077,0.5473989248275757,0.17987796664237976,0.17650504410266876,0.32716336846351624
would,0.43239715695381165,0.6268245577812195,0.14161886274814606,0.21017111837863922,0.4133751392364502,0.14200277626514435,0.14677590131759644,0.37178951501846313
destroy,0.23639342188835144,0.2465631067752838,0.16106201708316803,0.1160304844379425,0.29802682995796204,0.2290501445531845,0.2160390168428421,0.1295877993106842
the,0.33890387415885925,0.34736719727516174,0.1759674996137619,0.25610461831092834,1.0,0.2623080313205719,0.25820091366767883,0.22068053483963013
antichrist,0.24340391159057617,0.23274663090705872,0.3074256479740143,0.17039336264133453,0.27070361375808716,0.163686141371727,0.18584424257278442,0.19611422717571259
",",0.22659391164779663,0.3015086054801941,0.23255878686904907,0.216712087392807,0.4933079481124878,0.22751282155513763,0.23273320496082306,0.31091248989105225
whom,0.29626429080963135,0.3024649918079376,0.11776672303676605,0.08720868080854416,0.23752936720848083,0.18327990174293518,0.22936151921749115,0.222135990858078
luther,0.13354721665382385,0.23667675256729126,1.0,0.14754484593868256,0.1759674996137619,0.1604655385017395,0.17542731761932373,0.1732746809720993
believed,0.27366891503334045,0.3807709813117981,0.19700083136558533,0.22074732184410095,0.324635773897171,0.11302459985017776,0.1220751628279686,0.17606885731220245
to,0.44169697165489197,0.4452643394470215,0.18029534816741943,0.229315847158432,0.535392165184021,0.19054467976093292,0.1928449124097824,0.29463258385658264
be,0.4158933162689209,0.22657383978366852,0.15299063920974731,0.23513229191303253,0.4248143136501312,0.1722165048122406,0.13832855224609375,0.3324260413646698
the,0.33890387415885925,0.34736719727516174,0.1759674996137619,0.25610461831092834,1.0,0.2623080313205719,0.25820091366767883,0.22068053483963013
