,what,did,luther,'s,answer,to,the,antinomians,reaffirms,?
in,0.30808621644973755,0.2593238651752472,0.20523880422115326,-0.037580832839012146,0.14774714410305023,0.45010748505592346,0.6662389636039734,0.12912611663341522,0.2672836184501648,0.20430970191955566
his,0.26976513862609863,0.3546801507472992,0.27093374729156494,0.047556519508361816,0.18054059147834778,0.3715193271636963,0.4394008219242096,0.17585578560829163,0.2421317994594574,0.18075084686279297
theses,0.22175903618335724,0.20294758677482605,0.4810737073421478,0.054575804620981216,0.34707027673721313,0.24799592792987823,0.32067108154296875,0.283525288105011,0.36226749420166016,0.19188037514686584
and,0.31309178471565247,0.34479495882987976,0.20796556770801544,0.06895173341035843,0.23021690547466278,0.48971283435821533,0.5171257257461548,0.20554588735103607,0.29327553510665894,0.20544172823429108
disputations,0.3736441135406494,0.31307563185691833,0.1912301927804947,-0.002786379074677825,0.3919052183628082,0.2826310396194458,0.27349793910980225,0.3676055371761322,0.41816285252571106,0.2715328633785248
against,0.24561616778373718,0.22514554858207703,0.18804924190044403,-0.0006242102244868875,0.22413301467895508,0.310872346162796,0.3090755045413971,0.2077033370733261,0.3042765259742737,0.18095137178897858
the,0.42745697498321533,0.34736719727516174,0.1759674996137619,-0.01540423184633255,0.24840699136257172,0.535392165184021,1.0,0.23537124693393707,0.3319562077522278,0.22068053483963013
antinomians,0.18999916315078735,0.1951059103012085,0.22636617720127106,0.021788742393255234,0.26669976115226746,0.17389030754566193,0.23537124693393707,1.0000001192092896,0.33667004108428955,0.1959799826145172
",",0.3087472915649414,0.3015086054801941,0.23255878686904907,-0.0016132977325469255,0.2860236167907715,0.44245919585227966,0.4933079481124878,0.2523687481880188,0.23114325106143951,0.31091248989105225
luther,0.2134782373905182,0.23667675256729126,1.0,-0.009990512393414974,0.2413039356470108,0.18029534816741943,0.1759674996137619,0.22636617720127106,0.3416458070278168,0.1732746809720993
reviews,0.2519516944885254,0.27769574522972107,0.14473849534988403,0.07585088163614273,0.2280455231666565,0.22335410118103027,0.2074589878320694,0.23660366237163544,0.20957742631435394,0.18590256571769714
and,0.31309178471565247,0.34479495882987976,0.20796556770801544,0.06895173341035843,0.23021690547466278,0.48971283435821533,0.5171257257461548,0.20554588735103607,0.29327553510665894,0.20544172823429108
reaffirms,0.2886015474796295,0.28554919362068176,0.3416458070278168,-0.042929425835609436,0.32038381695747375,0.3005363345146179,0.3319562077522278,0.33667004108428955,1.0000001192092896,0.22722569108009338
",",0.3087472915649414,0.3015086054801941,0.23255878686904907,-0.0016132977325469255,0.2860236167907715,0.44245919585227966,0.4933079481124878,0.2523687481880188,0.23114325106143951,0.31091248989105225
on,0.34226128458976746,0.2670976221561432,0.19090485572814941,0.0026888418942689896,0.22382852435112,0.41031414270401,0.5107308030128479,0.06637127697467804,0.229227676987648,0.2714994251728058
the,0.42745697498321533,0.34736719727516174,0.1759674996137619,-0.01540423184633255,0.24840699136257172,0.535392165184021,1.0,0.23537124693393707,0.3319562077522278,0.22068053483963013
one,0.376489520072937,0.27659472823143005,0.1255420446395874,0.06913424283266068,0.33122217655181885,0.4025384783744812,0.5514441132545471,0.21889840066432953,0.24211947619915009,0.2673267424106598
hand,0.26703396439552307,0.17606379091739655,0.11325366795063019,0.1219150647521019,0.2682308256626129,0.29793334007263184,0.253619521856308,0.1269179731607437,0.19665363430976868,0.20656698942184448
",",0.3087472915649414,0.3015086054801941,0.23255878686904907,-0.0016132977325469255,0.2860236167907715,0.44245919585227966,0.4933079481124878,0.2523687481880188,0.23114325106143951,0.31091248989105225
what,0.9999998807907104,0.4259131848812103,0.2134782373905182,0.02692362666130066,0.44430363178253174,0.455847829580307,0.42745697498321533,0.18999916315078735,0.2886015474796295,0.5051238536834717
has,0.20338068902492523,0.2124989777803421,0.11117470264434814,-0.040683966130018234,0.20112939178943634,0.3619994819164276,0.4177538752555847,0.2018943727016449,0.19570496678352356,0.15994466841220856
been,0.2567804455757141,0.2835664749145508,0.14683249592781067,-0.10734795778989792,0.19972902536392212,0.34945759177207947,0.3563927710056305,0.24531368911266327,0.26380831003189087,0.24354910850524902
called,0.3235960602760315,0.277748167514801,0.09754475206136703,-0.021773243322968483,0.23110167682170868,0.2987143397331238,0.489897221326828,0.24622002243995667,0.23543182015419006,0.18963319063186646
the,0.42745697498321533,0.34736719727516174,0.1759674996137619,-0.01540423184633255,0.24840699136257172,0.535392165184021,1.0,0.23537124693393707,0.3319562077522278,0.22068053483963013
``,0.008517155423760414,-0.029888948425650597,-0.013964727520942688,-0.03416389226913452,0.1663847118616104,0.06720756739377975,0.029072100296616554,0.19921423494815826,0.0541212260723114,0.0685480609536171
second,0.19948028028011322,0.20727969706058502,0.094020314514637,-0.060212843120098114,0.23895561695098877,0.3098561465740204,0.4620301127433777,0.1785360872745514,0.2097986936569214,0.17239587008953094
use,0.3453877568244934,0.32446643710136414,0.10849796235561371,0.004619393963366747,0.3131899833679199,0.47261837124824524,0.34342584013938904,0.1620083898305893,0.25823935866355896,0.32795652747154236
of,0.33290785551071167,0.2513895630836487,0.1719115972518921,-0.03817026689648628,0.17047110199928284,0.41548454761505127,0.733189046382904,0.23082706332206726,0.3419952094554901,0.1826142966747284
the,0.42745697498321533,0.34736719727516174,0.1759674996137619,-0.01540423184633255,0.24840699136257172,0.535392165184021,1.0,0.23537124693393707,0.3319562077522278,0.22068053483963013
law,0.2145031988620758,0.2238171398639679,0.21635621786117554,-0.06109188124537468,0.19739121198654175,0.259207159280777,0.24548950791358948,0.21262961626052856,0.4244188666343689,0.1528988480567932
",",0.3087472915649414,0.3015086054801941,0.23255878686904907,-0.0016132977325469255,0.2860236167907715,0.44245919585227966,0.4933079481124878,0.2523687481880188,0.23114325106143951,0.31091248989105225
'',0.08143015950918198,0.01978493109345436,-0.04572787508368492,-0.04859459400177002,-0.07786116003990173,-0.009905828163027763,0.041273195296525955,0.0488470196723938,0.02583715319633484,0.018684765323996544
that,0.6297725439071655,0.47518548369407654,0.21746599674224854,0.04397977516055107,0.39350852370262146,0.5436353087425232,0.5473989248275757,0.26299408078193665,0.3466928005218506,0.32716336846351624
is,0.28837618231773376,0.19247472286224365,0.08282390236854553,0.02396530658006668,0.21693027019500732,0.42745086550712585,0.5823672413825989,0.21167539060115814,0.20274695754051208,0.22961433231830597
",",0.3087472915649414,0.3015086054801941,0.23255878686904907,-0.0016132977325469255,0.2860236167907715,0.44245919585227966,0.4933079481124878,0.2523687481880188,0.23114325106143951,0.31091248989105225
the,0.42745697498321533,0.34736719727516174,0.1759674996137619,-0.01540423184633255,0.24840699136257172,0.535392165184021,1.0,0.23537124693393707,0.3319562077522278,0.22068053483963013
law,0.2145031988620758,0.2238171398639679,0.21635621786117554,-0.06109188124537468,0.19739121198654175,0.259207159280777,0.24548950791358948,0.21262961626052856,0.4244188666343689,0.1528988480567932
as,0.31749409437179565,0.3596470057964325,0.20242992043495178,-0.05775856226682663,0.2434782236814499,0.42092081904411316,0.48381632566452026,0.24789758026599884,0.33252784609794617,0.27043893933296204
the,0.42745697498321533,0.34736719727516174,0.1759674996137619,-0.01540423184633255,0.24840699136257172,0.535392165184021,1.0,0.23537124693393707,0.3319562077522278,0.22068053483963013
holy,0.21269184350967407,0.1021214947104454,0.21725739538669586,0.01974828913807869,0.07078687846660614,0.22131432592868805,0.2778179347515106,0.23866835236549377,0.2969357967376709,0.18148104846477509
spirit,0.21102753281593323,0.16968007385730743,0.2489360272884369,0.03130851686000824,0.12871617078781128,0.24216829240322113,0.24389684200286865,0.21018767356872559,0.25352540612220764,0.18818747997283936
's,0.02692362666130066,0.05069678649306297,-0.009990512393414974,0.9999999403953552,0.022597508504986763,0.03782717138528824,-0.01540423184633255,0.021788742393255234,-0.042929425835609436,-0.023395681753754616
tool,0.2978120744228363,0.18340347707271576,0.05232477933168411,-0.06664860248565674,0.2626613974571228,0.2641676962375641,0.20790323615074158,0.14158405363559723,0.15115253627300262,0.2828463613986969
to,0.455847829580307,0.4452643394470215,0.18029534816741943,0.03782717138528824,0.31252485513687134,1.0,0.535392165184021,0.17389030754566193,0.3005363345146179,0.29463258385658264
work,0.3762225806713104,0.336654931306839,0.15580131113529205,-0.03332063928246498,0.24672067165374756,0.3482864499092102,0.2704800069332123,0.17542532086372375,0.20259033143520355,0.2621155381202698
sorrow,0.2596469223499298,0.1976982057094574,0.18134665489196777,0.06468883156776428,0.19933874905109406,0.18508468568325043,0.18808715045452118,0.22120097279548645,0.26658493280410767,0.2599213421344757
over,0.28007611632347107,0.2535076439380646,0.19360381364822388,0.016215575858950615,0.2591297924518585,0.38635820150375366,0.39856547117233276,0.20682498812675476,0.22234193980693817,0.25742942094802856
sin,0.2028670310974121,0.12168633192777634,0.09982562065124512,-0.012886864133179188,0.15415513515472412,0.2076987326145172,0.18401655554771423,0.17885467410087585,0.21640987694263458,0.17164617776870728
in,0.30808621644973755,0.2593238651752472,0.20523880422115326,-0.037580832839012146,0.14774714410305023,0.45010748505592346,0.6662389636039734,0.12912611663341522,0.2672836184501648,0.20430970191955566
man,0.21916821599006653,0.2355959564447403,0.21149881184101105,-0.04544515535235405,0.22754240036010742,0.2487562596797943,0.23171134293079376,0.2248322069644928,0.17398801445960999,0.2528940737247467
's,0.02692362666130066,0.05069678649306297,-0.009990512393414974,0.9999999403953552,0.022597508504986763,0.03782717138528824,-0.01540423184633255,0.021788742393255234,-0.042929425835609436,-0.023395681753754616
heart,0.18515849113464355,0.11897843331098557,0.24675995111465454,-0.004939067177474499,0.18222269415855408,0.2012307196855545,0.23747070133686066,0.16667182743549347,0.12396737188100815,0.11825142055749893
",",0.3087472915649414,0.3015086054801941,0.23255878686904907,-0.0016132977325469255,0.2860236167907715,0.44245919585227966,0.4933079481124878,0.2523687481880188,0.23114325106143951,0.31091248989105225
thus,0.30745524168014526,0.23622971773147583,0.060248855501413345,0.05755096301436424,0.21110376715660095,0.42383262515068054,0.4036877751350403,0.22276107966899872,0.38480904698371887,0.18769288063049316
preparing,0.29370415210723877,0.2727918326854706,0.20513078570365906,-0.03546511009335518,0.23093730211257935,0.32299867272377014,0.2806416451931,0.09460929036140442,0.22492770850658417,0.18170884251594543
him,0.34912991523742676,0.4290095865726471,0.25429821014404297,0.004161491058766842,0.3107481300830841,0.4702378511428833,0.39213326573371887,0.19835129380226135,0.2515154778957367,0.23943768441677094
for,0.3017193675041199,0.318512886762619,0.12958186864852905,-0.07241261005401611,0.26086002588272095,0.4451248347759247,0.4739971458911896,0.17353840172290802,0.2681728005409241,0.264628142118454
christ,0.2615339457988739,0.17013269662857056,0.2758595049381256,0.054941605776548386,0.20627999305725098,0.22245259582996368,0.25124865770339966,0.26606693863868713,0.3175847828388214,0.13772203028202057
's,0.02692362666130066,0.05069678649306297,-0.009990512393414974,0.9999999403953552,0.022597508504986763,0.03782717138528824,-0.01540423184633255,0.021788742393255234,-0.042929425835609436,-0.023395681753754616
fulfillment,0.3053361773490906,0.24741588532924652,0.20336933434009552,0.025656811892986298,0.2909027338027954,0.3207966685295105,0.3381873667240143,0.24290731549263,0.4253619313240051,0.21143175661563873
of,0.33290785551071167,0.2513895630836487,0.1719115972518921,-0.03817026689648628,0.17047110199928284,0.41548454761505127,0.733189046382904,0.23082706332206726,0.3419952094554901,0.1826142966747284
the,0.42745697498321533,0.34736719727516174,0.1759674996137619,-0.01540423184633255,0.24840699136257172,0.535392165184021,1.0,0.23537124693393707,0.3319562077522278,0.22068053483963013
law,0.2145031988620758,0.2238171398639679,0.21635621786117554,-0.06109188124537468,0.19739121198654175,0.259207159280777,0.24548950791358948,0.21262961626052856,0.4244188666343689,0.1528988480567932
offered,0.1662205457687378,0.40334975719451904,0.19478265941143036,0.008031184785068035,0.30679330229759216,0.28788384795188904,0.270993173122406,0.12222132831811905,0.34901124238967896,0.22244536876678467
in,0.30808621644973755,0.2593238651752472,0.20523880422115326,-0.037580832839012146,0.14774714410305023,0.45010748505592346,0.6662389636039734,0.12912611663341522,0.2672836184501648,0.20430970191955566
the,0.42745697498321533,0.34736719727516174,0.1759674996137619,-0.01540423184633255,0.24840699136257172,0.535392165184021,1.0,0.23537124693393707,0.3319562077522278,0.22068053483963013
gospel,0.23854802548885345,0.1511441469192505,0.3065164089202881,0.03526751697063446,0.20377744734287262,0.22325627505779266,0.16253972053527832,0.2613772451877594,0.22976236045360565,0.1407461166381836
.,0.3567904531955719,0.35288307070732117,0.24907569587230682,-0.003708066651597619,0.311292439699173,0.4645031690597534,0.5934505462646484,0.23963148891925812,0.22061824798583984,0.4130953550338745
